Newspaper,Heading,Date,Time,URL
India Times, Marvel Is Eyeing ‘John Wick’ Star Keanu Reeves For Its Next Film & We’re Already Excited! ,2019-06-05,12:33,https://www.indiatimes.com/entertainment/marvel-is-eyeing-john-wick-star-keanu-reeves-for-its-next-film-we-re-already-excited-368455.html
India Times," Priyanka Chopra Would Love To Be The Prime Minister Of India, Wants Nick To Run For President ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/priyanka-chopra-would-love-to-be-the-prime-minister-of-india-wants-nick-to-run-for-president-368478.html
India Times," In A Heartwarming Gesture, Shah Rukh Khan Attends His Make-Up Man’s Wedding & Fans Are... ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/in-a-heartwarming-gesture-shah-rukh-khan-attends-his-make-up-man-s-wedding-fans-are-gushing-368539.html
India Times, ‘Chernobyl’ Beats ‘GoT’ To Become The Highest-Rated TV Series Ever And We Are Not... ,2019-06-05,12:33,https://www.indiatimes.com/entertainment/celebs/chernobyl-beats-got-to-become-the-highest-rated-tv-series-ever-and-we-are-not-surprised-368563.html
India Times," Anand Kumar Is Teary-Eyed After Watching Hrithik's Trailer Of Super 30, Posts An Emotional Note ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/celebs/anand-kumar-is-teary-eyed-after-watching-hrithik-s-trailer-of-super-30-posts-an-emotional-note-368575.html
India Times, SRK’s Take On Nationalism & Freedom In This 1997 Interview Makes A Lot Of Sense Even Today ,2019-06-05,12:33,https://www.indiatimes.com/entertainment/celebs/srk-s-take-on-nationalism-freedom-in-this-1997-interview-makes-a-lot-of-sense-even-today-368511.html
India Times, Salman Khan Calls Marriage A 'Dying Institution' But He Does Like The Idea Of Companionship ,2019-06-05,12:33,https://www.indiatimes.com/entertainment/celebs/salman-khan-calls-marriage-a-dying-institution-but-he-does-like-the-idea-of-companionship-368538.html
India Times," From A Dance Competition To Endless Fights, Anurag Kashyap & Taapsee Pannu Define The Term... ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/from-a-dance-competition-to-endless-fights-anurag-kashyap-taapsee-pannu-define-the-term-bffs-perfectly-368470.html
India Times, Ekta Kapoor Compares Her Show ‘Naagin’ To ‘Game of Thrones’ And The Internet Is Losing... ,2019-06-05,12:33,https://www.indiatimes.com/entertainment/ekta-kapoor-compares-her-show-naagin-to-game-of-thrones-and-the-internet-is-losing-it-368441.html
India Times," Marvel Fans Just Can’t Get Over Iron Man’s Death, Start A Petition ‘Bring Tony Stark... ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/marvel-fans-just-can-t-get-over-iron-man-s-death-start-a-petition-bring-tony-stark-back-368603.html
India Times," SRK Attends His Make Up Man's Wedding, Miley Cyrus Forcibly Kissed By A Fan & More From Ent. ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/celebs/srk-attends-his-make-up-man-s-wedding-miley-cyrus-forcibly-kissed-by-a-fan-more-from-ent-368585.html
India Times," #MeToo: Kevin Spacey Makes An Appearance In Court, Lawyer Says He's Suffering Everyday! ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/metoo-kevin-spacey-makes-an-appearance-in-court-lawyer-says-he-s-suffering-everyday-368579.html
India Times," Priyanka Chopra Finally Reveals How Nick, Joe & Sophie Turner Felt About The 'Global Scam'... ",2019-06-05,12:33,https://www.indiatimes.com/entertainment/celebs/priyanka-chopra-finally-reveals-how-nick-joe-sophie-turner-felt-about-the-global-scam-story-368570.html
