Newspaper,Heading,Category,Date,Time,URL
Indian Express,Salman Khan slaps guard for manhandling young fan,bollywood,2019-06-05,21:00:03,https://indianexpress.com/article/entertainment/bollywood/salman-khan-slaps-guard-for-manhandling-young-fan-5767291/
Indian Express,LiveBharat movie review and release LIVE UPDATES: Will Salman Khan’s film survive mixed reviews?,bollywood,2019-06-05,20:02:53,https://indianexpress.com/article/entertainment/bollywood/bharat-movie-review-and-release-live-updates-5764008/
Indian Express,Aayush Sharma to play army officer in his next Kwatha,bollywood,2019-06-05,13:37:48,https://indianexpress.com/article/entertainment/bollywood/aayush-sharma-army-officer-kwatha-movie-5766343/
Indian Express,"Eid-ul-Fitr: From Priyanka Chopra to Mohanlal, celebrities share wishes on Twitter",bollywood,2019-06-05,12:40:36,https://indianexpress.com/article/entertainment/bollywood/katrina-kaif-mohanlal-dulquer-salmaan-actors-wish-on-eid-ul-fitr-5765672/
Indian Express,Hrithik Roshan starrer Super 30’s trailer leaves Anand Kumar’s family in tears,bollywood,2019-06-05,12:24:28,https://indianexpress.com/article/entertainment/bollywood/hrithik-roshan-super-30-trailer-anand-kumar-5766186/
Indian Express,Chhapaak: Deepika Padukone wraps ‘the most precious film’ of her career,bollywood,2019-06-05,09:54:20,https://indianexpress.com/article/entertainment/bollywood/chhapaak-deepika-padukone-wraps-the-most-precious-film-of-her-career-5765824/
Indian Express,Bharat: Salman Khan’s film to be affected by India vs South Africa World Cup match?,bollywood,2019-06-05,09:14:38,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/world-cup-2019-salman-khan-bharat-to-be-affected-by-india-vs-south-africa-match-5764746/
Indian Express,First of Many: Rajpal Yadav revisits Shool,bollywood,2019-06-05,08:02:24,https://indianexpress.com/article/entertainment/bollywood/rajpal-yadav-first-of-many-debut-film-shool-5762889/
Indian Express,"Eid-ul-Fitr: Varun Dhawan, Shraddha Kapoor and Mahira Khan wish fans on the auspicious occasion",bollywood,2019-06-05,07:08:01,https://indianexpress.com/article/entertainment/bollywood/varun-dhawan-sophie-choudry-eid-ul-fitr-wishes-5764174/
Indian Express,Sunil Grover: A film like Bharat is not made every day,bollywood,2019-06-05,03:00:08,https://indianexpress.com/article/entertainment/bollywood/sunil-grover-a-film-like-bharat-is-not-made-every-day-5765471/
Indian Express,Satish Kaushik: I haven’t discussed Tere Naam 2 with Salman Khan yet,bollywood,2019-06-05,00:32:11,https://indianexpress.com/article/entertainment/bollywood/satish-kaushik-bharat-role-films-salman-khan-5764898/
Indian Express,Shahid Kapoor: I want to make Dingko Singh biopic,bollywood,2019-06-04,21:19:16,https://indianexpress.com/article/entertainment/bollywood/shahid-kapoor-on-dingko-singh-biopic-5765293/
Indian Express,Salman Khan slaps guard for manhandling young fan,hollywood,2019-06-05,21:00:03,https://indianexpress.com/article/entertainment/bollywood/salman-khan-slaps-guard-for-manhandling-young-fan-5767291/
Indian Express,LiveBharat movie review and release LIVE UPDATES: Will Salman Khan’s film survive mixed reviews?,hollywood,2019-06-05,20:02:53,https://indianexpress.com/article/entertainment/bollywood/bharat-movie-review-and-release-live-updates-5764008/
Indian Express,Aayush Sharma to play army officer in his next Kwatha,hollywood,2019-06-05,13:37:48,https://indianexpress.com/article/entertainment/bollywood/aayush-sharma-army-officer-kwatha-movie-5766343/
Indian Express,"Eid-ul-Fitr: From Priyanka Chopra to Mohanlal, celebrities share wishes on Twitter",hollywood,2019-06-05,12:40:36,https://indianexpress.com/article/entertainment/bollywood/katrina-kaif-mohanlal-dulquer-salmaan-actors-wish-on-eid-ul-fitr-5765672/
Indian Express,Hrithik Roshan starrer Super 30’s trailer leaves Anand Kumar’s family in tears,hollywood,2019-06-05,12:24:28,https://indianexpress.com/article/entertainment/bollywood/hrithik-roshan-super-30-trailer-anand-kumar-5766186/
Indian Express,Chhapaak: Deepika Padukone wraps ‘the most precious film’ of her career,hollywood,2019-06-05,09:54:20,https://indianexpress.com/article/entertainment/bollywood/chhapaak-deepika-padukone-wraps-the-most-precious-film-of-her-career-5765824/
Indian Express,Bharat: Salman Khan’s film to be affected by India vs South Africa World Cup match?,hollywood,2019-06-05,09:14:38,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/world-cup-2019-salman-khan-bharat-to-be-affected-by-india-vs-south-africa-match-5764746/
Indian Express,First of Many: Rajpal Yadav revisits Shool,hollywood,2019-06-05,08:02:24,https://indianexpress.com/article/entertainment/bollywood/rajpal-yadav-first-of-many-debut-film-shool-5762889/
Indian Express,"Eid-ul-Fitr: Varun Dhawan, Shraddha Kapoor and Mahira Khan wish fans on the auspicious occasion",hollywood,2019-06-05,07:08:01,https://indianexpress.com/article/entertainment/bollywood/varun-dhawan-sophie-choudry-eid-ul-fitr-wishes-5764174/
Indian Express,Sunil Grover: A film like Bharat is not made every day,hollywood,2019-06-05,03:00:08,https://indianexpress.com/article/entertainment/bollywood/sunil-grover-a-film-like-bharat-is-not-made-every-day-5765471/
Indian Express,Satish Kaushik: I haven’t discussed Tere Naam 2 with Salman Khan yet,hollywood,2019-06-05,00:32:11,https://indianexpress.com/article/entertainment/bollywood/satish-kaushik-bharat-role-films-salman-khan-5764898/
Indian Express,Shahid Kapoor: I want to make Dingko Singh biopic,hollywood,2019-06-04,21:19:16,https://indianexpress.com/article/entertainment/bollywood/shahid-kapoor-on-dingko-singh-biopic-5765293/
Indian Express,Salman Khan slaps guard for manhandling young fan,television,2019-06-05,21:00:03,https://indianexpress.com/article/entertainment/bollywood/salman-khan-slaps-guard-for-manhandling-young-fan-5767291/
Indian Express,LiveBharat movie review and release LIVE UPDATES: Will Salman Khan’s film survive mixed reviews?,television,2019-06-05,20:02:53,https://indianexpress.com/article/entertainment/bollywood/bharat-movie-review-and-release-live-updates-5764008/
Indian Express,Aayush Sharma to play army officer in his next Kwatha,television,2019-06-05,13:37:48,https://indianexpress.com/article/entertainment/bollywood/aayush-sharma-army-officer-kwatha-movie-5766343/
Indian Express,"Eid-ul-Fitr: From Priyanka Chopra to Mohanlal, celebrities share wishes on Twitter",television,2019-06-05,12:40:36,https://indianexpress.com/article/entertainment/bollywood/katrina-kaif-mohanlal-dulquer-salmaan-actors-wish-on-eid-ul-fitr-5765672/
Indian Express,Hrithik Roshan starrer Super 30’s trailer leaves Anand Kumar’s family in tears,television,2019-06-05,12:24:28,https://indianexpress.com/article/entertainment/bollywood/hrithik-roshan-super-30-trailer-anand-kumar-5766186/
