Newspaper,Heading,Category,Date,Time,URL
Time of India,Social media users troll Disha Patani for her dinner outing with Aditya Thackeray,bollywood,2019-06-11, 00:52:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/social-media-users-troll-disha-patani-for-her-dinner-outing-with-aditya-thackeray/articleshow/69732004.cms
Time of India,Amitabh Bachchan’s Twitter account hacked!,bollywood,2019-06-11, 00:12:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/amitabh-bachchans-twitter-account-hacked/articleshow/69731625.cms
Time of India,Taapsee Pannu shares a picture with her 'prosthetics artist' who made her hand look bruised,bollywood,2019-06-10, 23:11:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/taapsee-pannu-shares-a-picture-with-her-prosthetics-artist-who-made-her-hand-look-bruised/articleshow/69731008.cms
Time of India,"Kriti Sanon, Arjun Rampal and other Bollywood celebs react to the first Mumbai rains",bollywood,2019-06-10, 22:46:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kriti-sanon-arjun-rampal-and-other-bollywood-celebs-react-to-the-first-monsoon-in-the-city/articleshow/69730481.cms
Time of India,Anand Ahuja's picture with Sonam Kapoor is all about love!,bollywood,2019-06-10, 22:12:00,https://timesofindia.indiatimes.comhttps://timesofindia.indiatimes.com/entertainment/hindi/bollywood/photo-features/sonam-kapoor-anand-ahujas-love-story/anand-ahujas-picture-with-sonam-kapoor-is-all-about-love/photostory/69730204.cms
Time of India,"EXCLUSIVE! VT station will not be recreated in London for ‘Coolie No. 1’, clarifies Varun Dhawan",bollywood,2019-06-10, 21:45:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/exclusive-vt-station-will-not-be-recreated-in-london-for-coolie-no-1-clarifies-varun-dhawan/articleshow/69729818.cms
Time of India,"Rishi Kapoor, Neetu Kapoor and Navya Nanda in one frame; have a look!",bollywood,2019-06-10, 20:33:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/rishi-kapoor-neetu-kapoor-and-navya-nanda-in-one-frame-have-a-look/articleshow/69728900.cms
Time of India,Kiara Advani looks absolutely delightful in This outfit for 'Kabir Singh' promotions,bollywood,2019-06-10, 20:33:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kiara-advani-looks-absolutely-delightful-in-this-outfit-for-kabir-singh-promotions/articleshow/69728873.cms
Time of India,Mini Mathur hits back at troll: I won't use botox,bollywood,2019-06-10, 20:23:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/mini-mathur-hits-back-at-troll-i-wont-use-botox/articleshow/69728478.cms
Time of India,Deepika Padukone inspires brides to recreate her gorgeous wedding looks!,bollywood,2019-06-10, 19:52:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/deepika-padukone-inspires-brides-to-recreate-her-gorgeous-wedding-looks/articleshow/69728334.cms
Time of India,Disha Patani marks a hattrick with consecutive 100 crore club blockbusters with her latest outing 'Bharat',bollywood,2019-06-10, 19:35:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/disha-patani-marks-a-hattrick-with-consecutive-100-crore-club-blockbusters-with-her-latest-outing-bharat/articleshow/69728193.cms
Time of India,Family and close friends pay their last respects to Girish Karnad in Bengaluru,bollywood,2019-06-10, 19:32:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/family-and-close-friends-pay-their-last-respects-to-girish-karnad/articleshow/69728111.cms
Time of India,Disha Patani's recent post will make you hit the gym right away!,bollywood,2019-06-10, 19:16:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/disha-patanis-recent-post-will-make-you-hit-the-gym-right-away/articleshow/69727939.cms
Time of India,Malaal' actor Meezaan dismisses link-up rumours with Amitabh Bachchan’s granddaughter Navya Naveli Nanda,bollywood,2019-06-10, 19:06:00,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/malaal-actor-meezaan-dismisses-link-up-rumours-with-amitabh-bachchans-granddaughter-navya-naveli-nanda/articleshow/69727791.cms
Time of India,Here's the new poster of 'Frozen 2'; are you excited for one more adventure?,hollywood,2019-06-10, 21:25:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/heres-the-new-poster-of-frozen-2-are-you-excited-for-one-more-adventure/articleshow/69729502.cms
Time of India,'The Blair Witch Project' gets video game adaptation,hollywood,2019-06-10, 17:29:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/blair-witch-project-gets-video-game-adaptation/articleshow/69726016.cms
Time of India,Danny Boyle's 'Yesterday' to arrive in India on July 12,hollywood,2019-06-10, 15:38:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/danny-boyles-yesterday-to-arrive-in-india-on-july-12/articleshow/69724445.cms
Time of India,Simon Pegg and Nick Frost to produce serial killer movie 'Svalta',hollywood,2019-06-10, 14:58:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/simon-pegg-and-nick-frost-to-produce-serial-killer-movie-svalta/articleshow/69723324.cms
Time of India,Dwayne Johnson reveals scene which is no longer part of 'Hobbs & Shaw',hollywood,2019-06-10, 15:02:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/dwayne-johnson-reveals-scene-which-is-no-longer-part-of-hobbs-shaw/articleshow/69723261.cms
Time of India,Ruby Rose opens up about backlash for identifying as lesbian,hollywood,2019-06-10, 14:54:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/ruby-rose-opens-up-about-backlash-for-identifying-as-lesbian/articleshow/69722865.cms
Time of India,Michael B. Jordan talks about all about the heart approach while picking films,hollywood,2019-06-10, 14:59:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/michael-b-jordan-talks-about-all-about-the-heart-approach-while-picking-films/articleshow/69722965.cms
Time of India,Irina Shayk coping well with split from Bradley Cooper,hollywood,2019-06-10, 13:54:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/irina-shayk-coping-well-with-split-from-bradley-cooper/articleshow/69722812.cms
Time of India,"Obsessing over my movie kitchens is sexist, says director Nancy Meyers",hollywood,2019-06-10, 13:14:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/obsessing-over-my-movie-kitchens-is-sexist-says-director-nancy-meyers/articleshow/69722546.cms
Time of India,Hugh Jackman and Ryan Reynolds celebrate National Best Friends Day,hollywood,2019-06-10, 13:14:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/hugh-jackman-and-ryan-reynolds-celebrate-national-best-friends-day/articleshow/69722577.cms
Time of India,Ashley Tisdale demands apology from Kevin Smith for damaging her car,hollywood,2019-06-10, 12:59:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/ashley-tisdale-demands-apology-from-kevin-smith-for-damaging-her-car/articleshow/69722467.cms
Time of India,Chris Pratt and Katherine Schwarzenegger share first wedding picture,hollywood,2019-06-10, 13:20:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/chris-pratt-and-katherine-schwarzenegger-share-first-wedding-picture/articleshow/69722153.cms
Time of India,Jon Favreau wants Robert Downey Jr to win Oscar for 'Avengers: Endgame' performance,hollywood,2019-06-10, 12:29:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/jon-favreau-wants-robert-downey-jr-to-win-oscar-for-avengers-endgame-performance/articleshow/69721769.cms
