Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Ananya Panday on Kartik Aaryan and Sara Ali Khan There is no love triangleAnanya Panday also said that she has amazing chemistry with Kartik Aaryan,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/gossip/story/ananya-panday-on-kartik-aaryan-and-sara-ali-khan-there-is-no-love-triangle-1542998-2019-06-05,0,0.29
India Today, Saif Ali Khan on working late I feel bad when I come home after work and find Taimur sleeping Saif Ali Khan recently said that he feels bad working late as he doesnt get to spend time with his son Taimur Ali Khan,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/celebrities/story/saif-ali-khan-on-working-late-i-feel-bad-when-i-come-home-after-work-and-find-taimur-sleeping-1546076-2019-06-10,0,0.2
India Times, Kartik Aaryan And Sara Ali Khan Are Bonding Well Ever Since She Called Him Her Crush Were,celebs-gossips,2019-06-11,00:56,https://www.indiatimes.com/entertainment/celebs/kartik-aaryan-and-sara-ali-khan-are-bonding-well-ever-since-she-called-him-her-crush-we-re-rooting-for-them-368698.html,0,0.22
India Today, Kunal Kemmu on daughter Inaaya I am learning how to be a parentKunal Kemmu and Soha Ali Khan welcomed their daughter Inaaya in September 2017,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/star-kids/story/kunal-kemmu-on-daughter-inaaya-i-am-learning-how-to-be-a-parent-1542407-2019-06-04,0,0.17
India Today, President Ram Nath Kovind mourns the death of Girish Karnad Our cultural world is poorer todayPresident Ram Nath Kovind mourned the death of legendary actor and playwright Girish Karnad The 81 year old actor died of multiple organ failure on Monday morning,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/celebrities/story/president-ram-nath-kovind-mourns-the-death-of-girish-karnad-our-cultural-world-is-poorer-today-1545764-2019-06-10,1,0.2
India Today, Legendary actor and playwright Girish Karnad dies at 81 in BengaluruLegendary actor and playwright Girish Karnad died of multiple organ failure in Bengaluru The 81 year old actor breathed his last on Monday morning in Bengaluru,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/celebrities/story/legendary-actor-and-playwright-girish-karnad-dies-at-81-1545727-2019-06-10,1,0.2
India Today, PM Narendra Modi pays tribute to Girish Karnad He will be remembered for his versatile actingGirish Karnad breathed his last on Monday morning after suffering from a prolonged illness PM Narendra Modi took to Twitter to mourn the loss of the veteran actor,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/celebrities/story/pm-narendra-modi-pays-tribute-to-girish-karnad-he-will-be-remembered-for-his-versatile-acting-1545928-2019-06-10,1,0.23
India Times, After One Month Of Arrest HC Finally Grants Bail To Actor Singer Karan Oberoi In Rape Case,celebs-gossips,2019-06-11,00:56,https://www.indiatimes.com/entertainment/celebs/after-one-month-of-arrest-hc-finally-grants-bail-to-actor-singer-karan-oberoi-in-rape-case-368789.html,1,0.3
India Today, Hrithik Roshans sister Sunaina slams reports of her being hospitalised Was out partyingHrithik Roshans sister Sunaina slammed reports of her being critically ill in hospital She said that she was out partying and was surprised to read such reports,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/celebrities/story/-hrithik-roshan-s-sister-sunaina-slams-reports-of-her-being-hospitalised-was-out-partying-1545883-2019-06-10,2,0.24
India Today, Amitabh Bachchans Twitter account hacked tweets slam IndiaThe hackers replaced Amitabh Bachchans display picture with that of Pakistan Prime Minister Imran Khan and the bio with Actor well at least some are STILL saying so Love Pakistan,celebs-gossips,2019-06-11,00:56:00,https://www.indiatoday.in/movies/celebrities/story/amitabh-bachchan-twitter-account-hacked-1546300-2019-06-10,2,0.25
