Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Indian Express, Kick 2 Sajid Nadiadwala to return as director for Salman Khan film,malayalam,2019-06-10,18:14:04,https://indianexpress.com/article/entertainment/bollywood/kick-2-sajid-nadiadwala-to-return-as-director-5773647/,0,1.0
Indian Express, Amitabh Bachchan ’ s secretary Sheetal Jain dies at 77 actor remembers close aide,malayalam,2019-06-09,16:24:39,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-secretary-sheetal-jain-dies-at-77-actor-remembers-close-aide-5772095/,1,0.58
Indian Express, Madhuri Dixit holidays with family in Rome see photos,malayalam,2019-06-10,15:23:26,https://indianexpress.com/article/entertainment/bollywood/madhuri-dixit-holidays-family-rome-see-photos-5771969/,2,0.53
Time of India, Abhilash Pillai festival director of International Theatre Festival of Kerala ITFOK 2010 reminisces about Girish Karn,malayalam,2019-06-10, 15:47:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/abhilash-pillai-festival-director-of-international-theatre-festival-of-kerala-itfok-2010-reminisces-about-girish-karnad/articleshow/69724428.cms,3,1.0
Time of India, Mammootty turns on his warrior mode for Mamangam,malayalam,2019-06-10, 12:33:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/mammootty-turns-on-his-warrior-mode-for-mamangam/articleshow/69722165.cms,4,0.54
Indian Express, LiveBharat box office collection Day 5 Salman Khan starrer earns Rs 150 10 crore,malayalam,2019-06-10,16:08:00,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/bharat-day-5-salman-khan-5772163/,5,0.81
Time of India, Ive kept the magazine that had Girish Karnad sir praising me as a treasure Karthika,malayalam,2019-06-10, 15:43:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/ive-kept-the-magazine-that-had-girish-karnad-sir-praising-me-as-a-treasure-karthika/articleshow/69724302.cms,6,0.57
Indian Express, Deepika Padukone joins Ranveer Singh in 83,malayalam,2019-06-10,15:31:43,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-joins-ranveer-singh-in-83-5773305/,7,0.53
Time of India, I am struck by its sheer eccentricity says 96 fame Gouri Kishan after watching Thottappan,malayalam,2019-06-10, 17:46:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/i-am-struck-by-its-sheer-eccentricity-says-96-fame-gouri-kishan-after-watching-thottappan/articleshow/69726691.cms,8,1.0
Time of India, Love looks the same no matter to whom it is Ahaana Krishna,malayalam,2019-06-10, 15:25:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/love-looks-the-same-no-matter-to-whom-it-is-ahaana-krishna/articleshow/69724305.cms,9,0.55
Indian Express, Nick Jonas is missing Priyanka Chopra,malayalam,2019-06-09,16:02:06,https://indianexpress.com/article/entertainment/bollywood/nick-jonas-is-missing-priyanka-chopra-5771771/,10,1.0
Time of India, It ’ s Ittimaani vs Ganagandharvan this Onam,malayalam,2019-06-10, 13:18:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/its-ittimaani-vs-ganagandharvan-this-onam/articleshow/69722115.cms,11,1.0
Indian Express, Vicky Kaushal to star in Karan Johar ’ s horror film Bhoot Part One The Haunted Ship,malayalam,2019-06-10,12:33:25,https://indianexpress.com/article/entertainment/bollywood/vicky-kaushal-bhoot-part-one-the-haunted-ship-horror-karan-johar-5772740/,12,1.0
Indian Express, Sushmita Sen preps for her return It ’ s never done until we say it is done,malayalam,2019-06-09,15:52:06,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-preps-for-her-bollywood-return-5771772/,13,1.0
Time of India, Mamukkoya is Shanmughan in Kakshi Ammini Pillai,malayalam,2019-06-10, 13:07:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/mamukkoya-is-shanmughan-in-kakshi-ammini-pillai/articleshow/69722471.cms,14,1.0
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,malayalam,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,15,1.0
Time of India, Virus Parvathy Thiruvothu introduces the real life character she essayed in the film,malayalam,2019-06-10, 17:24:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/virus-parvathy-thiruvothu-introduces-the-real-life-character-she-essayed-in-the-film/articleshow/69726358.cms,16,1.0
Time of India, Shubharathri Teaser Check out Dileeps next film,malayalam,2019-06-10, 16:58:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/shubharathri-teaser-check-out-dileeps-next-film/articleshow/69725758.cms,17,1.0
Time of India, Shanker Ramakrishnan is all praise for ‘ Ore Kannal ’ song from Luca,malayalam,2019-06-10, 14:38:00,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/shanker-ramakrishnan-is-all-praise-for-ore-kannal-song-from-luca/articleshow/69723707.cms,18,1.0
