Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Avengers Endgame movie review An epic conclusion to Marvel ’ s Infinity Saga it ’ s a triumphant tear jerker,movie-review,2019-05-08,14:16:00,https://www.hindustantimes.com/hollywood/avengers-endgame-movie-review-a-pinnacle-of-superhero-storytelling-marvel-s-latest-is-a-triumphant-tear-jerker/story-AilGFVUb5cmFZ9E580R6oO.html,0,0.37
Hindiustan Times, X Men Dark Phoenix is mindless mutant mayhem says Rashid Irani,movie-review,2019-06-05,14:10:00,https://www.hindustantimes.com/movie-reviews/x-men-dark-phoenix-is-mindless-mutant-mayhem-says-rashid-irani/story-rVLsbzsSd5kUHtT5GRQx2J.html,0,0.32
Hindiustan Times, Avengers Endgame is a superhero saga for the ages,movie-review,2019-04-26,14:52:00,https://www.hindustantimes.com/movie-reviews/avengers-endgame-is-a-superhero-saga-for-the-ages/story-CPJpznmp8yPTtYBL63VDxO.html,0,0.34
Hindiustan Times, The Curse of the Weeping Woman movie review New Conjuring spin off may be better than the originals,movie-review,2019-04-18,09:49:00,https://www.hindustantimes.com/hollywood/the-curse-of-the-weeping-woman-movie-review-new-conjuring-spin-off-may-be-better-than-the-originals/story-d4Dt2htCu6Dh57zK8gOEmL.html,1,0.72
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,movie-review,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,2,0.16
Indian Express, Kick 2 Sajid Nadiadwala to return as director for Salman Khan film,movie-review,2019-06-10,18:14:04,https://indianexpress.com/article/entertainment/bollywood/kick-2-sajid-nadiadwala-to-return-as-director-5773647/,2,0.18
Indian Express, Yuvraj Singh retirement Neha Dhupia Anupam Kher and others thank cricketer,movie-review,2019-06-10,17:49:31,https://indianexpress.com/article/entertainment/bollywood/yuvraj-singh-international-cricket-retirement-bollywood-reactions-tweets-5773399/,2,0.16
Indian Express, Nick Jonas is missing Priyanka Chopra,movie-review,2019-06-09,16:02:06,https://indianexpress.com/article/entertainment/bollywood/nick-jonas-is-missing-priyanka-chopra-5771771/,2,0.14
Indian Express, Deepika Padukone joins Ranveer Singh in 83,movie-review,2019-06-10,15:31:43,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-joins-ranveer-singh-in-83-5773305/,2,0.15
Hindiustan Times, Bharat movie review Salman Khan Katrina Kaif deliver an emotional Eid entertainer,movie-review,2019-06-05,21:39:00,https://www.hindustantimes.com/bollywood/bharat-movie-review-salman-khan-katrina-kaif-deliver-an-eid-entertainer/story-hKdFAnPahxlATb31WvineL.html,2,0.3
Hindiustan Times, Devi 2 movie review This Prabhudeva starrer is a lousy sequel with no redeeming moments,movie-review,2019-05-31,17:05:00,https://www.hindustantimes.com/regional-movies/devi-2-movie-review-this-prabhudeva-tamannaah-bhatia-movie-is-a-lousy-sequel-with-no-redeeming-moments/story-Z8560BKbUIYU9Yljgcdo4J.html,3,1.0
Indian Express, Amitabh Bachchan ’ s secretary Sheetal Jain dies at 77 actor remembers close aide,movie-review,2019-06-09,16:24:39,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-secretary-sheetal-jain-dies-at-77-actor-remembers-close-aide-5772095/,4,0.58
Indian Express, LiveBharat box office collection Day 5 Salman Khan starrer earns Rs 150 10 crore,movie-review,2019-06-10,16:08:00,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/bharat-day-5-salman-khan-5772163/,5,0.81
Hindiustan Times, Majili movie review Naga Chaitanya Samantha Akkineni ’ s first post wedding film is complicated but beautiful,movie-review,2019-04-06,12:31:00,https://www.hindustantimes.com/regional-movies/majili-movie-review-naga-chaitanya-samantha-akkineni-s-first-post-wedding-film-is-complicated-but-beautiful/story-pT32R1EQBkfCSTg3qae2FJ.html,6,0.26
Hindiustan Times, PM Narendra Modi movie review Vivek Oberoi film deifies the PM,movie-review,2019-05-24,16:41:00,https://www.hindustantimes.com/bollywood/pm-narendra-modi-movie-review-vivek-oberoi-film-deifies-the-pm/story-qQjJmOCxfpZAqHuQetwUsK.html,6,0.26
Indian Express, Madhuri Dixit holidays with family in Rome see photos,movie-review,2019-06-10,15:23:26,https://indianexpress.com/article/entertainment/bollywood/madhuri-dixit-holidays-family-rome-see-photos-5771969/,6,0.24
Hindiustan Times, Kalank movie review Varun Dhawan and Madhuri Dixit can ’ t salvage this beautiful hollow film,movie-review,2019-04-18,13:59:00,https://www.hindustantimes.com/bollywood/kalank-movie-review-varun-dhawan-alia-bhatt-madhuri-dixit-shine-in-a-stunning-but-soulless-film/story-3fg9Hrle0bLIcjNbJNNVZM.html,6,0.29
Hindiustan Times, Brightburn movie review Superman crashes into the Conjuring universe mass casualties expected,movie-review,2019-05-24,12:47:00,https://www.hindustantimes.com/hollywood/brightburn-movie-review-superman-crashes-into-the-conjuring-universe-mass-casualties-expected/story-8PaJzQlrKZtOw0b1npsplK.html,7,0.22
