Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Jennifer Lopez shares dreamy pictures of Alex Rodriguez ’ s wedding proposal See pics,music,2019-03-13,11:34:00,https://www.hindustantimes.com/music/jennifer-lopez-shares-dreamy-pictures-of-alex-rodriguez-s-wedding-proposal-see-pics/story-huUDEsSqCjCMQgwORweHKP.html,0,0.18
Hindiustan Times, Sahir Ludhianvi Amrita Pritam love story One that played out through letters silences and pain,music,2019-03-08,17:37:00,https://www.hindustantimes.com/music/sahir-ludhianvi-amrita-pritam-love-story-one-that-played-out-through-letters-silences-and-pain/story-Y9wcXZWkn5a6mZx97XBgiP.html,0,0.14
Hindiustan Times, Anushka Sharma ’ s doppelganger American singer Julia Michaels says Anushka is ‘ incredibly nice ’,music,2019-03-06,17:04:00,https://www.hindustantimes.com/music/anushka-sharma-s-doppelganger-american-singer-julia-michaels-says-anushka-is-incredibly-nice/story-NbiFActXrrg06tlb2vQsoL.html,0,0.16
Hindiustan Times, Mexican rockstar Armando Vega Gil commits suicide after Me Too accusation writes ‘ my death is a declaration of my innocence ’,music,2019-04-02,10:38:00,https://www.hindustantimes.com/music/mexican-rockstar-armando-vega-gil-commits-suicide-after-me-too-accusation-writes-my-death-is-a-declaration-of-my-innocence/story-Lm4gQaUZ3Q14hJ4MBF507O.html,0,0.16
Hindiustan Times, Keith Flint lead singer of The Prodigy dies at 49 tributes pour in,music,2019-03-04,18:10:00,https://www.hindustantimes.com/music/keith-flint-lead-singer-of-the-prodigy-dies-at-49-tributes-pour-in/story-L4nTEf5sGALehFPKyvjT0O.html,0,0.17
Hindiustan Times, Joe Jonas teases Nick Jonas about his 18 weddings with Priyanka Chopra says he ’ ll have only one with Sophie Turner,music,2019-03-06,18:28:00,https://www.hindustantimes.com/music/joe-jonas-teases-nick-jonas-about-his-18-weddings-with-priyanka-chopra-says-he-ll-have-only-one-with-sophie-turner/story-6hEnDTOrx8xm67aF6UNRQL.html,1,0.58
Hindiustan Times, Ariana Grande overtakes Selena Gomez as the most followed woman on Instagram,music,2019-02-27,11:49:00,https://www.hindustantimes.com/music/selena-gomez-isn-t-the-most-followed-woman-on-instagram-anymore-here-s-who-overtook-her/story-Bv9uP1IGgOFKKN5fuJR0YL.html,2,0.38
Hindiustan Times, Fans drag Madame Tussauds for Ariana Grande wax statue that looks nothing like her ‘ Excuse me who ’ s that ’,music,2019-05-25,12:19:00,https://www.hindustantimes.com/music/fans-drag-madame-tussauds-for-ariana-grande-wax-statue-that-looks-nothing-like-her-excuse-me-who-s-that/story-LWUKSiqOa1KBG9NzJpFKuL.html,2,0.69
Hindiustan Times, K Pop stars Yong Jun hyung and Choi Jong hoon quit over sex videos scandal,music,2019-03-14,17:32:00,https://www.hindustantimes.com/music/k-pop-stars-yong-jun-hyung-and-choi-jong-hoon-quit-over-sex-videos-scandal/story-FRfx9WlNGZRPLlyTkXsZJI.html,3,0.27
Hindiustan Times, It ’ s our dream to perform near the Taj Mahal says K pop group IN2IT,music,2019-04-23,13:38:00,https://www.hindustantimes.com/music/it-s-our-dream-to-perform-near-the-taj-mahal-says-k-pop-group-in2it/story-k2ADDKzSIdfPy1eQeCb0sO.html,3,0.28
Hindiustan Times, K pop icon Seungri thinking of retirement over alleged involvement in sex bribery case,music,2019-03-11,17:10:00,https://www.hindustantimes.com/music/k-pop-icon-seungri-thinking-of-retirement-over-alleged-involvement-in-sex-bribery-case/story-xtKv8hUjjU7Wh0IvicVXzH.html,3,0.3
Hindiustan Times, For me music is an emotion Adhyayan Suman,music,2019-04-13,20:58:00,https://www.hindustantimes.com/music/for-me-music-is-an-emotion-adhyayan-suman/story-fbxRqLazWA3bGt1q3lvaNJ.html,4,0.29
Hindiustan Times, The Yellow Diary says all their songs have their own colours and emotions attached to them,music,2019-03-01,15:02:00,https://www.hindustantimes.com/music/the-yellow-diary-says-all-their-songs-have-their-own-colours-and-emotions-attached-to-them/story-kt6A5dJSzW8qei2ciJ59vJ.html,4,0.29
Hindiustan Times, There is great work being done in the regional music industries Karan Kulkarni,music,2019-03-09,20:13:00,https://www.hindustantimes.com/music/there-is-great-work-being-done-in-the-regional-music-industries-karan-kulkarni/story-gJlWlRdhUaPicY7MWDnrJI.html,4,0.31
Hindiustan Times, Diljit Dosanjh releases new single dedicated to Kylie Jenner Kareena Kapoor Khan Watch video,music,2019-04-28,16:25:00,https://www.hindustantimes.com/music/diljit-dosanjh-releases-new-single-dedicated-to-kylie-jenner-kareena-kapoor-khan-watch-video/story-OHeBSwoNwboBNcWGsGk2aO.html,5,0.29
Hindiustan Times, Amit Tandon opens up on wife being released from Dubai jail releases new single after 10 years,music,2019-04-17,17:53:00,https://www.hindustantimes.com/music/amit-tandon-opens-up-on-wife-being-released-from-dubai-jail-releases-new-single-after-10-years/story-JUsG5f9XXZFgaDT0Xh6D5J.html,5,0.3
Hindiustan Times, Guru Randhawa Pitbull song Slowly Slowly brings the party to town Watch video,music,2019-04-19,13:12:00,https://www.hindustantimes.com/music/guru-randhawa-pitbull-song-slowly-slowly-brings-the-party-to-town-watch-video/story-lMH5Py76MxOhBpWWrJhGxI.html,5,0.33
Hindiustan Times, AR Rahman on MeToo If you are told that apart from good work you need to do more tell them to shut up,music,2019-03-12,17:47:00,https://www.hindustantimes.com/music/ar-rahman-on-metoo-if-you-are-told-that-apart-from-good-work-you-need-to-do-more-tell-them-to-shut-up/story-TCUdFZBJlJq9nvlRYmxlFP.html,6,0.32
