Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,regional,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,0,1.0
Time of India, Atanu Ghosh remembers his first meeting with the late Girish Karnad,regional,2019-06-10, 12:01:00,https://timesofindia.indiatimes.com/entertainment/bengali/movies/news/atanu-ghosh-remembers-his-first-meeting-with-the-late-girish-karnad/articleshow/69721561.cms,1,0.22
Time of India, Girish Karnad passes away Marathi film celebrities mourn the actors sad demise,regional,2019-06-10, 17:57:00,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/girish-karnad-passes-away-marathi-film-celebrities-mourn-the-actors-sad-demise/articleshow/69726882.cms,1,0.14
Time of India, Girish Karnad no more succumbs to prolonged illness,regional,2019-06-10, 10:03:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/girish-karnad-no-more-succumbs-to-prolonged-illness/articleshow/69719917.cms,1,0.16
India Today, Kerala CM Pinarayi Vijayan on Girish Karnads death He was always experimental with his worksPinarayi Vijayan the Chief Minister of Kerala also took to Twitter to express his grief on Girish Karnads death,regional,2019-06-11,00:56:00,https://www.indiatoday.in/movies/regional-cinema/story/kerala-cm-pinarayi-vijayan-on-girish-karnad-s-death-he-was-always-experimental-with-his-works-1545935-2019-06-10,1,0.16
Time of India, Shabana Azmi tribute show for Girish Karnad,regional,2019-06-11, 00:00:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/shabana-azmi-tribute-show-for-girish-karnad/articleshow/69726388.cms,1,0.15
Time of India, Anant Nag shares his memories of Girish Karnad,regional,2019-06-11, 00:00:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/anant-nag-shares-his-memories-of-girish-karnad/articleshow/69725716.cms,1,0.17
Time of India, Girish Karnad was an example of a voice without fear,regional,2019-06-11, 00:00:00,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/girish-karnad-was-an-example-of-a-voice-without-fear/articleshow/69726289.cms,1,0.15
Time of India, Sonam Bajwa ’ s latest picture is all about summer fashion goals,regional,2019-06-08, 11:08:00,https://timesofindia.indiatimes.comhttps://timesofindia.indiatimes.com/entertainment/punjabi/movies/photo-stories/sonam-bajwa-summer-styles-sported-by-the-actress/sonam-bajwas-latest-picture-is-all-about-summer-fashion-goals/photostory/69699905.cms,2,0.15
Time of India, Photo Poonam Dubey looks like a vision in white in her latest Instagram post,regional,2019-06-10, 14:16:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/photo-poonam-dubey-looks-like-a-vision-in-white-in-her-latest-instagram-post/articleshow/69723492.cms,2,0.15
Time of India, Rani Chatterjee raises the temperature on Instagram with her latest sizzling picture,regional,2019-06-07, 13:03:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/rani-chatterjee-raises-the-temperature-on-instagram-with-her-latest-sizzling-picture/articleshow/69688073.cms,2,0.16
Time of India, Ankush urges fans to ‘ support Bengali cinema not violence ’,regional,2019-06-08, 14:53:00,https://timesofindia.indiatimes.com/entertainment/bengali/movies/news/ankush-urges-fans-support-bengali-cinema-not-violence/articleshow/69702106.cms,2,0.14
Time of India, Rani Chatterjee makes her fans go gaga by her latest sizzling post on Instagram,regional,2019-06-10, 13:56:00,https://timesofindia.indiatimes.com/entertainment/bhojpuri/movies/news/rani-chatterjee-makes-her-fans-go-gaga-by-her-latest-sizzling-post-on-instagram/articleshow/69723230.cms,2,0.12
Time of India, Malhar Thakar is creating a niche among fans in California,regional,2019-06-10, 16:07:00,https://timesofindia.indiatimes.com/entertainment/gujarati/movies/news/malhar-thakar-is-creating-a-niche-among-fans-in-california/articleshow/69724928.cms,2,0.19
