Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Signing Spree Punjabi lass Mehreen Pirzada bags three big projects in South cinema,telugu,2019-06-10, 15:53:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/signing-spree-punjabi-lass-mehreen-pirzada-bags-three-big-projects-in-south-cinema/articleshow/69724671.cms,0,1.0
Time of India, Varun Tej and Pooja Hegdes Valmiki to release in September,telugu,2019-06-10, 16:23:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/varun-tej-and-pooja-hegdes-valmiki-to-release-in-september/articleshow/69725223.cms,1,0.6
Indian Express, Kick 2 Sajid Nadiadwala to return as director for Salman Khan film,telugu,2019-06-10,18:14:04,https://indianexpress.com/article/entertainment/bollywood/kick-2-sajid-nadiadwala-to-return-as-director-5773647/,2,1.0
Indian Express, LiveBharat box office collection Day 4 Salman Katrina starrer earns Rs 122 20 crore,telugu,2019-06-09,18:00:28,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/bharat-day-4-salman-khan-5771184/,3,0.81
Indian Express, Amitabh Bachchan ’ s secretary Sheetal Jain dies at 77 actor remembers close aide,telugu,2019-06-09,16:24:39,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-secretary-sheetal-jain-dies-at-77-actor-remembers-close-aide-5772095/,4,0.58
Indian Express, Yuvraj Singh retirement Neha Dhupia Anupam Kher and others thank cricketer,telugu,2019-06-10,17:49:31,https://indianexpress.com/article/entertainment/bollywood/yuvraj-singh-international-cricket-retirement-bollywood-reactions-tweets-5773399/,5,1.0
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,telugu,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,6,1.0
Time of India, ‘ Saaho ’ teaser will be out on June 13 killer poster of Shraddha Kapoor released,telugu,2019-06-10, 16:32:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/saaho-teaser-will-be-out-on-june-13-killer-poster-of-shraddha-kapoor-released/articleshow/69725357.cms,7,0.55
Time of India, Mahesh Babu shares a pic from India v s Australia World Cup match,telugu,2019-06-10, 15:25:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/mahesh-babu-shares-a-pic-from-india-v/s-australia-world-cup-match/articleshow/69724225.cms,8,0.56
Time of India, AA 19 Kajal Aggarwal yet again sizzles in an item song,telugu,2019-06-10, 14:36:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/aa-19-kajal-aggarwal-yet-again-sizzles-in-an-item-song/articleshow/69723626.cms,9,1.0
Time of India, It ’ s back to back horror for Tamannaah Kicks off the Tamil remake of Anando Brahma,telugu,2019-06-10, 15:54:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/its-back-to-back-horror-for-tamannaah-kicks-off-the-tamil-remake-of-anando-brahma/articleshow/69723947.cms,10,0.55
Time of India, Taapsee Pannus to sport a unique tattoo in Game Over,telugu,2019-06-09, 17:51:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/taapsee-pannus-to-sport-a-unique-tattoo-in-game-over/articleshow/69713488.cms,11,0.5
Indian Express, Deepika Padukone joins Ranveer Singh in 83,telugu,2019-06-10,15:31:43,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-joins-ranveer-singh-in-83-5773305/,12,1.0
Time of India, Hotness Alert ‘ Loafer ’ beauty Disha Patani flaunts her curvaceous figure to perfection,telugu,2019-06-10, 18:37:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/hotness-alert-loafer-beauty-disha-patani-flaunts-her-curvaceous-figure-to-perfection/articleshow/69727358.cms,13,1.0
Time of India, Superstar Mammoottys multi lingual period drama Mamangam to release in Telugu,telugu,2019-06-08, 17:39:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/superstar-mammoottys-multi-lingual-period-drama-mamangam-to-release-in-telugu/articleshow/69703558.cms,14,1.0
Indian Express, Sushmita Sen preps for her return It ’ s never done until we say it is done,telugu,2019-06-09,15:52:06,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-preps-for-her-bollywood-return-5771772/,15,1.0
Time of India, Happy Birthday Nandamuri Balakrishna These 3 Faction films have made the Natasimham “ the darling of the masses ”,telugu,2019-06-10, 13:32:00,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/happy-birthday-nandamuri-balakrishna-these-3-faction-films-have-made-the-natasimham-the-darling-of-the-masses/articleshow/69722799.cms,16,1.0
Indian Express, Nick Jonas is missing Priyanka Chopra,telugu,2019-06-09,16:02:06,https://indianexpress.com/article/entertainment/bollywood/nick-jonas-is-missing-priyanka-chopra-5771771/,17,1.0
Indian Express, Madhuri Dixit holidays with family in Rome see photos,telugu,2019-06-10,15:23:26,https://indianexpress.com/article/entertainment/bollywood/madhuri-dixit-holidays-family-rome-see-photos-5771969/,18,1.0
