Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Its a wrap for Abhishek Bachchan Amit Sadh starrer Breathe 2Amit Sadh posted an emotional note after wrapping up Breathe 2,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/it-s-a-wrap-for-abhishek-bachchan-amit-sadh-starrer-breathe-2-1544440-2019-06-07,0,1.0
Indian Express, Amitabh Bachchan ’ s secretary Sheetal Jain dies at 77 actor remembers close aide,web-series,2019-06-09,16:24:39,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-secretary-sheetal-jain-dies-at-77-actor-remembers-close-aide-5772095/,1,0.58
India Today, The Test Case to Haq Se 5 best web series of Ekta Kapoor on her birthday From Nimrat Kaur starrer The Test Case Rajkummar Raos Bose Dead Alive Ekta Kapoor has made some impressive web shows for Alt Balaji,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/the-test-case-to-haq-se-5-best-web-series-of-ekta-kapoor-on-her-birthday-1544333-2019-06-07,2,0.42
India Today, Sanjay Suri to play Karisma Kapoors on screen husband in MentalhoodActor Sanjay Suri will play actress Karisma Kapoors character Meira Sharmas husband in Mentalhood a web series on the crazy ride of motherhood,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/sanjay-suri-to-play-karisma-kapoor-s-on-screen-husband-in-mentalhood-1545971-2019-06-10,2,0.41
India Today, Karisma Kapoor wraps up shooting for her digital debut MentalhoodActress Karisma Kapoor is all set to make her digital debut with ALTBalajis Mentalhood,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/karisma-kapoor-wraps-up-shooting-for-her-digital-debut-mentalhood-1543125-2019-06-05,2,0.41
Indian Express, Sushmita Sen preps for her return It ’ s never done until we say it is done,web-series,2019-06-09,15:52:06,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-preps-for-her-bollywood-return-5771772/,3,0.54
Indian Express, Nick Jonas is missing Priyanka Chopra,web-series,2019-06-09,16:02:06,https://indianexpress.com/article/entertainment/bollywood/nick-jonas-is-missing-priyanka-chopra-5771771/,4,1.0
India Today, Sakshi Tanwar to play a scientist in Ekta Kapoors M O M Mission Over MarsALTBalajis M O M Mission Over Mars stars Sakshi Tanwar Mona Singh Nidhi Singh and Palomi Ghosh The series is based on Mangalyaan Mars Orbiter Mission,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/sakshi-tanwar-to-play-a-scientist-in-ekta-kapoor-s-m-o-m-mission-over-mars-1544218-2019-06-07,5,0.37
Indian Express, Yuvraj Singh retirement Neha Dhupia Anupam Kher and others thank cricketer,web-series,2019-06-10,17:49:31,https://indianexpress.com/article/entertainment/bollywood/yuvraj-singh-international-cricket-retirement-bollywood-reactions-tweets-5773399/,5,0.37
Indian Express, Deepika Padukone joins Ranveer Singh in 83,web-series,2019-06-10,15:31:43,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-joins-ranveer-singh-in-83-5773305/,5,0.38
India Today, Hostages review Ronit Roy Tisca Chopras brilliant acting marred by tangled plotHostages review Ronit Roy Tisca Chopra starrer is intriguing in parts but fails to hold the interest of its viewers,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/hostages-review-ronit-roy-tisca-chopra-s-brilliant-acting-marred-by-tangled-plot-1542291-2019-06-04,6,0.58
Indian Express, Vicky Kaushal to star in Karan Johar ’ s horror film Bhoot Part One The Haunted Ship,web-series,2019-06-10,12:33:25,https://indianexpress.com/article/entertainment/bollywood/vicky-kaushal-bhoot-part-one-the-haunted-ship-horror-karan-johar-5772740/,7,1.0
Indian Express, LiveBharat box office collection Day 5 Salman Khan starrer earns Rs 150 10 crore,web-series,2019-06-10,16:08:00,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/bharat-day-5-salman-khan-5772163/,8,0.81
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,web-series,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,9,1.0
India Today, Amazon Prime announces second season of Four More Shots Please Amazon Primes Four More Shots Please stars Sayani Gupta Kirti Kulhari Maanvi Gagroo and Bani J in the lead The first season premiered in January 2019,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/amazon-prime-announces-second-season-of-four-more-shots-please-1541276-2019-06-03,10,1.0
India Today, Lucifer renewed for the final season Ill see you in hell says Tom EllisNetflix has renewed Lucifer for fifth and final series Tom Ellis shared his excitement on social media,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/lucifer-renewed-for-the-final-season-i-ll-see-you-in-hell-says-tom-ellis-1544326-2019-06-07,11,1.0
Indian Express, Madhuri Dixit holidays with family in Rome see photos,web-series,2019-06-10,15:23:26,https://indianexpress.com/article/entertainment/bollywood/madhuri-dixit-holidays-family-rome-see-photos-5771969/,12,1.0
India Today, After taking a dig at Narendra Modi Hasan Minhaj analyses result of Lok Sabha Election 2019The latest episode of Hasan Minhajs examines how BJP managed to pull off such a massive win in Lok Sabha Election 2019,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/after-taking-a-dig-at-narendra-modi-hasan-minhaj-analyses-result-of-lok-sabha-election-2019-1542568-2019-06-04,13,1.0
India Today, Ashton Kutcher starrer The Ranch to end in 2020 Netflix sitcom The Ranch will end with Season 4 Ashton Kutcher confirmed the news on Twitter,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/ashton-kutcher-starrer-the-ranch-to-end-in-2020-1543110-2019-06-05,14,1.0
India Today, Leilas Huma Qureshi Deepa Mehta on making art in troubled times and learning from pastIn viewing the power of art acknowledging the troubled times and pinning hope that art and only that can make the world a better place actor Huma Qureshi and filmmaker Deepa Mehta are on the same page,web-series,2019-06-11,00:56:00,https://www.indiatoday.in/television/web-series/story/leila-s-huma-qureshi-deepa-mehta-on-making-art-in-troubled-times-and-learning-from-past-1545326-2019-06-09,15,1.0
