Newspaper,Heading,Category,Date,Time,URL
Hindiustan Times,"Sonali Bendre shares her experience from aqua therapy session, says ‘this isn’t as easy as it looks’. Watch video",bollywood,2019-06-10,21:42:00,https://www.hindustantimes.com/bollywood/sonali-bendre-shares-her-experience-from-aqua-therapy-session-says-this-isn-t-as-easy-as-it-looks-watch-video/story-tzOuYNVSKi3XNJK8T47eJJ.html
Hindiustan Times,"Varun Dhawan, Anushka Sharma, Abhishek Bachchan hail Yuvraj Singh post his retirement",bollywood,2019-06-10,21:38:00,https://www.hindustantimes.com/bollywood/varun-dhawan-anushka-sharma-abhishek-bachchan-hail-yuvraj-singh-post-his-retirement/story-lbCTpUdKsdQbcDGB5kQlhJ.html
Hindiustan Times,"Disha Patani dines with Aditya Thackeray, Malaika Arora and Janhvi Kapoor hit the gym. See pics",bollywood,2019-06-10,20:30:00,https://www.hindustantimes.com/bollywood/disha-patani-dines-with-aditya-thackeray-malaika-arora-and-janhvi-kapoor-hit-the-gym-see-pics/story-XqPOYXTcbouzwytb5re1aI.html
Hindiustan Times,When Shah Rukh Khan’s daughter Suhana Khan danced at a party like no one’s watching. Watch,bollywood,2019-06-10,18:28:00,https://www.hindustantimes.com/bollywood/when-shah-rukh-khan-s-daughter-suhana-khan-danced-at-a-party-like-no-one-s-watching-watch/story-QNuESL34GERjYTUFUxtS5J.html
Hindiustan Times,Meezaan on link-up rumours with Amitabh Bachchan’s granddaughter Navya Naveli: ‘She’s a really good friend’,bollywood,2019-06-10,18:15:00,https://www.hindustantimes.com/bollywood/meezaan-on-link-up-rumours-with-amitabh-bachchan-s-granddaughter-navya-naveli-she-s-a-really-good-friend/story-o5wBQ70Ix4G4skDwfp7bqK.html
Hindiustan Times,Hazel Keech’s appreciation post for husband Yuvraj Singh gets a compliment from his ex-girlfriend Kim Sharma,bollywood,2019-06-10,18:32:00,https://www.hindustantimes.com/bollywood/hazel-keech-s-appreciation-post-for-husband-yuvraj-singh-gets-a-compliment-from-his-ex-girlfriend-kim-sharma/story-k1zzCWR7dnpzhxFAHTbIHO.html
Hindiustan Times,"Hrithik Roshan’s sister Sunaina refutes rumours of ‘being critical, in hospital’, says she is partying with friends",bollywood,2019-06-10,17:21:00,https://www.hindustantimes.com/bollywood/hrithik-roshan-s-sister-sunaina-refutes-rumours-of-being-critical-in-hospital-says-she-is-partying-with-friends/story-ye6yI0QRluWUgS33xcD0BM.html
Hindiustan Times,"Nick Jonas reveals his two favourite Bollywood songs, only one features Priyanka Chopra",bollywood,2019-06-10,16:07:00,https://www.hindustantimes.com/bollywood/nick-jonas-reveals-his-two-favourite-bollywood-songs-only-one-features-priyanka-chopra/story-BOwh3yfg6sdgFJlDWgPilJ.html
Hindiustan Times,Saif Ali Khan on spending time with family: ‘I feel bad when I come home after work and find Taimur sleeping’ ,bollywood,2019-06-10,14:57:00,https://www.hindustantimes.com/bollywood/saif-ali-khan-on-spending-time-with-family-i-feel-bad-when-i-come-home-after-work-and-find-taimur-sleeping/story-GOhW3ZZ9hs2cGCGb0k3uSN.html
Hindiustan Times,"Sameera Reddy shares pregnancy shoot, slams trolls ‘who feel uncomfortable with me enjoying my pregnant belly’",bollywood,2019-06-10,15:28:00,https://www.hindustantimes.com/bollywood/sameera-reddy-shares-pregnancy-shoot-slams-trolls-who-feel-uncomfortable-with-me-enjoying-my-pregnant-belly/story-q89TEsiUzxDrRGQa3HVp2K.html
Hindiustan Times,"Anushka Sharma cheers for Virat Kohli’s kind gesture for Steve Smith during World Cup match, says he’s ‘so easy to love’",bollywood,2019-06-10,14:22:00,https://www.hindustantimes.com/bollywood/anushka-sharma-cheers-for-virat-kohli-s-kind-gesture-for-steve-smith-during-world-cup-match-says-he-s-so-easy-to-love/story-4x6qAfeKl5BLUUJ1PZ5lkK.html
Hindiustan Times,"RIP Girish Karnad: The man who brought art, literature to the man on the street",bollywood,2019-06-10,13:36:00,https://www.hindustantimes.com/bollywood/rip-girish-karnad-the-man-who-bought-art-literature-to-the-man-on-the-street/story-le5yPHxMj8A7azS5vVn0QP.html
Hindiustan Times,Deepika Padukone on playing Ranveer Singh’s onscreen wife in 83: ‘This isn’t coming from a personal equation’,bollywood,2019-06-10,12:50:00,https://www.hindustantimes.com/bollywood/deepika-padukone-on-playing-ranveer-singh-s-onscreen-wife-in-83-this-isn-t-coming-from-a-personal-equation/story-kfgfINpqVipL5uOtS5zpPM.html
Hindiustan Times,"Bhoot: Karan Johar, Vicky Kaushal announce new horror franchise with scary poster. See here",bollywood,2019-06-10,12:07:00,https://www.hindustantimes.com/bollywood/bhoot-karan-johar-vicky-kaushal-announce-new-horror-franchise-with-scary-poster-see-here/story-1Gh8eBcAX51xZdHCepG4bN.html
Hindiustan Times,"Siddhant Chaturvedi says he auditioned for Aladdin, Million Dollar Arm. Here’s why he didn’t land the roles",bollywood,2019-06-10,11:12:00,https://www.hindustantimes.com/bollywood/siddhant-chaturvedi-says-he-auditioned-for-aladdin-million-dollar-arm-here-s-why-he-didn-t-land-the-roles/story-4LlVqdEtBPLoFS8dlQKNNJ.html
Hindiustan Times,"Chris Pratt shares first pic with wife Katherine Schwarzenegger, Priyanka Chopra wishes the couple",hollywood,2019-06-10,13:44:00,https://www.hindustantimes.com/hollywood/chris-pratt-shares-first-pic-with-wife-katherine-schwarzenegger-priyanka-chopra-wishes-the-couple/story-IzTS9fZQ2FdPSSzddvV6FP.html
Hindiustan Times,"George Clooney on friendship with Meghan Markle, Prince Harry: ‘We live not too far from one another and we have dinners’",hollywood,2019-06-09,14:26:00,https://www.hindustantimes.com/hollywood/george-clooney-on-friendship-with-meghan-markle-prince-harry-we-live-not-too-far-from-one-another-and-we-have-dinners/story-JYeRpZGo6KfAgHxnwC7i6K.html
Hindiustan Times,"Chris Pratt and Katherine Schwarzenegger marry in an intimate ceremony, see pics",hollywood,2019-06-09,11:26:00,https://www.hindustantimes.com/hollywood/chris-pratt-and-katherine-schwarzenegger-marry-in-an-intimate-ceremony-see-pics/story-7jOY72XLE1E09KozY1wBIN.html
Hindiustan Times,I Am Mother movie review: Has Netflix found the new Christopher Nolan? Hilary Swank thinks so,hollywood,2019-06-10,16:55:00,https://www.hindustantimes.com/hollywood/i-am-mother-movie-review-has-netflix-found-the-new-christopher-nolan-hilary-swank-thinks-so/story-jX2su2n885F2n8ng2yoC9M.html
Hindiustan Times,X Men Dark Phoenix to register loss of Rs 695 crore. Here’s what went wrong,hollywood,2019-06-10,16:32:00,https://www.hindustantimes.com/hollywood/x-men-dark-phoenix-to-register-loss-of-rs-695-crore-here-s-what-went-wrong/story-14KaHogLoRtSOqMBCJruvI.html
Hindiustan Times,"Chris Pratt shares first pic with wife Katherine Schwarzenegger, Priyanka Chopra wishes the couple",hollywood,2019-06-10,13:44:00,https://www.hindustantimes.com/hollywood/chris-pratt-shares-first-pic-with-wife-katherine-schwarzenegger-priyanka-chopra-wishes-the-couple/story-IzTS9fZQ2FdPSSzddvV6FP.html
Hindiustan Times,"George Clooney on friendship with Meghan Markle, Prince Harry: ‘We live not too far from one another and we have dinners’",hollywood,2019-06-09,14:26:00,https://www.hindustantimes.com/hollywood/george-clooney-on-friendship-with-meghan-markle-prince-harry-we-live-not-too-far-from-one-another-and-we-have-dinners/story-JYeRpZGo6KfAgHxnwC7i6K.html
