Newspaper,Heading,Date,Time,URL
Hindiustan Times,"KEAM Result 2019: Engineering, Pharmacy entrance score published, here’s direct link to check",2019-05-22,12:53:00,https://www.hindustantimes.com/education/keam-result-2019-engineering-pharmacy-entrance-score-published-here-s-direct-link-to-check/story-CgC8tNND089gL3WxuaFIBO.html
Hindiustan Times,"Rajasthan Board RBSE 12th arts result 2019 declared, here’s the direct link to check marks",2019-05-22,15:19:00,https://www.hindustantimes.com/education/rajasthan-board-rbse-12th-arts-result-2019-declared-here-s-the-direct-link-to-check-marks/story-GOq3SPh6rUwaLUiW2yzSaK.html
Hindiustan Times,"RBSE 12th arts result 2019 declared, check your Rajasthan Board marks at rajresults.nic.in",2019-05-22,15:19:00,https://www.hindustantimes.com/education/rbse-12th-arts-result-2019-declared-check-your-rajasthan-board-marks-at-rajresults-nic-in/story-ULxbdZsjSXRXI4ERsjknwK.html
Hindiustan Times,"No taker, Bhagalpur varsity drops PG course in Angika",2019-05-22,18:14:00,https://www.hindustantimes.com/education/no-taker-bhagalpur-varsity-drops-pg-course-in-angika/story-uiTVycD5qUj7mTnRhprhgL.html
Hindiustan Times,"NIOS D.El.Ed 4th Semester Result 2019 declared, here’s direct link to check",2019-05-22,17:33:00,https://www.hindustantimes.com/education/nios-d-el-ed-4th-semester-result-2019-declared-here-s-direct-link-to-check/story-eKwmaDwnDDWHGnW7cZ4BfK.html
Hindiustan Times,UPPSC PCS Mains 2018: Just one day left to apply for the exam,2019-05-22,17:21:00,https://www.hindustantimes.com/education/uppsc-pcs-mains-2018-just-one-day-left-to-apply-for-the-exam/story-WyO41fPqCh6N1i8Gs6BuqN.html
Hindiustan Times,"Rajasthan Board RBSE 12th arts result 2019 declared, here’s the direct link to check marks",2019-05-22,15:19:00,https://www.hindustantimes.com/education/rajasthan-board-rbse-12th-arts-result-2019-declared-here-s-the-direct-link-to-check-marks/story-GOq3SPh6rUwaLUiW2yzSaK.html
Hindiustan Times,"RBSE 12th arts result 2019 declared, check your Rajasthan Board marks at rajresults.nic.in",2019-05-22,15:19:00,https://www.hindustantimes.com/education/rbse-12th-arts-result-2019-declared-check-your-rajasthan-board-marks-at-rajresults-nic-in/story-ULxbdZsjSXRXI4ERsjknwK.html
Hindiustan Times,High court seeks DU’s reply over games removed from sports quota,2019-05-22,14:14:00,https://www.hindustantimes.com/education/high-court-seeks-du-s-reply-over-games-removed-from-sports-quota/story-9Xu37Ul1KXkVDNfjnIFpRP.html
Hindiustan Times,CBSE asks DU to align admissions schedule with re-evaluation process,2019-05-22,14:05:00,https://www.hindustantimes.com/education/cbse-asks-du-to-align-admissions-schedule-with-re-evaluation-process/story-8X0EJL7lI2jrSlvIJ4eofM.html
Hindiustan Times,RBSE 12th arts result 2019 live: Geeta Jaipal of Ganganagar tops exam scoring 99.40% marks,2019-05-22,16:43:00,https://www.hindustantimes.com/education/rbse-rajasthan-board-12th-arts-result-2019-live-updates/story-m0xTDOYv10cvT1ytVmZgBO.html
Hindiustan Times,"Rajasthan Board RBSE 12th arts result 2019 declared, 88% pass",2019-05-22,15:17:00,https://www.hindustantimes.com/education/rajasthan-board-rbse-12th-arts-result-2019-today-at-3pm/story-cxqjHBynfSL2PLy6SIPuML.html
Hindiustan Times,"KEAM Result 2019: Engineering, Pharmacy entrance score published, here’s direct link to check",2019-05-22,12:53:00,https://www.hindustantimes.com/education/keam-result-2019-engineering-pharmacy-entrance-score-published-here-s-direct-link-to-check/story-CgC8tNND089gL3WxuaFIBO.html
