Newspaper,Heading,Date,Time,URL
Indian Express,PM Modi takes oath in white kurta-pyjama and grey Nehru jacket,2019-05-30,8:25:59 pm,https://indianexpress.com/article/lifestyle/fashion/prime-minister-narendra-modi-takes-oath-at-rashtrapati-bhavan-in-white-kurta-pyjama-nehru-jacket-5757031/
Indian Express,Kangana Ranaut picks a Raw Mango sari for PM Modi's swearing-in ceremony,2019-05-30,6:57:31 pm,https://indianexpress.com/article/lifestyle/fashion/kangana-ranaut-steps-out-in-a-raw-mango-sari-for-prime-minister-narendra-modis-swearing-in-ceremony-5756964/
Indian Express,"Dal Raisina, all you need to know about the special delicacy served in Rashtrapati Bhavan",2019-05-30,8:32:29 pm,https://indianexpress.com/article/lifestyle/food-wine/prime-minister-narendra-modi-swearing-in-menu-dal-raisina-5754372/
Indian Express,Kareena Kapoor Khan oozes elegance; gives lessons on power dressing,2019-05-30,5:56:44 pm,https://indianexpress.com/article/lifestyle/fashion/kareena-kapoor-khan-oozes-elegance-gives-lessons-on-power-dressing-5756749/
Indian Express,Dal Raisina: All you need to know about the special delicacy to be served in Rashtrapati Bhavan,2019-05-30,8:32:29 pm,https://indianexpress.com/article/lifestyle/food-wine/prime-minister-narendra-modi-swearing-in-menu-dal-raisina-5754372/
Indian Express,PM Modi takes oath in white kurta-pyjama and grey Nehru jacket,2019-05-30,8:25:59 pm,https://indianexpress.com/article/lifestyle/fashion/prime-minister-narendra-modi-takes-oath-at-rashtrapati-bhavan-in-white-kurta-pyjama-nehru-jacket-5757031/
Indian Express,Kangana Ranaut picks Raw Mango sari for PM Modi’s swearing-in ceremony,2019-05-30,6:57:31 pm,https://indianexpress.com/article/lifestyle/fashion/kangana-ranaut-steps-out-in-a-raw-mango-sari-for-prime-minister-narendra-modis-swearing-in-ceremony-5756964/
Indian Express,Kareena Kapoor Khan oozes elegance; gives lessons on power dressing,2019-05-30,5:56:44 pm,https://indianexpress.com/article/lifestyle/fashion/kareena-kapoor-khan-oozes-elegance-gives-lessons-on-power-dressing-5756749/
Indian Express,Eid-ul-Fitr 2019 Date in India: When is Eid-ul-Fitr in 2019?,2019-05-30,5:36:49 pm,https://indianexpress.com/article/lifestyle/life-style/eid-ul-fitr-2019-date-when-eid-ul-fitr-india-saudi-arabia-uae-pakistan-bangladesh-5756140/
Indian Express,Accelerate actions to slash tobacco use across South-East Asian Region: WHO,2019-05-30,5:12:03 pm,https://indianexpress.com/article/lifestyle/health/accelerate-actions-to-slash-tobacco-use-across-south-east-asian-region-who-5756664/
Indian Express,Nursing a hangover? These smoothie recipes will help you feel better,2019-05-30,4:24:52 pm,https://indianexpress.com/article/lifestyle/food-wine/nursing-hangover-these-smoothie-recipes-will-help-5756487/
Indian Express,Young women suicide rate increased three months after ’13 Reasons Why’ released on Netflix: Study,2019-05-30,2:48:15 pm,https://indianexpress.com/article/lifestyle/health/increase-in-suicide-among-young-women-after-netflix-series-13-reasons-why-finds-study-5756148/
Indian Express,From controlling diabetes to skin care: Know about the health benefits of jamun,2019-05-30,1:25:50 pm,https://indianexpress.com/article/lifestyle/health/controlling-diabetes-skin-care-know-health-benefits-jamun-5755967/
Indian Express,"Armed conflict linked with heart attack, stroke risk among civilians: Study",2019-05-30,11:47:45 am,https://indianexpress.com/article/lifestyle/health/armed-conflict-linked-with-heart-attack-stroke-risk-among-civilians-study-5755905/
Indian Express,Fleabag: The unbearable lightness of sisterhood,2019-05-30,10:15:52 am,https://indianexpress.com/article/lifestyle/feelings/fleabag-the-unbearable-lightness-of-sisterhood-phoebe-waller-bridge-5754490/
Indian Express,"Indian writer Annie Zaidi wins $100,000 global book prize",2019-05-30,10:14:18 am,https://indianexpress.com/article/lifestyle/books/indian-writer-annie-zaidi-wins-100000-global-book-prize-5755673/
