Newspaper,Heading,Date,Time,URL
India Today, Katrina Kaif to Kriti Sanon: Best and worst-dressed celebs at awards night,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/katrina-kaif-to-kriti-sanon-best-and-worst-dressed-celebs-at-awards-night-1540597-2019-06-02
India Today, Malaika Arora channels inner cowgirl in sheer mini dress and boots on lunch date. See pics ,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/malaika-arora-channels-inner-cowgirl-in-sheer-mini-dress-and-boots-at-lunch-date-see-pics-1540316-2019-06-01
India Today, Neena Gupta leaves London gasping for air in plunging neckline top and denims with long boots ,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/neena-gupta-leaves-london-gasping-for-air-in-plunging-neckline-top-and-denims-with-long-boots-1540308-2019-06-01
India Today, Parineeti Chopra teaches us how to do athleisure right in oversized hoodie and tights at airport,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/parineeti-chopra-teaches-us-how-to-do-athleisure-right-in-oversized-hoodie-and-tights-at-airport-1540226-2019-06-01
India Today, Manish Malhotra visits his most favourite couple Rishi Kapoor and Neetu Kapoor in NYC. See pic,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/manish-malhotra-visits-his-most-favourite-couple-rishi-kapoor-and-neetu-kapoor-in-nyc-see-pic-1540170-2019-06-01
India Today, Malaika Arora is a perfect 10 in figure hugging top and pants at the gym. See pics,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/malaika-arora-is-a-perfect-10-in-figure-hugging-top-and-pants-at-the-gym-see-pics-1540147-2019-06-01
India Today, Priyanka Chopra denies meeting BFF Meghan Markle and baby Archie in London: This is untrue,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/priyanka-chopra-denies-meeting-bff-meghan-markle-and-baby-archie-in-london-this-is-untrue-1540086-2019-06-01
India Today, Janhvi Kapoor flaunts washboard abs in crop top and mini shorts after gym. See pics,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/janhvi-kapoor-flaunts-washboard-abs-in-crop-top-and-mini-shorts-after-gym-see-pics-1540062-2019-06-01
India Today, Malaika Arora shows us her many sultry moods in stunning pics from recent photoshoot,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/malaika-arora-shows-us-her-many-sultry-moods-in-stunning-pics-from-recent-photoshoot-1540007-2019-06-01
India Today, Sonam Kapoor looks drop dead gorgeous in Rs 1.8 lakh jacket and skirt at airport. See pics,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/sonam-kapoor-looks-drop-dead-gorgeous-in-rs-1-8-lakh-jacket-and-skirt-at-airport-see-pics-1539973-2019-06-01
India Today, Sleep in a bubble or inside a snake. 10 strangest Airbnb homes you should stay at,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/sleep-in-a-bubble-or-inside-a-snake-10-strangest-airbnb-homes-you-should-stay-at-1539695-2019-05-31
