Newspaper,Heading,Date,Time,URL
Hindiustan Times,"Boss Girl: Presenting Rhea Kapoor! Bollywood’s bulwark against patriarchy, misogyny and sexism",2019-05-25,23:27:00,https://www.hindustantimes.com/brunch/boss-girl-introducing-rhea-kapoor-bollywood-s-bulwark-against-patriarchy-misogyny-and-sexism/story-GwGKIOx52PrMdx5SIbJlCJ.html
Hindiustan Times,Humour: Restaurants and their endless need for cuteness,2019-05-25,23:10:00,https://www.hindustantimes.com/brunch/humour-restaurants-and-their-endless-need-for-cuteness/story-Rv7wy090IFkhoFi7W7lfmK.html
Hindiustan Times,Travel: The Serbian melting pot,2019-05-26,07:52:00,https://www.hindustantimes.com/brunch/travel-the-serbian-melting-pot/story-oPb3RlYE9eRy7OInCRLJbO.html
Hindiustan Times,The rise of the fall: Why mobile phone buyers should rejoice!,2019-05-25,22:04:00,https://www.hindustantimes.com/brunch/the-rise-of-the-fall-why-mobile-phone-buyers-should-rejoice/story-EDWP1Sz78T8MN1qKxqG2IJ.html
Hindiustan Times,Lady Gaga exhibits her quirky costume collection in Las Vegas,2019-05-31,11:00:00,https://www.hindustantimes.com/fashion-and-trends/lady-gaga-exhibits-her-quirky-costume-collection-in-las-vegas/story-F6nBVPJn45aRdGhPMSiW0K.html
Hindiustan Times,What motivates someone to spy on your phone?,2019-05-31,10:17:00,https://www.hindustantimes.com/sex-and-relationships/what-motivates-someone-to-spy-on-your-phone/story-IkKHJzsDRaZ0BO1pCN5npM.html
Hindiustan Times,From street-side drug addicts to trained artists ,2019-05-30,17:29:00,https://www.hindustantimes.com/more-lifestyle/from-street-side-drug-addicts-to-trained-artists/story-lHopPyuJtSxMWhrLJ5pfsO.html
Hindiustan Times,"Sara Ali Khan’s white kurta is quite affordable at Rs 2,200. Get her look",2019-05-31,11:15:00,https://www.hindustantimes.com/fashion-and-trends/sara-ali-khan-s-white-kurta-can-be-recreated-at-approximately-rs-2200-get-her-look/story-ffhUbZtFxQ5freMQpRCfgJ.html
Hindiustan Times,Summer special: For the love of lychee,2019-05-30,15:29:00,https://www.hindustantimes.com/more-lifestyle/summer-special-for-the-love-of-lychee/story-OcoZwsZbOsiEj0rT3d0OVP.html
Hindiustan Times,Stress during pregnancy affects reproductive function in male offspring: Study,2019-05-30,14:32:00,https://www.hindustantimes.com/sex-and-relationships/stress-during-pregnancy-affects-reproductive-function-in-male-offspring-study/story-Tvsu4BmQGLdrKm346EX8bJ.html
Hindiustan Times,Harry Styles proves it’s a fashion era for men at Gucci show,2019-05-30,14:03:00,https://www.hindustantimes.com/fashion-and-trends/harry-styles-proves-it-s-a-fashion-era-for-men-at-gucci-show/story-ho37ouPXhNZ3LIKPIqEZ6I.html
Hindiustan Times,"Resurgent Capital: In and around Bogota, Columbia",2019-05-30,13:37:00,https://www.hindustantimes.com/travel/resurgent-capital-in-and-around-bogota-columbia/story-VZtZTyxr2IrqyL7zXtYbQJ.html
Hindiustan Times,"Priyanka Chopra, Sonam Kapoor, Dua Lipa show you how to style tiny bags",2019-05-30,11:23:00,https://www.hindustantimes.com/fashion-and-trends/priyanka-chopra-sonam-kapoor-dua-lipa-show-you-how-to-style-tiny-bags/story-YOHdh7SZXWMdiwjRnHic1K.html
Hindiustan Times,"Deepika Padukone, Kareena Kapoor, Ananya Panday show you how to style a denim jumpsuit",2019-05-30,08:00:00,https://www.hindustantimes.com/fashion-and-trends/deepika-padukone-kareena-kapoor-ananya-panday-show-you-how-to-style-a-denim-jumpsuit/story-bfaAFAicsb9Bkp2sRyoNBO.html
Hindiustan Times,Chaat is always a childhood memory — We can’t be objective about chaat; it is the taste of growing up,2019-05-29,13:58:00,https://www.hindustantimes.com/travel/the-taste-with-vir-chaat-is-always-a-childhood-memory-we-can-t-be-objective-about-chaat-it-is-the-taste-of-growing-up/story-EaUUmmbsSh0rdvzxN1eCVJ.html
Hindiustan Times,Not so Aam India,2019-05-29,13:42:00,https://www.hindustantimes.com/more-lifestyle/not-so-aam-india/story-JcNcXQPDatZHzsibzUBruN.html
Hindiustan Times,Bollywood celebrity inspired beach accessories to help you surf through your next vacation,2019-05-29,13:42:00,https://www.hindustantimes.com/fashion-and-trends/sara-ali-khan-deepika-padukone-anushka-sharma-help-you-navigate-beach-essentials-this-summer/story-TrOo8H2UPdMPhoSG6DwqrM.html
Hindiustan Times,Identity quest: An art fest that goes beyond the canvas,2019-05-29,13:20:00,https://www.hindustantimes.com/art-and-culture/identity-quest-an-art-fest-that-goes-beyond-the-canvas/story-IpYXrRjkyFB1AZu12UjEwM.html
Hindiustan Times,How to make long distance relationships work? ,2019-05-29,17:33:00,https://www.hindustantimes.com/sex-and-relationships/how-to-make-long-distance-relationships-work/story-1XsV57HuIIXS1hE3zQ85uM.html
Hindiustan Times,What’s hot in ice cream? A scoop on new flavours,2019-05-29,11:02:00,https://www.hindustantimes.com/more-lifestyle/what-s-hot-in-ice-cream-a-scoop-on-new-flavours/story-WnE1745lBEYiqPAWcolJtI.html
Hindiustan Times,Fifth edition of the Fetes Galantes brings France’s Louis XIV back to life in Versailles,2019-05-29,10:44:00,https://www.hindustantimes.com/fashion-and-trends/fifth-edition-of-the-fetes-galantes-brings-france-s-louis-xiv-back-to-life-in-versailles/story-JUdWz8pWDXLmM2DItBoDrN.html
Hindiustan Times,Jaipur Wax Museum celebrates Gayatri Devi’s 100th birth anniversary ,2019-05-29,17:54:00,https://www.hindustantimes.com/art-and-culture/jaipur-wax-museum-celebrates-gayatri-devi-s-100th-birth-anniversary/story-LTWXFK5krOMIjGO4cvCsAL.html
Hindiustan Times,Meet India’s first male model with autism,2019-05-29,18:01:00,https://www.hindustantimes.com/fashion-and-trends/meet-india-s-first-male-model-with-autism/story-eMSap5YkWb7d69LzCuSGLP.html
Hindiustan Times,Largest art museum in US to showcase works of Indian sculptor Mrinalini Mukherjee,2019-05-28,12:55:00,https://www.hindustantimes.com/art-and-culture/largest-art-museum-in-us-to-showcase-works-of-indian-sculptor-mrinalini-mukherjee/story-UGoDJ4JlQQmEQflXQbIMNL.html
