Newspaper,Heading,Date,Time,URL
Hindiustan Times,"Boss Girl: Presenting Rhea Kapoor! Bollywood’s bulwark against patriarchy, misogyny and sexism",2019-05-25,23:27:00,https://www.hindustantimes.com/brunch/boss-girl-introducing-rhea-kapoor-bollywood-s-bulwark-against-patriarchy-misogyny-and-sexism/story-GwGKIOx52PrMdx5SIbJlCJ.html
Hindiustan Times,Humour: Restaurants and their endless need for cuteness,2019-05-25,23:10:00,https://www.hindustantimes.com/brunch/humour-restaurants-and-their-endless-need-for-cuteness/story-Rv7wy090IFkhoFi7W7lfmK.html
Hindiustan Times,Travel: The Serbian melting pot,2019-05-26,07:52:00,https://www.hindustantimes.com/brunch/travel-the-serbian-melting-pot/story-oPb3RlYE9eRy7OInCRLJbO.html
Hindiustan Times,The rise of the fall: Why mobile phone buyers should rejoice!,2019-05-25,22:04:00,https://www.hindustantimes.com/brunch/the-rise-of-the-fall-why-mobile-phone-buyers-should-rejoice/story-EDWP1Sz78T8MN1qKxqG2IJ.html
Hindiustan Times,How to make long distance relationships work? ,2019-05-29,11:52:00,https://www.hindustantimes.com/sex-and-relationships/how-to-make-long-distance-relationships-work/story-1XsV57HuIIXS1hE3zQ85uM.html
Hindiustan Times,What’s hot in ice cream? A scoop on new flavours,2019-05-29,11:02:00,https://www.hindustantimes.com/more-lifestyle/what-s-hot-in-ice-cream-a-scoop-on-new-flavours/story-WnE1745lBEYiqPAWcolJtI.html
Hindiustan Times,Fifth edition of the Fetes Galantes brings France’s Louis XIV back to life in Versailles,2019-05-29,10:44:00,https://www.hindustantimes.com/fashion-and-trends/fifth-edition-of-the-fetes-galantes-brings-france-s-louis-xiv-back-to-life-in-versailles/story-JUdWz8pWDXLmM2DItBoDrN.html
Hindiustan Times,Jaipur Wax Museum celebrates Gayatri Devi’s 100th birth anniversary ,2019-05-28,17:24:00,https://www.hindustantimes.com/art-and-culture/jaipur-wax-museum-celebrates-gayatri-devi-s-100th-birth-anniversary/story-LTWXFK5krOMIjGO4cvCsAL.html
Hindiustan Times,Meet India’s first male model with autism,2019-05-28,18:14:00,https://www.hindustantimes.com/fashion-and-trends/meet-india-s-first-male-model-with-autism/story-eMSap5YkWb7d69LzCuSGLP.html
Hindiustan Times,Largest art museum in US to showcase works of Indian sculptor Mrinalini Mukherjee,2019-05-28,12:55:00,https://www.hindustantimes.com/art-and-culture/largest-art-museum-in-us-to-showcase-works-of-indian-sculptor-mrinalini-mukherjee/story-UGoDJ4JlQQmEQflXQbIMNL.html
Hindiustan Times,Seriously Cyrus: Is the salad worth the forbidden fruit?,2019-05-28,17:44:00,https://www.hindustantimes.com/sex-and-relationships/seriously-cyrus-is-the-salad-worth-the-forbidden-fruit/story-4Bbvr6YyX5UbO3I2PRaJ1M.html
Hindiustan Times,"Russel Peters on his worst experiences, Kolkata connection, his daughter and more",2019-05-27,18:47:00,https://www.hindustantimes.com/more-lifestyle/russel-peters-on-his-worst-experiences-kolkata-connections-his-daughter-and-more/story-N4sxbzkHP54xhwkzK5BjKM.html
Hindiustan Times,Actors opt for outfits with plunging necklines at Cannes,2019-05-28,10:51:00,https://www.hindustantimes.com/fashion-and-trends/actors-opt-for-outfits-with-plunging-necklines-at-cannes/story-XCRHc3N4HN0H4dKHMKWjjL.html
Hindiustan Times,Style Trends 2019: Monochrome magic at Cannes ,2019-05-28,10:49:00,https://www.hindustantimes.com/fashion-and-trends/style-trends-2019-monochrome-magic-at-cannes/story-SUQE7fqfLQPWSG7gBQEKaO.html
Hindiustan Times,Is modest dressing having a major moment in fashion? ,2019-05-27,13:44:00,https://www.hindustantimes.com/fashion-and-trends/is-modesty-the-new-black/story-WYYb0K8LkOX5COk5N8hE3J.html
Hindiustan Times,How Aishwarya gave a unique twist to her red carpet look,2019-05-27,12:00:00,https://www.hindustantimes.com/fashion-and-trends/how-aishwarya-gave-a-unique-twist-to-her-red-carpet-look/story-YTPyzxIJPvPuYCgCT6v2JI.html
Hindiustan Times,Cut performance to prevent boredom: Amjad Ali Khan,2019-05-27,10:56:00,https://www.hindustantimes.com/art-and-culture/cut-performance-to-prevent-boredom-amjad-ali-khan/story-fzfe3V17kv3XpPqXSmgEGK.html
Hindiustan Times,Reality check: Being an unmarried 32-year-old man in India,2019-05-26,14:40:00,https://www.hindustantimes.com/sex-and-relationships/reality-check-being-an-unmarried-32-year-old-man-in-india/story-gHz4P5j3PlY6Ot2RZT0OTK.html
Hindiustan Times,People tend to adapt to societal diversity over time,2019-05-26,09:35:00,https://www.hindustantimes.com/sex-and-relationships/people-tend-to-adapt-to-societal-diversity-over-time/story-UZkXSOkHDaB4aa7DHxbO5M.html
Hindiustan Times,"Boss Girl: Presenting Rhea Kapoor! Bollywood’s bulwark against patriarchy, misogyny and sexism",2019-05-25,23:27:00,https://www.hindustantimes.com/brunch/boss-girl-introducing-rhea-kapoor-bollywood-s-bulwark-against-patriarchy-misogyny-and-sexism/story-GwGKIOx52PrMdx5SIbJlCJ.html
Hindiustan Times,Humour: Restaurants and their endless need for cuteness,2019-05-25,23:10:00,https://www.hindustantimes.com/brunch/humour-restaurants-and-their-endless-need-for-cuteness/story-Rv7wy090IFkhoFi7W7lfmK.html
Hindiustan Times,Travel: The Serbian melting pot,2019-05-26,07:52:00,https://www.hindustantimes.com/brunch/travel-the-serbian-melting-pot/story-oPb3RlYE9eRy7OInCRLJbO.html
Hindiustan Times,The rise of the fall: Why mobile phone buyers should rejoice!,2019-05-25,22:04:00,https://www.hindustantimes.com/brunch/the-rise-of-the-fall-why-mobile-phone-buyers-should-rejoice/story-EDWP1Sz78T8MN1qKxqG2IJ.html
Hindiustan Times,“Mahatma Gandhi remains the king of minimalism” says Rajesh Pratap Singh ,2019-05-26,07:51:00,https://www.hindustantimes.com/brunch/mahatma-gandhi-remains-the-king-of-minimalism-says-rajesh-pratap-singh/story-Kc1LOeSk3mYFMzqrZ6kzeO.html
Hindiustan Times,Your five-point guide to writing a dating app bio,2019-05-26,07:57:00,https://www.hindustantimes.com/brunch/your-five-point-guide-to-writing-a-dating-app-bio/story-yUBoKixXERth310Gfq0hUN.html
