Source,Heading,Category,Date,Time,URL
Savvy,"Mary Kom-  In order for dreams to become a reality… passion, hard work and determination are necessary",i believe,2019-05-02,22:59,http://www.savvy.co.in/article/i-believe/Mary-Kom-In-order-for-dreams-to-become-a-reality…-/12418
Savvy,Hina Khan,i believe,2019-03-13,22:59,http://www.savvy.co.in/article/i-believe/hina-khan/12405
Savvy,“I feel the strongest are those who fight their battles on their own and face the odds” — Chahatt Khanna,i believe,2019-02-12,22:59,http://www.savvy.co.in/article/i-believe/“I-feel-the-strongest-are-those-who-fight-their-ba/12385
Savvy,Bharti Singh,i believe,2018-12-18,22:59,http://www.savvy.co.in/article/i-believe/bharti-singh/12354
Savvy,"Nawaz Siddiqui And I Had A Quiet Understanding, There Was Seamless Communication Without Trying! ...Says Rasika Dugal",i believe,2018-11-16,22:59,http://www.savvy.co.in/article/i-believe/nawaz-siddiqui-and-i-had-a-quiet-understanding-there-was-seamless-communication-without-trying-says/12343
Savvy,"""My Father-In-Law Called Me A Whore"" Aarti Naagpal's Shocking Maritial Life",i believe,2018-12-20,22:59,http://www.savvy.co.in/article/i-believe/my-father-in-law-called-me-a-whore-aarti-naagpal39s-shocking-maritial-life/12318
Savvy,"Whether It's Work Or A Man, I Seize It! - Neha Dhupia",i believe,2018-12-12,22:59,http://www.savvy.co.in/article/i-believe/whether-it39s-work-or-a-man-i-seize-it---neha-dhupia/12312
Savvy,"'I Worked To Ensure That Sanjay Did Not Come Out As A Bitter Or Broken Person."" Maanayata Dutt",i believe,2017-09-04,22:59,http://www.savvy.co.in/article/i-believe/39i-worked-to-ensure-that-sanjay-did-not-come-out-as-a-bitter-or-broken-person-maanayata-dutt/12163
Savvy,"""Tiger Shroff & I Are Good Friends; I Don't Care About Rumours!"" Disha Patani",i believe,2017-07-10,22:59,http://www.savvy.co.in/article/i-believe/tiger-shroff-i-are-good-friends-i-don39t-care-about-rumours-disha-patani/12140
Savvy,"""All We Heard Was My Dad Screech Murder... It Was A Shocker!"" Vidhie Mukerjea Reveals The Inside Story Of The Case Her Parents Peter And Indrani Are Incriminated In",i believe,2017-07-07,22:59,http://www.savvy.co.in/article/i-believe/all-we-heard-was-my-dad-screech-murder-it-was-a-shocker-vidhie-mukerjea-reveals-the-inside-story-of/12137
Savvy,Jewel It Up!,fashion,2019-04-26,22:59,http://www.savvy.co.in/article/fashion/jewel-it-up/12414
Savvy,Glam Up!,fashion,2019-02-14,22:59,http://www.savvy.co.in/article/fashion/glam-up/12393
Savvy,Global Eye,fashion,2019-02-14,22:59,http://www.savvy.co.in/article/fashion/global-eye/12390
Savvy,Hot Stepper!,fashion,2019-02-14,22:59,http://www.savvy.co.in/article/fashion/hot-stepper/12389
Savvy,Wedding Rhapsody:  Hotshot designer Pranay Baidya cues Sudeshna Chakravarty into the bridal trends of the season.,fashion,2019-01-24,22:59,http://www.savvy.co.in/article/fashion/wedding-rhapsody-hotshot-designer-pranay-baidya-cues-sudeshna-chakravarty-into-the-bridal-trends-of/12374
Savvy,Elegant:  Glamazon industrialist Sheetal Mafatlal helps you stride forward fashionably,fashion,2019-01-23,22:59,http://www.savvy.co.in/article/fashion/elegant-glamazon-industrialist-sheetal-mafatlal-helps-you-stride-forward-fashionably/12373
Savvy,Festive Bling!,fashion,2018-11-15,22:59,http://www.savvy.co.in/article/fashion/festive-bling/12367
Savvy,"Priyanka Chopra-Nick Jonas Wedding Reception: Deepika Padukone, Ranveer Singh, Katrina, Anushka made it a ROCKING affair! PICS here",fashion,2018-12-22,22:59,http://www.savvy.co.in/article/fashion/priyanka-chopra-nick-jonas-wedding-reception-deepika-padukone-ranveer-singh-katrina-anushka-made-it/12366
Savvy,Glam It On!,fashion,2018-12-19,22:59,http://www.savvy.co.in/article/fashion/glam-it-on/12355
Savvy,Small Bosom?,fashion,2018-11-15,22:59,http://www.savvy.co.in/article/fashion/small-bosom/12324
Savvy,Actress Raima Sen shares her sleep secrets,beauty,2019-05-21,22:59,http://www.savvy.co.in/article/beauty/actress-raima-sen-shares-her-sleep-secrets/12428
Savvy,"Smooth Swish:  Satya Sharma, VP - Beauty, VLCC, shows you ways to keep your skin buttery!",beauty,2019-03-22,22:59,http://www.savvy.co.in/article/beauty/smooth-swish-satya-sharma-vp---beauty-vlcc-shows-you-ways-to-keep-your-skin-buttery/12409
Savvy,Picture Perfect,beauty,2019-02-07,22:59,http://www.savvy.co.in/article/beauty/picture-perfect/12383
Savvy,Wintry Glam:  Dr Shefali Trasi Nerurkar helps you keep your skin supple ‘n’ radiant,beauty,2019-01-15,22:59,http://www.savvy.co.in/article/beauty/Wintry-Glam--Dr-Shefali-Trasi-Nerurkar-helps-you-k/12368
Savvy,Stunner Hair Style!,beauty,2018-12-31,22:59,http://www.savvy.co.in/article/beauty/stunner-hair-style/12361
Savvy,Risky Sex?,beauty,2018-12-26,22:59,http://www.savvy.co.in/article/beauty/risky-sex/12358
Savvy,Beauty Tips From Taapsee Pannu,beauty,2018-12-21,22:59,http://www.savvy.co.in/article/beauty/beauty-tips-from-taapsee-pannu/12356
Savvy,Retain The Youthful Glow Of Your Skin!,beauty,2018-11-15,22:59,http://www.savvy.co.in/article/beauty/retain-the-youthful-glow-of-your-skin/12325
Savvy,Say No To Camel Toe!,beauty,2019-01-15,22:59,http://www.savvy.co.in/article/beauty/say-no-to-camel-toe/12319
Savvy,Beauty Hacks,beauty,2018-11-14,22:59,http://www.savvy.co.in/article/beauty/beauty-hacks/12306
Savvy,Sizzle!  Nutritionist Karishma Chawla breaks down every aspect of getting a super fit ‘n’ toned bikini body.,body,2019-06-19,22:59,http://www.savvy.co.in/article/body/Sizzle-Nutritionist-Karishma-Chawla breaks-down-ev/12438
Savvy,Gastric Issues? Five ways to eliminate them permanently,body,2019-06-15,22:59,http://www.savvy.co.in/article/body/gastric-issues-five-ways-to-eliminate-them-permanently/12436
Savvy,Bad Back?    Here is how to exercise and mend your bad back,body,2019-06-14,22:59,http://www.savvy.co.in/article/body/bad-back-here-is-how-to-exercise-and-mend-your-bad-back/12435
Savvy,Live Healthy!    Global holistic health guru Dr Mickey Mehta helps you transform,body,2019-06-13,22:59,http://www.savvy.co.in/article/body/live-healthy-global-holistic-health-guru-dr-mickey-mehta-helps-you-transform/12434
Savvy,Shine On!    Dr Bindu Sthalekar helps you look and feel beautiful!,body,2019-06-07,22:59,http://www.savvy.co.in/article/body/shine-on-dr-bindu-sthalekar-helps-you-look-and-feel-beautiful/12430
Savvy,Avoid Orgasming...,body,2019-05-20,22:59,http://www.savvy.co.in/article/body/avoid-orgasming/12427
Savvy,What Ails The Sex Lives of Millennials?,body,2019-05-06,22:59,http://www.savvy.co.in/article/body/what-ails-the-sex-lives-of-millennials/12420
Savvy,Carb Stricken?,body,2019-04-30,22:59,http://www.savvy.co.in/article/body/carb-stricken/12417
Savvy,Can You Reverse Knee Arthritis?,body,2019-04-23,22:59,http://www.savvy.co.in/article/body/can-you-reverse-knee-arthritis/12412
Savvy,Dazzle!,body,2019-03-25,22:59,http://www.savvy.co.in/article/body/dazzle/12410
Savvy,Drunken Stupor?    Nutritionist Karishma Chawla shows you how to deal with a hangover after a hard night of partying!,cookbook,2019-06-12,22:59,http://www.savvy.co.in/article/cookbook/drunken-stupor-nutritionist-karishma-chawla-shows-you-how-to-deal-with-a-hangover-after-a-hard-night/12433
Savvy,Heavenly  Bites! Treat your loved ones to a delightful spread!,cookbook,2019-06-10,22:59,http://www.savvy.co.in/article/cookbook/heavenly-bites-treat-your-loved-ones-to-a-delightful-spread/12432
Savvy,Refreshing!,cookbook,2019-06-08,22:59,http://www.savvy.co.in/article/cookbook/refreshing/12431
Savvy,Hearty & Healthy!,cookbook,2019-04-25,22:59,http://www.savvy.co.in/article/cookbook/hearty-healthy/12413
Savvy,Winter Table,cookbook,2019-02-26,22:59,http://www.savvy.co.in/article/cookbook/winter-table/12398
Savvy,Christmas Spirit!,cookbook,2019-02-15,22:59,http://www.savvy.co.in/article/cookbook/christmas-spirit/12397
Savvy,Protein Punch: Dr Siddhant Bhargava on the renewed push for protein in men and women,cookbook,2019-01-22,22:59,http://www.savvy.co.in/article/cookbook/protein-punch-dr-siddhant-bhargava-on-the-renewed-push-for-protein-in-men-and-women/12372
Savvy,Quick Bite:  Amit Bajaj treats you to finger-licking party food,cookbook,2019-01-21,22:59,http://www.savvy.co.in/article/cookbook/quick-bite-amit-bajaj-treats-you-to-finger-licking-party-food/12371
Savvy,Traditional Twist...,cookbook,2019-01-04,22:59,http://www.savvy.co.in/article/cookbook/traditional-twist/12364
Savvy,Lite Bite,cookbook,2018-12-16,22:59,http://www.savvy.co.in/article/cookbook/lite-bite/12346
