Source,Heading,Category,Date,Time,URL
The Hindu,"Hrithik Roshan workout, anyon",life & style,2019-06-06,18:46:00,https://www.thehindu.com/life-and-style/fitness/cult-of-fitness/article27420703.ece
The Hindu,"-living: the answer to shady, crowded and bank-breaking accommodati",life & style,2019-06-05,10:48:00,https://www.thehindu.com/life-and-style/co-living-in-hyderabad-bengaluru-chennai-delhi-the-answer-to-shady-crowded-expensive-accommodation/article27471842.ece
The Hindu,ropping into a downward dog in front of Delhi’s monumen,life & style,2019-06-21,11:56:00,https://www.thehindu.com/life-and-style/fitness/daily-yoga-in-front-of-delhis-monuments/article28094876.ece
The Hindu,Deft hands make seed jewelle,life & style,2019-06-06,18:44:00,https://www.thehindu.com/life-and-style/deft-hands-make-seed-jewellery/article27526323.ece
The Hindu,"After a decade, black tiger shrimps stage a comeback in Kera",life & style,2019-06-17,16:49:00,https://www.thehindu.com/sci-tech/energy-and-environment/after-a-decade-black-tiger-shrimps-stage-a-comeback-in-kerala/article27997485.ece
The Hindu,ow the heritage varieties of ri,life & style,2019-06-14,17:56:00,https://www.thehindu.com/life-and-style/food/kullakar-kaatuyanam-poongkar-karunkuruvai-thavala-kannan-matta-reversing-diabetes-in-21-days-charulatha-newar-heirloom-rice/article27907083.ece
The Hindu,How to cook breakfast in under 15 minut,life & style,2019-06-17,16:40:00,https://www.thehindu.com/life-and-style/food/how-to-cook-breakfast-in-under-15-minutes/article27996703.ece
The Hindu,What is aqua yog,life & style,2019-06-17,16:41:00,https://www.thehindu.com/life-and-style/fitness/what-is-aqua-yoga/article27997148.ece
The Hindu,"undaylite |

This Chennai firm is raising the interior profile of homes, vintage sty",life & style,2019-06-08,15:32:00,https://www.thehindu.com/life-and-style/homes-and-gardens/this-chennai-firm-is-raising-the-interior-profile-of-homes-vintage-style/article27696811.ece
The Hindu,en Nature warns building sect,life & style,2019-06-07,16:18:00,https://www.thehindu.com/life-and-style/homes-and-gardens/when-nature-warns-building-sector/article27651400.ece
The Hindu,‘Monsoon Photo Walk’ to explore and capture the beauty of Vellayani this rainy season,life & style,2019-06-20,15:25:00,https://www.thehindu.com/society/monsoon-photo-walk-by-the-kerala-chapter-of-open-photography-foundation-to-explore-and-capture-the-beauty-of-vellayani-this-rainy-season/article28085214.ece
The Hindu,THE EDIBLE FOREST,life & style,2019-06-20,15:20:00,https://www.thehindu.com/life-and-style/artist-vivek-vilasini-creates-a-food-forest-in-munnar/article28085161.ece
The Hindu,A sustainable sale,life & style,2019-06-20,14:48:00,https://www.thehindu.com/life-and-style/the-garage-sale-organised-by-shivanjali-trust-had-something-for-everyone/article28084866.ece
The Hindu,School of Santhi organises open group yoga session on International Yoga Day,life & style,2019-06-19,14:15:00,https://www.thehindu.com/life-and-style/fitness/school-of-santhi-in-thiruvananthapuram-organises-an-open-group-yoga-session-on-international-yoga-day/article28073147.ece
The Hindu,Akshay Narvekar talks Bombay Shirt Company’s USP,life & style,2019-06-19,17:07:00,https://www.thehindu.com/life-and-style/fashion/bombay-shirt-company-akshay-narvekar-comes-to-hyderabad/article28074890.ece
The Hindu,Fresh air and friendships,life & style,2019-06-19,16:36:00,https://www.thehindu.com/life-and-style/fitness/an-early-morning-visit-to-race-course-coimbatore-is-best-for-people-watching/article28074648.ece
The Hindu,"Some Kombucha, anyone?",life & style,2019-06-19,16:23:00,https://www.thehindu.com/life-and-style/food/more-takers-for-kombucha/article28074446.ece
The Hindu,Going with the gut: In Delhi’s first fully vegan cafe,life & style,2019-06-19,15:34:00,https://www.thehindu.com/life-and-style/food/in-nut-and-bowls-delhis-first-fully-vegan-cafe/article28073980.ece
The Hindu,Sold on soap,life & style,2019-06-19,15:03:00,https://www.thehindu.com/life-and-style/floral-scented-soaps-fruit-infused-soaps-goat-milk-soaps-hand-crafted-soaps-find-a-growing-clientle-in-thiruvananthapuram/article28073475.ece
The Hindu,Lounging with the angels in Bangkok,life & style,2019-06-19,15:00:00,https://www.thehindu.com/life-and-style/travel/lounging-with-the-angels-in-bangkok/article28073418.ece
The Hindu,A peek into the shelves of United Nations Library,life & style,2019-06-19,14:41:00,https://www.thehindu.com/life-and-style/travel/a-peek-into-the-shelves-of-united-nations-library/article28073321.ece
The Hindu,"Sri Lanka is open for business, again",life & style,2019-06-19,14:31:00,https://www.thehindu.com/life-and-style/travel/sri-lanka-is-open-for-business-again/article28073285.ece
The Hindu,Music festival style from the MTV Movie Awards red carpet,life & style,2019-06-18,20:36:00,https://www.thehindu.com/entertainment/music-festival-style-from-the-mtv-movie-awards-red-carpet/article28066098.ece
The Hindu,Preparing your car for the monsoon,life & style,2019-06-19,19:15:00,https://www.thehindu.com/life-and-style/motoring/preparing-your-car-for-the-monsoon/article28065076.ece
The Hindu,"The first of the many sandwich shops on Montieth Road, Egmore",life & style,2019-06-18,16:50:00,https://www.thehindu.com/life-and-style/food/sandwich-shop-near-alsa-mall/article28064105.ece
The Hindu,Big and beautiful,life & style,2019-06-18,16:43:00,https://www.thehindu.com/life-and-style/motoring/big-and-beautiful/article28064004.ece
The Hindu,Why you should read the fine print on a nutrition label,life & style,2019-06-18,16:32:00,https://www.thehindu.com/life-and-style/fitness/how-to-read-a-nutrition-label-for-designing-a-healthy-diet/article28063874.ece
The Hindu,‘Is it true that apple cider vinegar is good for weight-loss?’,life & style,2019-06-18,16:34:00,https://www.thehindu.com/sci-tech/health/nutritionist-lovneet-batra-answers-reader-questions-about-healthy-diets/article28063820.ece
The Hindu,Carrying on the Avenger legacy,life & style,2019-06-18,14:39:00,https://www.thehindu.com/life-and-style/motoring/the-bajaj-avenger-160-is-easier-on-the-pocket-even-though-it-outshines-others-in-similar-category/article28054866.ece
The Hindu,This mom-of-two is the country’s first civilian BASE jumper,life & style,2019-06-18,15:54:00,https://www.thehindu.com/life-and-style/fitness/meet-archana-sardana-indias-first-civilian-building-aerial-span-earth-base-jumper/article28051147.ece
The Hindu,Streetwear in focus in Milan Fashion Week,life & style,2019-06-17,22:23:00,https://www.thehindu.com/life-and-style/fashion/streetwear-in-focus-in-milan-fashion-week/article28022395.ece
The Hindu,Bajjis vs fish fry: Which is Chennai's favourite deep-fried snack?,life & style,2019-06-18,15:52:00,https://www.thehindu.com/life-and-style/food/chennais-favourite-deep-fried-snack/article28005572.ece
The Hindu,"Meet Gangavva, the 57-year-old star of ‘My Village Show’ on YouTube",life & style,2019-06-19,17:44:00,https://www.thehindu.com/life-and-style/swapping-the-field/article27999646.ece
The Hindu,"After a decade, black tiger shrimps stage a comeback in Kerala",life & style,2019-06-17,16:49:00,https://www.thehindu.com/sci-tech/energy-and-environment/after-a-decade-black-tiger-shrimps-stage-a-comeback-in-kerala/article27997485.ece
The Hindu,Here’s how yoga helps runners,life & style,2019-06-17,16:43:00,https://www.thehindu.com/life-and-style/fitness/heres-how-yoga-helps-runners/article27997459.ece
The Hindu,What is aqua yoga?,life & style,2019-06-17,16:41:00,https://www.thehindu.com/life-and-style/fitness/what-is-aqua-yoga/article27997148.ece
