Source,Heading,Category,Date,Time,URL
Time of India,Love & sex: Signs that overthinking is killing your relationship,relationships,2019-06-21, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/signs-that-overthinking-is-killing-your-relationship/articleshow/69876481.cms
Time of India,Love & sex: How yoga can help strengthen your relationship with your partner,relationships,2019-06-21, 14:04:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/how-yoga-can-help-strengthen-your-relationship-with-your-partner/articleshow/69888898.cms
Time of India,Love & sex: He made me cry every night: Here's the story of my break-up,relationships,2019-06-21, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/he-made-me-cry-every-night-heres-the-story-of-my-break-up/photostory/69876609.cms
Time of India,Love & sex: Things we should stop doing at Indian weddings,relationships,2019-06-20, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/oh-no-not-again-things-we-should-absolutely-stop-doing-at-weddings/photostory/69857551.cms
Time of India,Love & sex: Harsh truths about marriage that no one will tell you,relationships,2019-06-19, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/harsh-truths-about-marriage-that-no-one-will-tell-you/photostory/69840969.cms
Time of India,Love & sex: The tricky task of deciding the wedding invite list,relationships,2019-06-18, 11:51:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/shaadi-mein-zaroor-aana-the-tricky-task-of-deciding-who-does-and-doesnt-get-a-wedding-invite/photostory/69827059.cms
Time of India,Love & sex: Priyanka Chopra’s hanks to her in-laws,relationships,2019-06-17, 17:26:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/priyanka-chopras-heartfelt-thanks-to-her-in-laws-for-taking-her-as-daughter-will-melt-your-heart/articleshow/69825045.cms
Time of India,Love & sex: How a person tilts his head can make him look more dominant!,relationships,2019-06-16, 17:02:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/how-a-person-tilts-his-head-can-make-him-look-more-dominant/articleshow/69812717.cms
Time of India,Love & sex: Science suggests ‘love at first sight’ is all about initial attraction and lust,relationships,2019-06-19, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/science-suggests-love-at-first-sight-is-all-about-initial-attraction-and-lust/photostory/69842455.cms
Time of India,Love & sex: Is your love life full of struggles? Your zodiac sign explains why,relationships,2019-06-15, 09:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/is-your-love-life-full-of-struggles-your-zodiac-sign-explains-why/photostory/69726405.cms
Time of India,Love & sex: 115 million boys and men are victims of child marriage around the world: UNICEF,relationships,2019-06-20, 17:48:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/115-million-boys-and-men-are-victims-of-child-marriage-around-the-world-unicef/articleshow/69875489.cms
Time of India,Love & sex: Practising this '72-hour' rule can sort out all your love life problems,relationships,2019-06-17, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/practising-this-72-hour-rule-can-sort-out-all-your-love-life-problems/photostory/69757045.cms
Time of India,Love & sex: More reason to thank your friends! Even science says spending time with your BFF makes you happier,relationships,2019-06-16, 23:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/more-reason-to-thank-your-friends-even-science-says-spending-time-with-your-bff-makes-you-happier/photostory/69788784.cms
Time of India,Love & sex: Should you check your partner's phone?,relationships,2019-06-16, 09:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/should-you-check-your-partners-phone/photostory/69741242.cms
