Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Fitness 6 yoga poses for better sex yes you read that right,"beauty, health & fitness",2019-06-20, 21:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/fitness/6-yoga-poses-for-better-sex-yes-you-read-that-right/photostory/69876798.cms,0,0.36
The Hindu, High heels will die like corsets did,"beauty, health & fitness",2019-06-10,11:21:00,https://www.thehindu.com/sci-tech/health/could-it-be-that-many-women-now-choose-comfortable-shoes-over-high-heels/article27723749.ece,0,0.27
Time of India, Health news People with downward head tilt look more dominant,"beauty, health & fitness",2019-06-15, 16:33:00,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/people-with-downward-head-tilt-look-more-dominant/articleshow/69801631.cms,1,1.0
The Hindu, Yoga meets weight lifting,"beauty, health & fitness",2019-05-06,17:41:00,https://www.thehindu.com/sci-tech/health/combining-yoga-with-weight-training/article27046544.ece,2,0.13
Time of India, Diet 4 reasons why Bael ka Sharbat is the healthiest drink to lose weight this summer,"beauty, health & fitness",2019-06-10, 07:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/diet/weight-loss-4-reasons-why-bael-ka-sharbat-is-the-healthiest-drink-to-lose-weight-this-summer/articleshow/69712594.cms,2,0.17
Time of India, Weight loss Weight loss 4 gluten free ingredients you should avoid,"beauty, health & fitness",2019-06-15, 07:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-4-gluten-free-ingredients-you-should-avoid/articleshow/69789003.cms,2,0.18
Time of India, Weight loss Weight loss Can you simply lose weight by standing,"beauty, health & fitness",2019-06-17, 10:28:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-can-you-simply-lose-weight-by-standing/articleshow/69802540.cms,2,0.15
Time of India, Weight loss Weight loss Why you burn fewer calories when you are tired,"beauty, health & fitness",2019-06-16, 09:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-why-you-burn-fewer-calories-when-you-are-tired/articleshow/69802485.cms,2,0.17
Time of India, Weight loss Zumba helps you burn these many calories in a minute,"beauty, health & fitness",2019-06-19, 11:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/zumba-helps-you-burn-these-many-calories-in-a-minute/photostory/69842003.cms,2,0.18
Time of India, Weight loss Weight loss This guy lost a MASSIVE 20 kilos in just 6 months Know his super amazing diet,"beauty, health & fitness",2019-06-17, 16:22:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-this-guy-lost-a-massive-20-kilos-in-just-6-months-know-his-super-amazing-diet/articleshow/69820850.cms,2,0.11
Time of India, Weight loss Weight Loss Is there a best time to eat carbs,"beauty, health & fitness",2019-06-15, 11:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-is-there-a-best-time-to-eat-carbs/articleshow/69789065.cms,2,0.14
Time of India, Weight loss Weight loss “ I was inspired by Aamir Khan ’ s transformation in Dangal to lose weight ”,"beauty, health & fitness",2019-06-18, 11:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-i-was-inspired-by-aamir-khans-transformation-in-dangal-to-lose-weight/articleshow/69826448.cms,2,0.15
Time of India, Weight loss Weight loss 5 healthy smoothie recipes to shed kilos,"beauty, health & fitness",2019-06-19, 07:00:00,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/weight-loss-5-healthy-smoothie-recipes-to-shed-kilos/photostory/69842786.cms,2,0.25
