Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Features Right kind of food key to perfect yoga results Book,books,2019-06-21, 12:13:00,https://timesofindia.indiatimes.com/life-style/books/features/right-kind-of-food-key-to-perfect-yoga-results-book/articleshow/69887127.cms,0,0.6
Time of India, Reviews Micro review Medical Medium Celery Juice,books,2019-06-12, 10:00:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-medical-medium-celery-juice-the-most-powerful-medicine-of-our-time-healing-millions-worldwide/articleshow/69742589.cms,1,0.15
Time of India, Reviews Micro review Afghan Hindus and Sikhs by Inderjeet Singh,books,2019-06-19, 12:15:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-afghan-hindus-and-sikhs-by-inderjeet-singh/articleshow/69853887.cms,1,0.14
Time of India, Reviews Micro review Stay Sexy Dont Get Murdered,books,2019-06-18, 18:10:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-stay-sexy-dont-get-murdered-by-karen-kilgariff-and-georgia-hardstark/articleshow/69839007.cms,1,0.16
Time of India, Reviews Micro review Adventures of a Pre teen,books,2019-06-13, 17:00:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-adventures-of-a-pre-teen-by-shaha-ghosh/articleshow/69770512.cms,1,0.16
Time of India, Reviews Micro review Cari Mora by Thomas Harris,books,2019-06-07, 16:37:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-cari-mora-is-thomas-harris-much-awaited-book/articleshow/69691028.cms,1,0.16
Time of India, Reviews Micro review The Pioneers by David McCullough,books,2019-06-03, 17:38:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-the-pioneers-by-david-mccullough/articleshow/69635018.cms,1,0.16
Time of India, Reviews Micro review City of Girls by Elizabeth Gilbert,books,2019-06-20, 12:52:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-city-of-girls-is-elizabeth-gilberts-third-novel/articleshow/69859384.cms,1,0.16
Time of India, Reviews Micro review Oh the Places Youll Go by Dr Seuss,books,2019-05-31, 17:00:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-oh-the-places-youll-go-by-dr-seuss/articleshow/69580990.cms,1,0.13
Time of India, Reviews Micro review The Night Window by Dean Koontz is the final book in the Jane Hawk series,books,2019-05-30, 17:00:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-the-night-window-by-dean-koontz-is-the-final-book-in-the-jane-hawk-series/articleshow/69555504.cms,1,0.14
Time of India, Reviews Micro review Before We Were Yours by Lisa Wingate,books,2019-06-21, 10:00:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-before-we-were-yours-by-lisa-wingate/articleshow/69874412.cms,1,0.13
Time of India, Reviews Micro review Queen Bee by Dorothea Benton Frank,books,2019-06-17, 18:09:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-queen-bee-by-dorothea-benton-frank-is-a-tale-of-friendship-love-and-self-discovery/articleshow/69827020.cms,1,0.16
Time of India, Reviews Micro review Kalkatta Chronicles by Supriya Newar,books,2019-06-12, 16:58:00,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-kalkatta-chronicles-by-supriya-newar/articleshow/69756857.cms,1,0.19
Time of India, Interviews India faces choice between fiction reality Sahgal,books,2019-04-02, 12:16:00,https://timesofindia.indiatimes.com/life-style/books/interviews/india-faces-choice-between-fiction-reality-sahgal/articleshow/68683000.cms,2,0.55
Time of India, Book launches My father Kaifi Azmi always supported me Shabana Azmi,books,2019-06-12, 13:10:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/my-father-kaifi-azmi-always-supported-me-shabana-azmi/articleshow/69752359.cms,3,1.0
Time of India, Book launches Nayantara Sahgal launches new novel,books,2019-03-18, 14:11:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/nayantara-sahgal-launches-new-novel/articleshow/68197715.cms,4,0.17
Time of India, Book launches Book launch Gun Island by Amitav Ghosh,books,2019-06-18, 16:13:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/its-important-for-us-to-acknowledge-the-things-we-dont-know-amitav-ghosh/articleshow/69839627.cms,4,0.15
Time of India, Book launches 10 year old Sia Gupta releases four new versions fairy tales,books,2019-05-07, 15:12:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/10-year-old-sia-gupta-releases-four-new-versions-fairy-tales/articleshow/69216351.cms,4,0.16
Time of India, Book launches Paul Zacharia releases his first English novel in Delhi,books,2019-04-01, 13:15:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/paul-zacharia-releases-his-first-english-novel-in-delhi/articleshow/68667564.cms,4,0.17
Time of India, Book launches Indian Diplomat poet Abhay K launches his new book 100 More Great Indian Poems,books,2019-04-01, 12:57:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/indian-diplomat-poet-abhay-k-launches-his-new-book-100-more-great-indian-poems/articleshow/68667287.cms,4,0.15
Time of India, Book launches Book throws new light on India ’ s mystics and their message,books,2019-06-06, 11:04:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/book-throws-new-light-on-indias-mystics-and-their-message/articleshow/69671714.cms,4,0.17
Time of India, Book launches French ambassador releases Asterix comics series in Hindi,books,2019-04-01, 16:51:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/french-ambassador-releases-asterix-comics-series-in-hindi/articleshow/68629375.cms,4,0.17
Time of India, Book launches Manish Tewari launches book on economic justice,books,2019-02-11, 12:51:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/manish-tewari-launches-book-on-economic-justice/articleshow/67940138.cms,4,0.15
Time of India, Book launches Gautam Gambhir Victor Banerjee launch book by Olympic mind coach,books,2019-02-14, 11:29:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/gautam-gambhir-victor-banerjee-launch-book-by-olympic-mind-coach/articleshow/67987760.cms,4,0.17
Time of India, Book launches Author Tishani Doshi releases her new book,books,2019-05-10, 10:49:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/author-tishani-doshi-releases-her-new-book-small-days-and-nights/articleshow/68890582.cms,4,0.2
Time of India, Interviews RK Narayan deserved to win a Nobel Jeffrey Archer,books,2019-04-09, 19:22:00,https://timesofindia.indiatimes.com/life-style/books/interviews/rk-narayan-deserved-to-win-a-nobel-jeffrey-archer/articleshow/68797918.cms,5,1.0
Time of India, Features Claire Adam wins Desmond Elliott Prize 2019,books,2019-06-20, 15:48:00,https://timesofindia.indiatimes.com/life-style/books/features/claire-adam-wins-desmond-elliott-prize-2019-for-her-debut-novel/articleshow/69873634.cms,6,0.43
Time of India, Features Elizabeth Acevedo wins the Carnegie Medal,books,2019-06-19, 19:33:00,https://timesofindia.indiatimes.com/life-style/books/features/elizabeth-acevedo-wins-the-carnegie-medal/articleshow/69860855.cms,6,0.4
Time of India, Features Ling Ma wins Young Lions Fiction Award 2019 for Severance,books,2019-06-18, 19:11:00,https://timesofindia.indiatimes.com/life-style/books/features/ling-ma-wins-young-lions-fiction-award-2019-for-severance/articleshow/69844347.cms,6,0.42
Time of India, Interviews 2019 polls very competitive too close to call Ruchir Sharma,books,2019-02-06, 17:44:00,https://timesofindia.indiatimes.com/life-style/books/interviews/2019-polls-very-competitive-too-close-to-call-ruchir-sharma/articleshow/67868996.cms,7,0.19
Time of India, Interviews Gender stereotyping limits childrens potential,books,2019-06-12, 15:15:00,https://timesofindia.indiatimes.com/life-style/books/interviews/gender-stereotyping-prevents-children-from-achieving-their-full-potential-deepa-agarwal/articleshow/69742314.cms,7,0.19
Time of India, Interviews Racism exists all over the world Shrabani Basu,books,2019-02-19, 12:41:00,https://timesofindia.indiatimes.com/life-style/books/interviews/racism-exists-all-over-the-world-shrabani-basu/articleshow/68060174.cms,7,0.2
Time of India, Interviews Writers responsibility goes beyond gender Kausar,books,2019-03-27, 11:58:00,https://timesofindia.indiatimes.com/life-style/books/interviews/writers-responsibility-goes-beyond-gender-kausar/articleshow/68592778.cms,7,0.18
Time of India, Features An early Tintin cover sells at auction for USD 1 1 million,books,2019-06-20, 16:11:00,https://timesofindia.indiatimes.com/life-style/books/features/an-early-tintin-cover-sells-at-auction-for-usd-1-1-million/articleshow/69873935.cms,8,0.53
Time of India, Features Hunger Games prequel coming out,books,2019-06-19, 17:57:00,https://timesofindia.indiatimes.com/life-style/books/features/hunger-games-prequel-coming-out/articleshow/69859221.cms,9,0.23
Time of India, Features Nicholas Sparks apologises to members of LGBTQ community,books,2019-06-20, 12:28:00,https://timesofindia.indiatimes.com/life-style/books/features/nicholas-sparks-apologises-to-members-of-lgbtq-community/articleshow/69870875.cms,9,0.23
Time of India, Features Should bookshops have toys,books,2019-06-21, 11:00:00,https://timesofindia.indiatimes.com/life-style/books/features/should-bookshops-have-toys/articleshow/69877169.cms,9,0.23
Time of India, Features Sahitya Akademi announces winners of Bal Sahitya Puraskar Yuva Puraskar,books,2019-06-19, 16:51:00,https://timesofindia.indiatimes.com/life-style/books/features/sahitya-akademi-announces-winners-of-bal-sahitya-puraskar-yuva-puraskar/articleshow/69857980.cms,9,0.25
Time of India, Features Manu Josephs Miss Laila Armed and Dangerous to be adapted for screen,books,2019-06-19, 17:46:00,https://timesofindia.indiatimes.com/life-style/books/features/manu-josephs-miss-laila-armed-and-dangerous-to-be-adapted-for-screen/articleshow/69859113.cms,9,0.23
Time of India, Features Michael Fassbender to star in spy thriller based on Gerard de Villiers novel series,books,2019-06-19, 12:24:00,https://timesofindia.indiatimes.com/life-style/books/features/michael-fassbender-to-star-in-spy-thriller-based-on-gerard-de-villiers-novel-series/articleshow/69854081.cms,10,1.0
Time of India, Interviews Sanskrit lit isn ’ t just about Hindu epics it also dips into the Bible and Quran,books,2019-04-08, 20:48:00,https://timesofindia.indiatimes.com/life-style/books/interviews/sanskrit-lit-isnt-just-about-hindu-epics-it-also-dips-into-the-bible-and-quran/articleshow/68779261.cms,11,0.52
Time of India, Interviews Freedom is not a blank cheque Prasoon Joshi,books,2019-03-01, 15:16:00,https://timesofindia.indiatimes.com/life-style/books/interviews/freedom-is-not-a-blank-cheque-prasoon-joshi/articleshow/68197706.cms,12,1.0
Time of India, Interviews Ruskin Bond Vishal Bhardwaj might work on a film soon,books,2019-02-13, 13:09:00,https://timesofindia.indiatimes.com/life-style/books/interviews/ruskin-bond-vishal-bhardwaj-might-work-on-a-film-soon/articleshow/67972502.cms,13,1.0
Time of India, Features Books by Amitav Ghosh that prove he is a master storyteller,books,2019-06-19, 18:42:00,https://timesofindia.indiatimes.com/life-style/books/photo-stories/books-by-amitav-ghosh-that-prove-he-is-a-master-storyteller/photostory/67114200.cms,14,0.35
Time of India, Book launches I was always a storyteller and I love short stories Gulzar,books,2019-06-06, 12:25:00,https://timesofindia.indiatimes.com/life-style/books/book-launches/i-was-always-a-storyteller-and-i-love-short-stories-gulzar/articleshow/69635367.cms,14,0.33
