Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Priyanka Chopra Jonas on her evolving style I ’ m more adventurous now Im more confidentPriyanka Chopra Jonas is known for her fierce and chic fashionable statements Recently for an interview she talked about how her style preferences change when she is in the US as compared to when she is in India,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-jonas-on-her-evolving-style-i-m-more-adventurous-now-i-m-more-confident-1543925-2019-06-06,0,0.15
India Today, Priyanka Chopra teaches how to slay sexy athleisure look at the LA airport Fashion goals anyone Baywatch actress Priyanka Chopra was recently spotted at the Los Angeles airport For her look the actress rocked a comfort chic look in track suit and denim jacket,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-teaches-how-to-slay-sexy-athleisure-look-at-the-la-airport-fashion-goals-anyone-1542986-2019-06-05,0,0.09
India Today, Priyanka Chopra stuns in metallic sheer top and pants at mom Madhus birthday bash See picsPriyanka Chopra celebrated her mothers birthday with a special dinner They were joined by her husband Nick Jonas The actress looked stunning as she wore a metallic sheer top,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-stuns-in-metallic-sheer-top-and-pants-at-mom-madhu-s-birthday-bash-see-pics-1552020-2019-06-19,0,0.12
Savvy, Priyanka Chopra Nick Jonas Wedding Reception Deepika Padukone Ranveer Singh Katrina Anushka made it a ROCKING affair PICS here,fashion,2018-12-22,15:02,http://www.savvy.co.in/article/fashion/priyanka-chopra-nick-jonas-wedding-reception-deepika-padukone-ranveer-singh-katrina-anushka-made-it/12366,0,0.13
Time of India, Celeb style Tamannaahs summer date night look is too sexy,fashion,2019-06-18, 14:04:00,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/tamannaah-bhatias-summer-date-night-look-is-too-sexy-to-miss/articleshow/69839433.cms,0,0.08
The Luxe Cafe, Summer Frocks For The Summer Child In You,fashion,2019-06-21,15:02,http://www.theluxecafe.com/stories/summer-frocks-for-the-summer-child-in-you/,0,0.12
Time of India, Buzz This is Nita Ambanis favourite colour,fashion,2019-06-20, 13:40:00,https://timesofindia.indiatimes.com/life-style/fashion/buzz/this-is-nita-ambanis-favourite-colour/articleshow/69871290.cms,0,0.13
India Today, Priyanka Chopra paints NYC tangerine in plunging neckline dress with hubby Nick Jonas See picsSeems like Priyanka Chopra has a new favourite colour The actress was again seen wearing a tangerine plunging neckline dress as she stepped out with Nick Jonas on the streets of NYC,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-paints-nyc-tangerine-in-plunging-neckline-dress-with-hubby-nick-jonas-see-pics-1549974-2019-06-16,0,0.13
The Hindu, Cannes 2019 red carpet Priyanka Chopra Deepika Padukone shine,fashion,2019-05-17,20:05:00,https://www.thehindu.com/life-and-style/fashion/cannes-2019-red-carpet-priyanka-chopra-deepika-padukone-shine/article27161875.ece,0,0.08
Time of India, Celeb style Priyanka Chopra is wearing this one colour this summer and its super HOT,fashion,2019-06-17, 16:00:00,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/priyanka-chopra-is-wearing-this-one-colour-this-summer-and-its-super-hot/articleshow/69824513.cms,0,0.09
Time of India, Celeb style Malaika Aroras casual white dress is so hot wed wear to the beach,fashion,2019-06-14, 14:00:00,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/malaika-aroras-casual-white-dress-is-so-hot-wed-wear-to-the-beach/articleshow/69786055.cms,0,0.1
Time of India, Celeb style Kajol wore black on a HOT summer evening and looked ravishing,fashion,2019-06-20, 18:31:00,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/kajol-wore-black-on-a-hot-summer-evening-and-looked-ravishing/articleshow/69876554.cms,0,0.13
India Today, Priyanka Chopra Jonas brings back sexy Desi Girl vibes for new photoshoot All pics and videosPriyanka Chopra Jonas served some desi vibes by showcasing the best sarees by iconic Indian designers on the cover of an international magazines recently,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-jonas-brings-back-sexy-desi-girl-vibes-for-new-photoshoot-all-pics-and-videos-1543635-2019-06-06,0,0.11
Savvy, Hot Stepper,fashion,2019-02-14,15:02,http://www.savvy.co.in/article/fashion/hot-stepper/12389,0,0.13
Time of India, Buzz Silks in summer,fashion,2019-06-16, 00:00:00,https://timesofindia.indiatimes.com/life-style/fashion/buzz/silks-in-summer/articleshow/69790860.cms,0,0.13
Time of India, Designers Lecoanet Hemant launches a cricket inspired collection,fashion,2019-04-09, 18:53:00,https://timesofindia.indiatimes.com/life-style/fashion/designers/lecoanet-hemant-launches-a-cricket-inspired-collection/articleshow/68797629.cms,1,0.27
Time of India, Designers Rihanna launches new fashion brand in Paris with LVMH,fashion,2019-06-19, 12:19:00,https://timesofindia.indiatimes.com/life-style/fashion/designers/rihanna-launches-new-fashion-brand-in-paris-with-lvmh/articleshow/69854044.cms,1,0.31
Time of India, Buzz Meet Suman Rao the stylish new Femina Miss India 2019,fashion,2019-06-17, 11:25:00,https://timesofindia.indiatimes.com/life-style/fashion/buzz/meet-suman-rao-the-stylish-new-femina-miss-india-2019/articleshow/69812084.cms,1,0.33
Time of India, Style guide Hate salwars Take a cue from Mouni Roy,fashion,2019-06-14, 22:00:00,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/hate-salwars-take-a-cue-from-mouni-roy-for-stylish-ethnic-bottom-wear-trends/articleshow/69788941.cms,2,0.17
The Luxe Cafe, Luxe guide to the best of Korean Beauty,fashion,2019-06-21,15:02,http://www.theluxecafe.com/stories/luxe-guide-to-the-best-of-korean-beauty/,2,0.16
The Luxe Cafe, Holiday Gifting Guide 2017,fashion,2019-06-21,15:02,http://www.theluxecafe.com/stories/holiday-gifting-guide-2017/,2,0.13
Time of India, Style guide 7 sari mistakes every woman must avoid,fashion,2019-06-11, 15:21:00,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/7-sari-mistakes-every-woman-must-avoid/photostory/69739453.cms,2,0.16
Time of India, Style guide Rock your shorts in three stylish ways,fashion,2019-06-08, 01:00:00,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/rock-your-shorts-in-three-stylish-ways/articleshow/69691505.cms,2,0.16
Time of India, Style guide Do you have a holiday wardrobe,fashion,2019-05-26, 00:05:00,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/do-you-have-a-holiday-wardrobe/articleshow/69482207.cms,2,0.17
The Luxe Cafe, A Satchel shopping guide for you,fashion,2019-06-21,15:02,http://www.theluxecafe.com/stories/a-satchel-shopping-guide-for-you/,2,0.17
Time of India, Style guide A glass act,fashion,2019-06-09, 00:00:00,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/a-glass-act/articleshow/69676813.cms,2,0.21
India Today, Maanayata Dutt takes disastrous fashion a level higher with new Instagram posts See picsMaanayata Dutt recently shared a set of pictures on her official Instagram account and might we add we are still asking what was she thinking,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/maanayata-dutt-takes-disastrous-fashion-a-level-higher-with-new-instagram-posts-see-pics-1548729-2019-06-14,3,0.12
Time of India, Shows DTFW ends on a stylish high,fashion,2019-04-08, 08:00:00,https://timesofindia.indiatimes.com/life-style/fashion/shows/dtfw-ends-on-a-stylish-high/articleshow/68793024.cms,3,0.16
India Today, Kareena Kapoor is a fashion goddess in one shoulder thigh slit lime yellow attireFor a recent shoot Kareena Kapoor donned a gorgeous lime yellow attire Her stunning one shoulder Stephane Rolland ensemble had a thigh high slit which increased the oomph factor of the dress,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/kareena-kapoor-is-a-fashion-goddess-in-one-shoulder-thigh-slit-lime-yellow-attire-1537380-2019-05-29,3,0.16
India Today, Athiya Shetty turns up the Mumbai heat in plunging neckline thigh high slit slip dress See picsTaking to Instagram recently Athiya ​Shetty posted pictures from a photoshoot nailing the style game in an Anamika Khanna chic ensemble She wore an AK OK plunging neckline slip dress with an angarkha inspired sporty jacket,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/athiya-shetty-turns-up-the-mumbai-heat-in-plunging-neckline-thigh-high-slit-slip-dress-see-pics-1544794-2019-06-08,3,0.17
India Today, Katrina Kaif sets Goa on fire in plunging neckline powersuit for event Slays boss lady vibesTaking to her official Instagram account today Katrina Kaif posted pictures of her all set for another round of a press event in Goa She wore a pinstriped monochrome double breasted blazer over a black plunging neckline top and pants,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/katrina-kaif-sets-goa-on-fire-in-plunging-neckline-powersuit-for-event-slays-boss-lady-vibes-1544468-2019-06-07,3,0.14
India Today, Ananya Panday steals the show at Karan Johars bash in mini dress and leather heels See picsAnanya Panday stole the spotlight at Karan Johars bash last night as she arrived in a mini dress and leather heels with co star Tara Sutaria,fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/ananya-panday-steals-the-show-at-karan-johar-s-bash-in-mini-dress-and-leather-heels-see-pics-1547866-2019-06-13,3,0.18
