Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, All that ’ s bready and meaty at Tres in Delhi,food,2019-06-12,14:22:00,https://www.thehindu.com/life-and-style/food/review-of-tres-a-restaurant-delhi/article27852336.ece,0,0.57
The Hindu, Mango or jackfruit Pick one,food,2019-06-08,11:40:00,https://www.thehindu.com/life-and-style/food/when-faced-with-a-choice-would-you-choose-mango-or-jackfruit/article27556192.ece,1,0.24
The Hindu, Know the heritage varieties of rice,food,2019-06-14,17:56:00,https://www.thehindu.com/life-and-style/food/kullakar-kaatuyanam-poongkar-karunkuruvai-thavala-kannan-matta-reversing-diabetes-in-21-days-charulatha-newar-heirloom-rice/article27907083.ece,1,0.26
Savvy, Protein Punch Dr Siddhant Bhargava on the renewed push for protein in men and women,food,2019-01-22,15:02,http://www.savvy.co.in/article/cookbook/protein-punch-dr-siddhant-bhargava-on-the-renewed-push-for-protein-in-men-and-women/12372,1,0.22
The Hindu, How to make authentic avakaya the Telugu mango pickle,food,2019-06-13,09:20:00,https://www.thehindu.com/life-and-style/food/how-to-make-authentic-avakaya-the-hyderbadi-mango-pickle/article27883211.ece,1,0.26
The Hindu, The man reviving endangered mango varieties,food,2019-06-13,16:47:00,https://www.thehindu.com/life-and-style/food/the-man-reviving-endangered-mango-varieties/article27899033.ece,1,0.3
The Hindu, How to cook breakfast in under 15 minutes,food,2019-06-17,16:40:00,https://www.thehindu.com/life-and-style/food/how-to-cook-breakfast-in-under-15-minutes/article27996703.ece,2,0.53
The Hindu, Nigella Lawson on how cooking is a sign of independence,food,2019-06-08,14:35:00,https://www.thehindu.com/life-and-style/food/nigella-lawson-on-how-cooking-and-keeping-oneself-alive-is-a-sign-of-independence/article27661122.ece,3,0.87
The Hindu, Need your food to be styled for the perfect picture meet food stylist Aarthy Rao,food,2019-06-08,18:13:00,https://www.thehindu.com/life-and-style/food-stylist-aarthy-rao-on-her-work/article27655613.ece,4,0.41
The Hindu, Toscano in Chennai fine Italian cuisine with picture perfect food,food,2019-06-14,18:07:00,https://www.thehindu.com/life-and-style/food/toscano-in-chennai-fine-italian-cuisine-with-picture-perfect-food/article27934096.ece,4,0.46
The Hindu, How cheap is a three course meal in Chennai,food,2019-06-13,16:54:00,https://www.thehindu.com/life-and-style/food/cheap-budget-meal-in-chennai-mannady/article27762311.ece,4,0.38
