Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Recharge wells and stormwater drains,homes and gardens,2019-06-01,15:56:00,https://www.thehindu.com/life-and-style/homes-and-gardens/recharge-wells-and-stormwater-drains/article27377756.ece,0,1.0
The Hindu, UAE ’ s second most expensive penthouse sells at USD 20 million in Dubai,homes and gardens,2019-05-16,14:44:00,https://www.thehindu.com/life-and-style/homes-and-gardens/uaes-second-most-expensive-penthouse-sells-at-usd-20-million-in-dubai/article27147205.ece,1,0.11
The Hindu, Digitise my décor SpaceCraft,homes and gardens,2019-05-22,16:00:00,https://www.thehindu.com/life-and-style/homes-and-gardens/digitise-my-dcor/article27195409.ece,1,0.11
The Hindu, Water and the density question,homes and gardens,2019-06-07,16:14:00,https://www.thehindu.com/life-and-style/homes-and-gardens/water-and-the-density-question/article27650585.ece,1,0.11
The Hindu, Remembering S L Chitale,homes and gardens,2019-06-04,11:20:00,https://www.thehindu.com/life-and-style/homes-and-gardens/a-tribute-to-architect-sl-chitale/article27438204.ece,1,0.11
The Hindu, ‘ Natural properties of bamboo must be respected ’,homes and gardens,2019-05-10,17:18:00,https://www.thehindu.com/life-and-style/homes-and-gardens/natural-properties-of-bamboo-must-be-respected/article27092983.ece,1,0.11
The Hindu, Small spaces big ideas,homes and gardens,2019-05-03,17:22:00,https://www.thehindu.com/life-and-style/homes-and-gardens/small-spaces-big-ideas/article27024831.ece,1,0.11
The Hindu, It ’ s thumbs up for commercial real estate,homes and gardens,2019-05-03,17:24:00,https://www.thehindu.com/life-and-style/homes-and-gardens/its-thumbs-up-for-commercial-real-estate/article27024855.ece,1,0.13
The Hindu, Build sensibly or perish,homes and gardens,2019-05-17,17:37:00,https://www.thehindu.com/life-and-style/homes-and-gardens/build-sensibly-or-perish/article27162950.ece,2,1.0
The Hindu, living the answer to shady crowded and bank breaking accommodati,homes and gardens,2019-06-05,10:48:00,https://www.thehindu.com/life-and-style/co-living-in-hyderabad-bengaluru-chennai-delhi-the-answer-to-shady-crowded-expensive-accommodation/article27471842.ece,3,0.88
The Hindu, Revisiting the shallow aquifer,homes and gardens,2019-05-03,17:20:00,https://www.thehindu.com/life-and-style/homes-and-gardens/revisiting-the-shallow-aquifer/article27024811.ece,4,1.0
The Hindu, 7 design blunders to avo,homes and gardens,2019-06-07,12:36:00,https://www.thehindu.com/life-and-style/homes-and-gardens/seven-design-blunders-to-avoid/article27608094.ece,5,0.57
The Hindu, Design inspirations from Hollywood,homes and gardens,2019-05-24,16:06:00,https://www.thehindu.com/life-and-style/homes-and-gardens/hollywood-inspired-decor/article27235533.ece,5,0.41
The Hindu, Demand up for affordable housing,homes and gardens,2019-05-17,17:36:00,https://www.thehindu.com/life-and-style/homes-and-gardens/demand-up-for-affordable-housing/article27162939.ece,6,0.65
The Hindu, Take advantage of the setback,homes and gardens,2019-06-08,18:02:00,https://www.thehindu.com/life-and-style/homes-and-gardens/take-advantage-of-the-setback/article27649473.ece,7,1.0
The Hindu, Switch to a bio digester,homes and gardens,2019-05-03,12:19:00,https://www.thehindu.com/life-and-style/homes-and-gardens/benefits-of-a-bio-digester/article27021641.ece,8,1.0
The Hindu, Lost in Loulou land Sans Soucis,homes and gardens,2019-05-24,17:00:00,https://www.thehindu.com/life-and-style/homes-and-gardens/lost-in-loulou-land-sans-soucis/article27236459.ece,9,1.0
The Hindu, Building homes offices with ‘ vegetal steel ’,homes and gardens,2019-05-10,17:18:00,https://www.thehindu.com/life-and-style/homes-and-gardens/building-homes-offices-with-vegetal-steel/article27092946.ece,10,0.33
The Hindu, Come home for dinner little bird,homes and gardens,2019-05-09,17:13:00,https://www.thehindu.com/life-and-style/homes-and-gardens/madurai-based-duo-makes-feeders-and-baths-for-birds-using-discarded-plastic-bottles/article27080193.ece,10,0.43
The Hindu, Where food and decor score,homes and gardens,2019-05-10,17:16:00,https://www.thehindu.com/life-and-style/homes-and-gardens/where-food-and-decor-score/article27092937.ece,11,1.0
The Hindu, For a ‘ mudcrete foundation ’,homes and gardens,2019-05-10,17:14:00,https://www.thehindu.com/life-and-style/homes-and-gardens/for-a-mudcrete-foundation/article27092919.ece,12,0.6
The Hindu, In Hyderabad head to KBR Park to spot peacocks,homes and gardens,2019-06-08,18:08:00,https://www.thehindu.com/life-and-style/homes-and-gardens/peacock-calling/article27326300.ece,13,1.0
The Hindu, Chill out on the balcony,homes and gardens,2019-05-31,16:24:00,https://www.thehindu.com/life-and-style/homes-and-gardens/chill-out-on-the-balcony/article27377732.ece,14,1.0
The Hindu, A perfect nook to start the day,homes and gardens,2019-05-17,17:35:00,https://www.thehindu.com/life-and-style/homes-and-gardens/a-perfect-nook-to-start-the-day/article27162929.ece,15,1.0
