Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, NYC ’ s architectural theatre,luxury,2019-03-29,16:47:00,https://www.thehindu.com/life-and-style/luxury/nycs-architectural-theatre/article26675956.ece,0,0.33
The Hindu, Why food should be looked at as art,luxury,2019-04-19,17:25:00,https://www.thehindu.com/life-and-style/luxury/why-food-should-be-looked-at-as-art/article26888883.ece,1,0.53
The Hindu, Christian Louboutin ’ s favourite shoes,luxury,2019-04-13,14:17:00,https://www.thehindu.com/life-and-style/luxury/christian-louboutins-favourite-shoes/article26828366.ece,2,0.63
The Hindu, Don ’ t conform Customise your luxury watch,luxury,2019-06-14,15:57:00,https://www.thehindu.com/life-and-style/luxury/dont-conform-customise-your-luxury-watch/article27921726.ece,3,0.5
The Hindu, In Bahrain pearls hold sway,luxury,2019-03-31,19:01:00,https://www.thehindu.com/life-and-style/luxury/in-bahrain-pearls-hold-sway/article26676052.ece,4,1.0
The Hindu, How this 5655 carat 1133 gram Zambian emerald came to Delhi,luxury,2019-06-12,15:24:00,https://www.thehindu.com/life-and-style/luxury/how-this-5655-carat-1133-gram-zambian-emerald-came-to-delhi/article27859586.ece,5,0.1
The Hindu, Reclaiming the couch,luxury,2019-04-13,20:34:00,https://www.thehindu.com/life-and-style/luxury/reclaiming-the-couch/article26830717.ece,5,0.1
The Hindu, A peek into Falguni Shane Peacock ’ s new flagship store in Delhi,luxury,2019-05-14,19:46:00,https://www.thehindu.com/life-and-style/fashion/a-peek-into-falguni-shane-peacocks-flagship-store-in-delhi/article27129028.ece,5,0.11
The Hindu, Lost in Loulou land Sans Soucis,luxury,2019-05-24,17:00:00,https://www.thehindu.com/life-and-style/homes-and-gardens/lost-in-loulou-land-sans-soucis/article27236459.ece,5,0.1
The Hindu, How Swarovski is changing up the chandelier,luxury,2019-06-07,16:25:00,https://www.thehindu.com/sci-tech/technology/gadgets/how-swarovski-is-changing-up-the-chandelier/article27653323.ece,5,0.11
The Hindu, This Chennai firm is raising the interior profile of homes vintage style,luxury,2019-06-08,15:32:00,https://www.thehindu.com/life-and-style/homes-and-gardens/this-chennai-firm-is-raising-the-interior-profile-of-homes-vintage-style/article27696811.ece,5,0.1
The Hindu, Book your Maldivian island at Cheval Blanc Randheli,luxury,2019-06-07,15:32:00,https://www.thehindu.com/life-and-style/luxury/book-your-maldivian-island-at-cheval-blanc-randheli/article27641398.ece,5,0.12
The Hindu, Louis XIII cognac for the modern Maharaja,luxury,2019-05-24,18:07:00,https://www.thehindu.com/life-and-style/luxury/louis-xiii-cognac-for-the-modern-maharaja/article27237422.ece,5,0.11
The Hindu, Glenmorangie CEO Thomas Moradpour on their India plans,luxury,2019-05-14,11:16:00,https://www.thehindu.com/life-and-style/luxury/dram-straight-glenmorangie-ceo-thomas-moradpour-on-their-india-plans/article27093692.ece,6,1.0
The Hindu, Celebrity sizzle and some Fenty,luxury,2019-05-21,14:22:00,https://www.thehindu.com/life-and-style/luxury/celebrity-sizzle-and-some-fenty/article27194735.ece,7,1.0
The Hindu, Advantage Amritraj,luxury,2019-03-30,12:50:00,https://www.thehindu.com/life-and-style/luxury/advantage-amritraj/article26677194.ece,8,1.0
The Hindu, Jaipur Rugs ’ collaboration with Matteo Cibic goes to Milan,luxury,2019-04-12,16:51:00,https://www.thehindu.com/life-and-style/luxury/jaipur-rugs-collaboration-with-matteo-cibic-goes-to-milan/article26818272.ece,9,1.0
The Hindu, Maldives on your finger,luxury,2019-05-17,15:57:00,https://www.thehindu.com/life-and-style/luxury/maldives-on-your-finger/article27160844.ece,10,1.0
The Hindu, Farah Khan ’ s fabulous jewels,luxury,2019-04-07,19:03:00,https://www.thehindu.com/life-and-style/luxury/farah-khans-fabulous-jewels/article26747844.ece,11,0.85
The Hindu, This weekend nose your way through whisky with Jim Murray,luxury,2019-05-16,12:41:00,https://www.thehindu.com/life-and-style/luxury/get-perspective-on-whisky-with-jim-murray-the-worlds-first-full-time-whisky-writer/article27146260.ece,12,1.0
The Hindu, Kanakavalli Quirky with tradition to match,luxury,2019-06-08,17:56:00,https://www.thehindu.com/life-and-style/fashion/quirky-with-tradition-to-match/article27696895.ece,13,1.0
