Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Toddler and beyond The right age for your child to have his own bedroom,parenting,2019-06-17, 14:48:00,https://timesofindia.indiatimes.com/life-style/parenting/toddler-year-and-beyond/the-right-age-for-your-child-to-have-his-own-bedroom/articleshow/69824187.cms,0,0.5
Time of India, Getting pregnant Egg freezing in cancer patients,parenting,2019-03-27, 14:24:00,https://timesofindia.indiatimes.com/life-style/parenting/getting-pregnant/egg-freezing-in-cancer-patients/articleshow/68595536.cms,1,0.28
Time of India, Pregnancy Is there a right time to announce your pregnancy,parenting,2019-06-15, 15:14:00,https://timesofindia.indiatimes.com/life-style/parenting/pregnancy/is-there-a-right-time-to-announce-your-pregnancy/articleshow/69800518.cms,1,0.2
Time of India, Getting pregnant Want to get pregnant How to tell if it is the right time to have sex,parenting,2019-05-03, 18:53:00,https://timesofindia.indiatimes.com/life-style/parenting/getting-pregnant/want-to-get-pregnant-how-to-tell-if-it-is-the-right-time-to-have-sex/articleshow/69164400.cms,1,0.2
Time of India, Getting pregnant Planning a baby THIS is the best time to have sex for getting pregnant,parenting,2019-01-22, 17:46:00,https://timesofindia.indiatimes.com/life-style/parenting/getting-pregnant/planning-a-baby-this-is-the-best-time-to-have-sex/photostory/67641572.cms,1,0.19
Time of India, Getting pregnant The right way to read a pregnancy test,parenting,2019-02-22, 11:56:00,https://timesofindia.indiatimes.com/life-style/parenting/getting-pregnant/the-right-way-to-read-a-pregnancy-test/articleshow/68107424.cms,1,0.2
Time of India, Getting pregnant How to get pregnant Your complete guide to becoming pregnant is here,parenting,2019-04-03, 12:28:00,https://timesofindia.indiatimes.com/life-style/parenting/getting-pregnant/how-to-get-pregnant-your-complete-guide-to-becoming-pregnant-is-here/articleshow/68699363.cms,1,0.14
Time of India, Getting pregnant Most common sex questions answered for couples wanting to conceive,parenting,2019-03-03, 15:00:00,https://timesofindia.indiatimes.com/life-style/parenting/getting-pregnant/most-common-sex-questions-answered-for-couples-wanting-to-conceive/photostory/68242001.cms,1,0.21
Time of India, First year A fathers response to bottle feeding formula to his son,parenting,2019-05-08, 15:37:00,https://timesofindia.indiatimes.com/life-style/parenting/first-year/a-fathers-response-to-bottle-feeding-formula-to-his-son/articleshow/69233496.cms,2,0.18
Time of India, Moments Happy Fathers Day 2019 Images Cards Greetings Quotes Wishes Pictures GIFs and Wallpapers,parenting,2019-06-16, 12:06:00,https://timesofindia.indiatimes.com/life-style/parenting/moments/happy-fathers-day-2019-images-cards-quotes-wishes-messages-greetings-status-pictures-gifs-and-wallpapers/articleshow/69789976.cms,2,0.3
Time of India, Moments This Fathers Day be a financial superhero for your kids,parenting,2019-06-16, 11:30:00,https://timesofindia.indiatimes.com/life-style/parenting/moments/this-fathers-day-be-a-financial-superhero-for-your-kids/articleshow/69789254.cms,2,0.22
Time of India, Moments Happy Fathers Day 2019 15 hilarious Fathers Day memes which will make all dads Laugh Out Loud,parenting,2019-06-16, 12:07:00,https://timesofindia.indiatimes.com/life-style/parenting/moments/happy-fathers-day-2019-memes-quotes-wishes-messages-images-cards-15-hilarious-fathers-day-memes-which-will-make-all-dads-laugh-out-loud/articleshow/69798442.cms,2,0.26
Time of India, Moments Happy Fathers Day Greeting Card How to make Fathers Day card at home for your Dad,parenting,2019-06-16, 12:01:00,https://timesofindia.indiatimes.com/life-style/parenting/moments/happy-fathers-day-greeting-card-wishes-messages-quotes-how-to-make-fathers-day-card-at-home-for-your-dad/articleshow/69788209.cms,2,0.33
Time of India, Ask the expert My daughter is 5 months old and I cant wait to go back to work,parenting,2019-04-23, 17:00:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-daughter-is-5-months-old-and-i-cant-wait-to-go-back-to-work/articleshow/69008396.cms,3,0.27
Time of India, Ask the expert My daughter doesnt like kids who dont score as well as her,parenting,2019-05-10, 16:08:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-daughter-doesnt-like-kids-who-dont-score-as-well-as-her/articleshow/69195886.cms,3,0.26
Time of India, Ask the expert My daughters class teacher hits her What should I do,parenting,2019-05-16, 19:00:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-daughters-class-teacher-hits-her-what-should-i-do/articleshow/69358823.cms,3,0.26
Time of India, Ask the expert My 18 month daughter has serious temper issues,parenting,2019-06-06, 12:00:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-18-month-daughter-has-serious-temper-issues/articleshow/69663028.cms,3,0.33
Time of India, Ask the expert I want to prove it to my daughter that she doesnt need a man to protect her What should I do,parenting,2019-05-30, 15:52:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/i-want-to-prove-it-to-my-daughter-that-she-doesnt-need-a-man-to-protect-her-what-should-i-do/articleshow/69563622.cms,3,0.29
Time of India, First year It is NOT safe to tickle babies We tell you why,parenting,2019-06-13, 16:37:00,https://timesofindia.indiatimes.com/life-style/parenting/first-year/it-is-not-safe-to-tickle-babies-we-tell-you-why/articleshow/69772309.cms,4,0.37
Time of India, First year Why you MUST hold your new born to your hearts content,parenting,2019-05-07, 16:06:00,https://timesofindia.indiatimes.com/life-style/parenting/first-year/why-you-must-hold-your-new-born-to-your-hearts-content/articleshow/69217240.cms,4,0.4
Time of India, Moments The inspiring story of the viral Afghan boy dancing will touch your hearts,parenting,2019-05-14, 17:24:00,https://timesofindia.indiatimes.com/life-style/parenting/moments/the-inspiring-story-of-the-viral-afghan-boy-dancing-will-touch-your-hearts/articleshow/69326515.cms,4,0.29
Time of India, Ask the expert My teen is growing distant from me,parenting,2019-04-10, 15:28:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-teen-is-growing-distant-from-me/articleshow/68810883.cms,5,0.22
Time of India, Ask the expert My 10 year old son doesnt like his grandparents,parenting,2019-04-25, 15:09:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-10-year-old-son-doesnt-like-his-grandparents/articleshow/69040165.cms,5,0.24
Time of India, Ask the expert I feel my child is getting neglected because of my job,parenting,2019-05-30, 15:58:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/i-feel-my-child-is-getting-neglected-because-of-my-job/articleshow/69580862.cms,5,0.24
Time of India, Ask the expert My 2 year old daughter suffers from separation anxiety Please help,parenting,2019-06-03, 18:02:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-two-year-old-daughter-suffers-from-separation-anxiety-please-help/articleshow/69635311.cms,5,0.24
Time of India, Ask the expert I had a miscarriage and my in laws want me to see a totka doctor Help me,parenting,2019-05-17, 16:53:00,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/i-had-a-miscarriage-and-my-in-laws-want-me-to-see-a-totka-doctor-help-me/articleshow/69374298.cms,5,0.15
