Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Pets Your dog might be feeling stressed because of you,relationships,2019-06-17, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/dear-pet-parents-your-dog-might-be-feeling-stressed-because-of-you/photostory/69772892.cms,0,0.23
Time of India, Pets Army dogs performing yoga on International Yoga Day will melt your heart,relationships,2019-06-21, 12:50:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/army-dogs-performing-yoga-on-international-yoga-day-will-melt-your-heart/articleshow/69887399.cms,0,0.22
Time of India, Pets Where do our dogs come from,relationships,2019-06-09, 00:00:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/where-do-our-dogs-come-from/articleshow/69689654.cms,0,0.22
Time of India, Pets This celebrity dog has over a million followers,relationships,2019-06-09, 15:50:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/this-celebrity-dog-has-over-a-million-followers-heres-her-heart-touching-story/articleshow/69712419.cms,0,0.22
Time of India, Ask the expert I am emotionally abused by my husband,relationships,2019-06-12, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/i-am-being-emotionally-abused-by-my-husband/articleshow/69756583.cms,1,0.31
Time of India, Ask the expert My co worker is jealous of me,relationships,2019-06-14, 20:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/my-co-worker-is-jealous-of-me/articleshow/69789576.cms,1,0.25
Time of India, Ask the expert I broke up with the girl I love Help,relationships,2019-06-15, 23:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/i-broke-up-with-the-girl-i-love-help/articleshow/69726021.cms,1,0.26
Time of India, Ask the expert My husband wants to get back in touch with his Italian girlfriend,relationships,2019-06-13, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/my-husband-wants-to-get-back-in-touch-with-his-italian-girlfriend/articleshow/69772752.cms,1,0.26
Time of India, Ask the expert My in laws do not like when I visit my parents place,relationships,2019-06-07, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/my-in-laws-do-not-like-when-i-visit-my-parents-place/articleshow/69691859.cms,1,0.26
Time of India, Ask the expert Am I an emotionally needy person,relationships,2019-06-05, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/am-i-an-emotionally-needy-person/articleshow/69662781.cms,1,0.26
Time of India, Pets Looking at pictures of baby animals can do wonders to your professional life,relationships,2019-06-02, 09:00:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/looking-at-pictures-of-baby-animals-can-do-wonders-to-your-professional-life/photostory/69540373.cms,2,0.24
Time of India, Love sex Practising this 72 hour rule can sort out all your love life problems,relationships,2019-06-17, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/practising-this-72-hour-rule-can-sort-out-all-your-love-life-problems/photostory/69757045.cms,2,0.26
Time of India, Soul curry The uninvited guest who haunted my life,relationships,2019-05-30, 18:18:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/how-i-got-rid-of-the-unwanted-guest-who-haunted-my-life/articleshow/69583295.cms,2,0.24
Time of India, Soul curry I love you more than life,relationships,2019-06-07, 17:52:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/my-little-cookie-i-love-you-more-than-life-and-more-than-anything/articleshow/69691605.cms,2,0.27
Time of India, Ask the expert My wife left me How should I get her back,relationships,2019-06-17, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/my-wife-left-me-how-should-i-get-her-back/articleshow/69825912.cms,3,0.27
Time of India, Ask the expert Please help I have an abusive wife,relationships,2019-06-18, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/please-help-i-have-an-abusive-wife/articleshow/69844021.cms,3,0.35
Time of India, Ask the expert My wife is having an extramarital affair with her ex boyfriend,relationships,2019-06-20, 22:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/my-wife-is-having-an-extramarital-affair-with-her-ex-boyfriend/articleshow/69876758.cms,3,0.26
Time of India, Ask the expert My parents don ’ t like my boyfriend but I don ’ t want to leave him,relationships,2019-06-09, 23:00:00,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/my-parents-dont-like-my-boyfriend-but-i-dont-want-to-leave-him/articleshow/69712539.cms,3,0.28
Time of India, Love sex Harsh truths about marriage that no one will tell you,relationships,2019-06-19, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/harsh-truths-about-marriage-that-no-one-will-tell-you/photostory/69840969.cms,4,0.56
Time of India, Work Heres a list of advantages that extroverts enjoy at workplace,relationships,2019-05-31, 14:29:00,https://timesofindia.indiatimes.com/life-style/relationships/work/heres-a-list-of-advantages-that-extroverts-enjoy-at-workplace/articleshow/69595307.cms,5,1.0
Time of India, Work Your colleagues cause you more stress than your toxic boss Study,relationships,2019-06-07, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/work/your-co-workers-cause-you-more-stress-than-your-boss-says-a-study/photostory/69677213.cms,6,0.41
Time of India, Work Negative feedback can actually benefit employees says a study,relationships,2019-06-12, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/work/negative-feedback-can-actually-benefit-employees-says-a-study/photostory/69740830.cms,6,0.42
Time of India, Work How boss reaction influences employees,relationships,2019-06-12, 17:22:00,https://timesofindia.indiatimes.com/life-style/relationships/work/boss-reaction-influences-whether-workers-speak-up-research-suggests/articleshow/69757249.cms,6,0.43
Time of India, Love sex How a person tilts his head can make him look more dominant,relationships,2019-06-16, 17:02:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/how-a-person-tilts-his-head-can-make-him-look-more-dominant/articleshow/69812717.cms,7,0.18
Time of India, Love sex The tricky task of deciding the wedding invite list,relationships,2019-06-18, 11:51:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/shaadi-mein-zaroor-aana-the-tricky-task-of-deciding-who-does-and-doesnt-get-a-wedding-invite/photostory/69827059.cms,7,0.17
Time of India, Love sex Should you check your partners phone,relationships,2019-06-16, 09:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/should-you-check-your-partners-phone/photostory/69741242.cms,7,0.16
Time of India, Love sex He made me cry every night Heres the story of my break up,relationships,2019-06-21, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/he-made-me-cry-every-night-heres-the-story-of-my-break-up/photostory/69876609.cms,7,0.18
Time of India, Love sex How yoga can help strengthen your relationship with your partner,relationships,2019-06-21, 14:04:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/how-yoga-can-help-strengthen-your-relationship-with-your-partner/articleshow/69888898.cms,7,0.17
Time of India, Love sex Things we should stop doing at Indian weddings,relationships,2019-06-20, 08:00:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/oh-no-not-again-things-we-should-absolutely-stop-doing-at-weddings/photostory/69857551.cms,7,0.2
Time of India, Work 6 reasons why even qualified candidates fail to get a good job,relationships,2019-06-04, 10:29:00,https://timesofindia.indiatimes.com/life-style/relationships/work/6-reasons-why-even-qualified-candidates-fail-to-get-a-good-job/photostory/69634549.cms,8,0.39
Time of India, Work Study finds the reason why women are not seen as leaders in the corporate world,relationships,2019-06-11, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/work/study-finds-the-reason-why-women-are-not-seen-as-leaders-in-the-corporate-world/photostory/69725629.cms,8,0.38
Time of India, Pets Understanding separation anxiety,relationships,2019-05-19, 00:00:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/understanding-separation-anxiety/articleshow/69370698.cms,9,0.25
Time of India, Pets Mineral magic and its effect on coat condition,relationships,2019-06-02, 00:00:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/mineral-magic-and-its-effect-on-coat-condition/articleshow/69582609.cms,9,0.24
Time of India, Pets Therapy pooches and cats help youngsters fight stress,relationships,2019-06-02, 05:00:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/therapy-pooches-and-cats-help-youngsters-fight-stress-and-anxiety/articleshow/69610989.cms,9,0.25
Time of India, Pets How to keep your pets safe from summer stress,relationships,2019-05-12, 00:00:00,https://timesofindia.indiatimes.com/life-style/relationships/pets/how-to-keep-your-pets-safe-from-summer-stress/articleshow/69264392.cms,9,0.27
Time of India, Love sex Science suggests ‘ love at first sight ’ is all about initial attraction and lust,relationships,2019-06-19, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/science-suggests-love-at-first-sight-is-all-about-initial-attraction-and-lust/photostory/69842455.cms,10,0.56
Time of India, Soul curry Who was fortunate,relationships,2019-06-08, 23:00:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/who-was-fortunate/articleshow/69692904.cms,11,0.21
Time of India, Soul curry Karma has a wicked sense of humour,relationships,2019-06-18, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/karma-has-a-wicked-sense-of-humour/articleshow/69827806.cms,11,0.15
Time of India, Soul curry He found solace in forgiving,relationships,2019-06-14, 18:02:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/he-found-solace-in-forgiving/articleshow/69790167.cms,11,0.13
Time of India, Soul curry She sheds tears that are invisible to the world,relationships,2019-06-06, 10:30:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/she-sheds-tears-that-are-invisible-to-the-world/articleshow/69662619.cms,11,0.16
Time of India, Soul curry Whats all the hype about turning forty,relationships,2019-06-11, 15:50:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/whats-all-the-hype-about-turning-forty/articleshow/69739858.cms,11,0.15
Time of India, Soul curry It was the last trip together for the foursome,relationships,2019-06-18, 18:27:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/it-was-the-last-trip-together-for-the-foursome/articleshow/69843787.cms,11,0.15
Time of India, Soul curry Behind her charming smile was a world hidden from all,relationships,2019-05-28, 13:10:00,https://timesofindia.indiatimes.com/life-style/relationships/soul-curry/behind-her-charming-smile-was-a-world-hidden-from-all/articleshow/69535386.cms,11,0.17
