Source,Heading,Category,Date,Time,URL
India Today," Kiara Advani trolled for wearing fake designer dress. Copy toh First Class hain, says InternetRecently, an Instagram account trolled Kiara Advani for wearing a Thurley
rip-off dress for Kabir Singh promotions. The ensemble that Kiara had worn
featured a similar white crop top and skirt with multiple thigh-high slits,
like the original.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/kiara-advani-trolled-for-wearing-fake-designer-dress-copy-toh-first-class-hain-says-internet-1552778-2019-06-20
India Today," Priyanka Chopra stuns in metallic sheer top and pants at mom Madhu's birthday bash. See picsPriyanka Chopra celebrated her mother's birthday with a special dinner. They
were joined by her husband, Nick Jonas. The actress looked stunning as she
wore a metallic sheer top.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-stuns-in-metallic-sheer-top-and-pants-at-mom-madhu-s-birthday-bash-see-pics-1552020-2019-06-19
India Today," Priyanka Chopra paints NYC tangerine in plunging neckline dress with hubby Nick Jonas. See picsSeems like Priyanka Chopra has a new favourite colour. The actress was again
seen wearing a tangerine plunging neckline dress as she stepped out with Nick
Jonas on the streets of NYC.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-paints-nyc-tangerine-in-plunging-neckline-dress-with-hubby-nick-jonas-see-pics-1549974-2019-06-16
India Today," Priyanka Chopra is all about summer romance in plunging neckline crop top and skirtPriyanka Chopra has been slaying her style game. Last night, for an event,
the actress donned a gorgeous orange and white attire.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/priyanka-chopra-is-all-about-summer-romance-in-plunging-neckline-crop-top-and-skirt-1549351-2019-06-15
India Today," Sunny Leone is all summer shine and glory in floral crop top and thigh-slit skirtSunny Leone recently took to Instagram to post a picture of her standing in
the middle of a forest wearing a floral co-ord ensemble. Baring her washboard
abs, she wore a plunging neckline spaghetti crop top with a skirt which had a
risqué thigh-high slit on the side.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/sunny-leone-is-all-summer-shine-and-glory-in-floral-crop-top-and-thigh-slit-skirt-1548745-2019-06-14
India Today," Maanayata Dutt takes disastrous fashion a level higher with new Instagram posts. See picsMaanayata Dutt recently shared a set of pictures on her official Instagram
account and might we add, we are still asking, what was she thinking?",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/maanayata-dutt-takes-disastrous-fashion-a-level-higher-with-new-instagram-posts-see-pics-1548729-2019-06-14
India Today," Kiara Advani copies Kriti Sanon's all-white airport look for Kabir Singh event. Who wore it better?Recently, while promoting Kabir Singh, Kiara Advani donned an all-white
attire and it seems the inspiration for the ethereal white outfit came from
none other than Kriti Sanon.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/kiara-advani-copies-kriti-sanon-s-all-white-airport-look-at-kabir-singh-event-who-wore-it-better-1548006-2019-06-13
India Today," Ananya Panday steals the show at Karan Johar's bash in mini dress and leather heels. See picsAnanya Panday stole the spotlight at Karan Johar's bash last night as she
arrived in a mini dress and leather heels with co-star Tara Sutaria.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/ananya-panday-steals-the-show-at-karan-johar-s-bash-in-mini-dress-and-leather-heels-see-pics-1547866-2019-06-13
India Today," Sara Ali Khan is a fierce diva as she flaunts toned midrif in fiery red lehengaSara Ali Khan delighted her fans by sharing a gorgeous image of herself in a
fierce red lehenga as she flaunted her washboard abs.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/sara-ali-khan-is-a-fierce-goddess-as-she-flaunts-toned-midrif-in-fiery-red-lehenga-1547174-2019-06-12
India Today," Sonam Kapoor's birthday attire costs more than Rs 1 lakh. Details hereSonam Kapoor recently turned 34 and the actress celebrated her birthday with
a star studded bash. For her birthday attire, Sonam Kapoor wore high-end
clothes that cost over a lakh.",fashion,2019-06-21,15:02:00,https://www.indiatoday.in/lifestyle/fashion/story/sonam-kapoor-s-birthday-attire-costs-more-than-rs-1-lakh-details-here-1546607-2019-06-11
