Newspaper,Heading,Date,Time,URL
Time of India,7 unbelievable benefits of sleeping naked!,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/from-weight-loss-to-anti-ageing-7-unbelievable-benefits-of-sleeping-naked/photostory/69542896.cms
Time of India,Want to read more books? Follow these tips!,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/books/features/want-to-read-more-books-follow-these-tips/photostory/69544534.cms
Time of India,This real-life funny bidai scene is going viral,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/spotlight/this-real-life-funny-bidai-scene-is-going-to-make-your-day/articleshow/69555294.cms
Time of India,Stop your make-up from melting in summer,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/beauty/7-ways-you-can-stop-your-make-up-from-melting-in-summer/photostory/69536218.cms
Time of India,Confused if your girlfriend loves you?,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/confused-if-your-girlfriend-loves-you-or-not-read-her-body-language/photostory/69540605.cms
Time of India,Why you shouldn’t eat from a dented can,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/food-news/why-you-shouldnt-eat-from-a-dented-can/photostory/69551373.cms
Time of India,Women are happier without a husband and kids: Study,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/are-women-happier-without-a-husband-and-kids-a-study-says-yes/photostory/69541581.cms
Time of India,Confused if your girlfriend loves you or not?,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/confused-if-your-girlfriend-loves-you-or-not-read-her-body-language/photostory/69540605.cms
Time of India,Never make these 7 comments on SKINNY PEOPLE!,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/never-make-these-7-comments-on-skinny-people/photostory/69555899.cms
Time of India,"WHO calls ‘Burnout’ a medical condition, then backtracks!",2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/health-fitness/de-stress/who-calls-burnout-a-medical-condition-then-backtracks/articleshow/69556298.cms
Time of India,How to dress for work Bollywood style this summer,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/how-to-dress-for-work-bollywood-style-this-summer/photostory/69556066.cms
Time of India,You can't miss Gabrielle's maternity fashion,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/fashion/buzz/arjun-rampal-girlfriend-gabrielle-hot-maternity-fashion/photostory/69539813.cms
Time of India,Exploring countries that have simpler immigration policies,2019-05-29,15:26,https://timesofindia.indiatimes.comhttps://timesofindia.indiatimes.com/travel/destinations/exploring-countries-that-have-simpler-immigration-policies/ss69542324.cms
Time of India,5 places in the world that are inaccessible,2019-05-29,15:26,https://timesofindia.indiatimes.comhttps://timesofindia.indiatimes.com/travel/destinations/5-places-in-the-world-that-are-inaccessible/as64355395.cms
Time of India,6 top reasons your hair keeps FALLING and how you can PREVEN...,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/beauty/6-top-reasons-your-hair-keeps-falling-and-how-you-can-prevent-it/photostory/69545437.cms
Time of India,7 ways you can stop your make-up from melting in summer,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/beauty/7-ways-you-can-stop-your-make-up-from-melting-in-summer/photostory/69536218.cms
Time of India,Want to read more books? Follow these tips!,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/books/features/want-to-read-more-books-follow-these-tips/photostory/69544534.cms
Time of India,Vivekananda book to get screen adaptation,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/books/features/book-on-swami-vivekananda-to-get-screen-adaptation/articleshow/69536577.cms
Time of India,Vastu tips: Best colours for different rooms,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/home-garden/vastu-tips-best-colours-for-different-rooms/articleshow/69523070.cms
Time of India,Sona inspires Mona Jaswani to get in shape,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/home-garden/sona-inspires-mona-jaswani-to-get-in-shape/articleshow/69502769.cms
Time of India,Spanish Potato Omelette,2019-05-29,15:26,https://timesofindia.indiatimes.comhttp://recipes.timesofindia.com/recipes/spanish-potato-omelette/recipeshow/61832475.cms
Time of India,Chicken Salad with Spring Onions and Sun-dried Tomatoes,2019-05-29,15:26,https://timesofindia.indiatimes.comhttp://recipes.timesofindia.com/recipes/chicken-salad-with-spring-onions-and-sun-dried-tomatoes/recipeshow/61132935.cms
Time of India,How parents can bully-proof their children,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/parenting/toddler-year-and-beyond/how-parents-can-bully-proof-their-children/articleshow/69553866.cms
Time of India,"""My 4-year-old has a crush on a boy in his class"". What do I...",2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/parenting/ask-the-expert/my-4-year-old-has-a-crush-on-a-boy-in-his-class-what-do-i-tell-her/articleshow/69536559.cms
Time of India,Kailash Kher: I try to give a platform to motivate and uplif...,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/events/kailash-kher-i-try-to-give-a-platform-to-motivate-and-uplift-the-spirit-of-young-independent-musicians/articleshow/69460099.cms
Time of India,"Happy Buddha Purnima 2019: Wishes, messages, prayers, quotes...",2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/events/happy-buddha-purnima-2019-wishes-messages-prayers-quotes-images-facebook-and-whatsapp-status/articleshow/69373617.cms
Time of India,This real-life funny bidai scene is going to make your day!,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/spotlight/this-real-life-funny-bidai-scene-is-going-to-make-your-day/articleshow/69555294.cms
Time of India,We are sure you would want to own this magical hands-free um...,2019-05-29,15:26,https://timesofindia.indiatimes.com/life-style/spotlight/we-are-sure-you-would-want-to-own-this-magical-hands-free-umbrella/articleshow/69542081.cms
