Source,Heading,Category,Date,Time,URL
Times of India,"Mayawati appoints brother, nephew to key BSP posts; decision taken at meet attended by top party members",politics,2019-06-23,22:02,https://www.firstpost.com/politics/mayawati-appoints-brother-nephew-to-key-bsp-posts-decision-taken-at-meet-attended-by-top-party-members-6867431.html
Times of India,"Veerappa Moily hits out at HD Kumaraswamy, says lack of ministers' interest in working on ground led to election defeat in Karnataka",politics,2019-06-23,22:02,https://www.firstpost.com/politics/veerappa-moily-hits-out-at-hd-kumaraswamy-says-lack-of-ministers-interest-in-working-on-ground-led-to-election-defeat-in-karnataka-6865621.html
Times of India,"Smriti Irani to build her own house in Amethi's Gauriganj, says it will make her more accessible to local residents",politics,2019-06-23,22:02,https://www.firstpost.com/politics/smriti-irani-to-build-her-own-house-in-amethis-gauriganj-says-it-will-make-her-more-accessible-to-local-residents-6866901.html
Times of India,"Mayawati slams BJP over TDP MPs' defection, says everything is fair in saffron party's 'brand of politics'
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/mayawati-slams-bjp-over-tdp-mps-defection-says-everything-is-fair-in-saffron-partys-brand-of-politics-6860981.html
Times of India,"Rise of grassroot workers: By elevating Om Birla, Thawar Chand Gehlot, BJP is telling the story of a new India
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/rise-of-grassroot-workers-by-elevating-om-birla-thawar-chand-gehlot-bjp-is-telling-the-story-of-a-new-india-6861311.html
Times of India,"Parliament Monsoon Session: Triple talaq bill tabled in LS amid protests; Bihar encephalitis also discussed
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/parliament-monsoon-session-triple-talaq-bill-tabled-in-ls-amid-protests-bihar-encephalitis-also-discussed-6860591.html
Times of India,"Bhatpara clashes: BJP creates three-member committee to investigate deaths; West Bengal Police claims shots fired to quell violence
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/bhatpara-clashes-bjp-creates-three-member-committee-to-investigate-deaths-west-bengal-police-claims-shots-fired-to-quell-violence-6860611.html
Times of India,"Govt introduces fresh triple talaq bill in the Lok Sabha; Opposition protests, claims legislation violates Constitution
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/india/govt-introduces-fresh-triple-talaq-bill-in-the-lok-sabha-opposition-protests-claims-legislation-violates-constitution-6860241.html
Times of India,"'There are kids in Parliament; yoga can help them': BJP's Ram Madhav takes dig at Rahul Gandhi
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/there-are-kids-in-parliament-yoga-can-help-them-bjps-ram-madhav-takes-dig-at-rahul-gandhi-6859981.html
Times of India,"Parliament Updates: Bill to overturn Sabarimala SC verdict introduced in Lok Sabha; House takes up private member bills
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/parliament-live-updates-bill-to-overturn-sabarimala-sc-verdict-introduced-in-lok-sabha-house-takes-up-private-member-bills-6857441.html
Times of India,"Opposition leaders express concern over Yoga minister Yesso Naik's absence during Lok Sabha Question Hour
                                        ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/opposition-leaders-express-concern-over-yoga-minister-yesso-naiks-absence-during-lok-sabha-question-hour-6858871.html
Times of India,"HD Deve Gowda's empty threat of midterm polls scares Karnataka parties, but that's what the state needs now
                                                    ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/hd-deve-gowdas-empty-threat-of-midterm-polls-scares-karnataka-parties-but-thats-what-the-state-needs-now-6867581.html
Times of India,"HD Deve Gowda's empty threat of midterm polls scares Karnataka parties, but that's what the state needs now",politics,2019-06-23,22:02,https://www.firstpost.com/politics/hd-deve-gowdas-empty-threat-of-midterm-polls-scares-karnataka-parties-but-thats-what-the-state-needs-now-6867581.html
Times of India,"Firstpost Editor's Picks: US-Iran tensions, Deve Gowda's threat to Karnataka parties, Miyah poetry; today's must-read stories",politics,2019-06-23,22:02,https://www.firstpost.com/india/firstpost-editors-picks-us-iran-tension-deve-gowdas-threat-to-karnataka-parties-miyah-poetry-todays-must-read-stories-6867881.html
Times of India,"BS Yeddyurappa asks Congress-JD(S) coalition to quit if it can't govern Karnataka, says people won't accept mid-term polls",politics,2019-06-23,22:02,https://www.firstpost.com/politics/bs-yeddyurappa-asks-congress-jds-coalition-to-quit-if-it-cant-govern-karnataka-says-people-wont-accept-mid-term-polls-6867211.html
Times of India,"Veerappa Moily hits out at HD Kumaraswamy, says lack of ministers' interest in working on ground led to election defeat in Karnataka",politics,2019-06-23,22:02,https://www.firstpost.com/politics/veerappa-moily-hits-out-at-hd-kumaraswamy-says-lack-of-ministers-interest-in-working-on-ground-led-to-election-defeat-in-karnataka-6865621.html
Times of India,"'Never wanted to make Kumaraswamy CM,' HD Deve Gowda says Karnataka will witness mid-term polls soon; calls coalition govt Congress' idea",politics,2019-06-23,22:02,https://www.firstpost.com/politics/never-wanted-to-make-kumaraswamy-cm-hd-deve-gowda-says-karnataka-will-witness-mid-term-polls-soon-calls-coalition-govt-congress-idea-6858201.html
Times of India,"14 killed in Rajasthan's Barmer after pandaal at religious programme collapses due to rain; Modi, Gehlot express condolences
                                                    ",politics,2019-06-23,22:02,https://www.firstpost.com/india/14-killed-in-rajasthans-barmer-after-pandaal-collapses-due-to-rain-narendra-modi-ashok-gehlot-express-condolences-6867821.html
Times of India,"14 killed in Rajasthan's Barmer after pandaal at religious programme collapses due to rain; Modi, Gehlot express condolences",politics,2019-06-23,22:02,https://www.firstpost.com/india/14-killed-in-rajasthans-barmer-after-pandaal-collapses-due-to-rain-narendra-modi-ashok-gehlot-express-condolences-6867821.html
Times of India,"Delhi BJP chief Manoj Tiwari gets death threat; in Hindi SMS, sender says will eliminate prime minister 'if need be'",politics,2019-06-23,22:02,https://www.firstpost.com/india/delhi-bjp-chief-manoj-tiwari-gets-death-threat-in-hindi-sms-sender-says-will-eliminate-prime-minister-if-need-be-6866441.html
Times of India,"CJI Ranjan Gogoi writes to Narendra Modi, seeks to augment the strength of judges in Supreme Court",politics,2019-06-23,22:02,https://www.firstpost.com/world/cji-ranjan-gogoi-writes-to-narendra-modi-seeks-to-augment-the-strength-of-judges-in-supreme-court-6866721.html
Times of India,"Govt has no business to be in business; divest mining firms NMDC, HZL: Anil Agarwal to PM Modi",politics,2019-06-23,22:02,https://www.firstpost.com/business/govt-has-no-business-to-be-in-business-divest-mining-firms-nmdc-hzl-anil-agarwal-to-pm-modi-6866861.html
Times of India,BJP claims two party workers were injured in firing by West Bengal Police for chanting 'Jai Shri Ram' at TMC meeting in Bankura,politics,2019-06-23,22:02,https://www.firstpost.com/politics/bjp-claims-two-party-workers-were-injured-in-firing-by-west-bengal-police-for-chanting-jai-shri-ram-at-tmc-meeting-in-bankura-6866371.html
Times of India,"No one should poke their nose into issue of who will be next Maharashtra CM, says Uddhav Thackeray
                                                    ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/no-one-should-poke-their-nose-into-issue-of-who-will-be-next-maharashtra-cm-says-uddhav-thackeray-6866561.html
Times of India,"No one should poke their nose into issue of who will be next Maharashtra CM, says Uddhav Thackeray",politics,2019-06-23,22:02,https://www.firstpost.com/politics/no-one-should-poke-their-nose-into-issue-of-who-will-be-next-maharashtra-cm-says-uddhav-thackeray-6866561.html
Times of India,"Lok Sabha election: Narendra Modi, Uddhav Thackeray to address rallies in Maharashtra’s Latur and Osmanabad today",politics,2019-06-23,22:02,https://www.firstpost.com/politics/lok-sabha-election-narendra-modi-uddhav-thackeray-to-address-rallies-in-maharashtra-latur-and-osmanabad-today-6412621.html
Times of India,"Days after talk of unity, fissures in Sena-BJP bonhomie: Mistrust among cadres makes vote transfer difficult",politics,2019-06-23,22:02,https://www.firstpost.com/politics/days-after-talk-of-unity-fissures-appear-in-sena-bjp-bonhomie-mistrust-among-cadres-makes-vote-transfer-difficult-6378921.html
Times of India,BJP's insecurity about winning in Maharashtra allows Shiv Sena to throw around its weight; imperils alliance,politics,2019-06-23,22:02,https://www.firstpost.com/politics/bjps-insecurity-about-winning-seats-in-maharashtra-allows-shiv-sena-to-throw-around-its-weight-imperils-alliance-6352581.html
Times of India,"Uddhav Thackeray asks Shiv Sena workers to ensure victory of alliance with BJP, holds meeting with MPs, district party chiefs",politics,2019-06-23,22:02,https://www.firstpost.com/politics/uddhav-thackeray-asks-shiv-sena-workers-to-ensure-victory-of-alliance-with-bjp-holds-meeting-with-mps-district-party-chiefs-6143281.html
Times of India,"Modi govt's return to power with stronger mandate shows people want to accelerate growth, President Ram Nath Kovind tells Parliament of India
                                                    ",politics,2019-06-23,22:02,https://www.firstpost.com/politics/modi-govts-return-to-power-with-stronger-mandate-shows-people-want-to-accelerate-growth-president-ram-nath-kovind-tells-parliament-of-india-6851521.html
Times of India,"Modi govt's return to power with stronger mandate shows people want to accelerate growth, President Ram Nath Kovind tells Parliament of India",politics,2019-06-23,22:02,https://www.firstpost.com/politics/modi-govts-return-to-power-with-stronger-mandate-shows-people-want-to-accelerate-growth-president-ram-nath-kovind-tells-parliament-of-india-6851521.html
Times of India,Sunny Deol’s Lok Sabha poll expenditure crosses Rs 70 lakh limit; Gurdaspur MP issued EC notice,politics,2019-06-23,22:02,https://www.firstpost.com/politics/sunny-deols-lok-sabha-poll-expenditure-crosses-rs-70-lakh-limit-gurdaspur-mp-issued-ec-notice-6848651.html
