Source,Heading,Category,Date,Time,URL
Times of India,External affairs minister S Jaishankar formally joins BJP,politics,2019-06-24, 15:01:00,https://timesofindia.indiatimes.com/politics/news/external-affairs-minister-s-jaishankar-formally-joins-bjp/articleshow/69925861.cms
Times of India,A non-Gandhi can lead Congress but family must play role: Mani Shankar Aiyar,politics,2019-06-24, 11:43:00,https://timesofindia.indiatimes.com/politics/news/a-non-gandhi-can-lead-congress-but-family-must-play-role-aiyar/articleshow/69921031.cms
Times of India,JP Nadda gets a leg-up in BJP pecking order,politics,2019-06-24, 08:52:00,https://timesofindia.indiatimes.com/politics/news/jp-nadda-gets-a-leg-up-in-bjp-pecking-order/articleshow/69921237.cms
Times of India,"In a U-turn, Mayawati gives key BSP posts to brother, nephew",politics,2019-06-24, 11:41:00,https://timesofindia.indiatimes.com/politics/news/in-a-u-turn-mayawati-gives-key-bsp-posts-to-brother-nephew/articleshow/69921335.cms
Times of India,Mid-term polls in Karnataka would be a burden on people: Sadananda Gowda,politics,2019-06-23, 17:24:00,https://timesofindia.indiatimes.com/politics/news/mid-term-polls-in-karnataka-would-be-a-burden-on-people-sadananda-gowda/articleshow/69914863.cms
Times of India,"Phones, bags, car keys barred at Mayawati's strategy meet",politics,2019-06-23, 13:10:00,https://timesofindia.indiatimes.com/politics/news/phones-bags-car-keys-barred-at-mayawatis-strategy-meet/articleshow/69912709.cms
Times of India,PM Modi remembers Syama Prasad Mookerjee,politics,2019-06-23, 11:46:00,https://timesofindia.indiatimes.com/politics/news/pm-modi-remembers-syama-prasad-mookerjee/articleshow/69912018.cms
Times of India,BJP to expand base in states where it is not in power: Shivraj Singh Chouhan,politics,2019-06-22, 17:17:00,https://timesofindia.indiatimes.com/politics/news/bjp-to-expand-base-in-states-where-it-is-not-in-power-chouhan/articleshow/69904426.cms
Times of India,Everything is fair in BJP brand of politics: Mayawati takes dig at TDP MPs defection,politics,2019-06-21, 16:40:00,https://timesofindia.indiatimes.com/politics/news/everything-is-fair-in-bjp-brand-of-politics-mayawati-takes-dig-at-tdp-mps-defection/articleshow/69891319.cms
Times of India,"Yogi Adityanath: Won’t tolerate crimes against minorities, minors",politics,2019-06-21, 09:03:00,https://timesofindia.indiatimes.com/politics/news/yogi-adityanath-wont-tolerate-crimes-against-minorities-minors/articleshow/69884625.cms
Times of India,DMK MPs raise Cauvery issue during President Kovind's address,politics,2019-06-20, 14:01:00,https://timesofindia.indiatimes.com/politics/news/dmk-mps-raise-cauvery-issue-during-president-kovinds-address/articleshow/69872362.cms
Times of India,Modi introduces his Council of Ministers in Rajya Sabha,politics,2019-06-20, 13:40:00,https://timesofindia.indiatimes.com/politics/news/modi-introduces-his-council-of-ministers-in-rajya-sabha/articleshow/69872074.cms
Times of India,"People gave mandate to continue India's development journey, says President Ram Nath Kovind in Parliament",politics,2019-06-20, 16:20:00,https://timesofindia.indiatimes.com/politics/news/people-gave-mandate-to-continue-indias-development-journey-says-president-ram-nath-kovind-in-parliament/articleshow/69870489.cms
Times of India,Can't express pain I go through every day: HD Kumaraswamy,politics,2019-06-19, 18:35:00,https://timesofindia.indiatimes.com/politics/news/cant-express-pain-i-go-through-every-day-hd-kumaraswamy/articleshow/69856254.cms
Times of India,No threat to Cong-JD(S) government: Siddaramaiah,politics,2019-06-19, 13:04:00,https://timesofindia.indiatimes.com/politics/news/no-threat-to-cong-jds-government-siddaramaiah/articleshow/69854845.cms
Times of India,Om Birla — From grassroots politician to Lok Sabha Speaker,politics,2019-06-19, 12:59:00,https://timesofindia.indiatimes.com/politics/news/om-birla-from-grassroots-politician-to-lok-sabha-speaker/articleshow/69853321.cms
Times of India,Modi govt 2.0: Ministers make it a point to reach office by 9.30am,politics,2019-06-19, 11:10:00,https://timesofindia.indiatimes.com/politics/news/modi-govt-2-0-ministers-make-it-a-point-to-reach-office-by-9-30am/articleshow/69852741.cms
Times of India,"Rahul Gandhi as active participant, Sonia chairs strategy meet",politics,2019-06-19, 08:07:00,https://timesofindia.indiatimes.com/politics/news/rahul-gandhi-as-active-participant-sonia-chairs-strategy-meet/articleshow/69850782.cms
Times of India,'Approachable' Om Birla is a silent performer,politics,2019-06-19, 02:30:00,https://timesofindia.indiatimes.com/politics/news/approachable-om-birla-is-a-silent-performer/articleshow/69850777.cms
Times of India,"Mamata to skip PM's party chiefs' meet, asks govt to prepare white paper on simultaneous polls",politics,2019-06-18, 17:14:00,https://timesofindia.indiatimes.com/politics/news/mamata-to-skip-party-chiefs-meet-in-delhi-ask-govt-to-prepare-white-paper-on-simultaneous-polls/articleshow/69841202.cms
Times of India,10 parties extend support to Om Birla's candidature for Lok Sabha speaker: Prahlad Joshi,politics,2019-06-18, 13:51:00,https://timesofindia.indiatimes.com/politics/news/10-parties-extend-support-to-om-birlas-candidature-for-lok-sabha-speaker/articleshow/69839010.cms
Times of India,Congress strategises on key issues ahead of PM's meeting with party chiefs,politics,2019-06-18, 14:17:00,https://timesofindia.indiatimes.com/politics/news/congress-discuses-strategy-on-key-matters/articleshow/69837338.cms
Times of India,Congress data chief under fire for failing to gauge BJP wave,politics,2019-06-18, 10:17:00,https://timesofindia.indiatimes.com/politics/news/congress-data-chief-under-fire-for-failing-to-gauge-bjp-wave/articleshow/69835224.cms
Times of India,"First day, first show: New MPs flaunt culture and attire",politics,2019-06-18, 02:59:00,https://timesofindia.indiatimes.com/politics/news/first-day-first-show-new-mps-flaunt-culture-and-attire/articleshow/69835175.cms
Times of India,"With eyes on 2022, Priyanka to step up UP tours, meet Cong workers twice a week",politics,2019-06-16, 14:06:00,https://timesofindia.indiatimes.com/politics/news/with-eyes-on-2022-priyanka-to-step-up-up-tours-meet-cong-workers-twice-a-week/articleshow/69811314.cms
Times of India,JD(U) neta quits 'to save Nitish the blushes',politics,2019-06-15, 06:57:00,https://timesofindia.indiatimes.com/politics/news/jdu-neta-quits-to-save-nitish-the-blushes/articleshow/69796668.cms
Times of India,2 independents appointed ministers in HDK cabinet,politics,2019-06-15, 07:06:00,https://timesofindia.indiatimes.com/politics/news/2-independents-appointed-ministers-in-hdk-cabinet/articleshow/69796425.cms
Times of India,Congress big guns skip Scindia's LS poll review meet,politics,2019-06-15, 13:42:00,https://timesofindia.indiatimes.com/politics/news/congress-big-guns-skip-scindias-ls-poll-review-meet/articleshow/69796257.cms
Times of India,Priyanka Gandh: Will find out who all didn’t work for Congress,politics,2019-06-14, 09:09:00,https://timesofindia.indiatimes.com/politics/news/will-find-out-who-all-didnt-work-for-cong/articleshow/69782093.cms
Times of India,Misa Bharti junks Rs 15 crore development schemes after Lok Sabha defeat,politics,2019-06-14, 07:02:00,https://timesofindia.indiatimes.com/politics/news/misa-junks-rs15-crore-development-schemes-after-ls-defeat/articleshow/69781044.cms
Times of India,Bihar: Speculation rife over ‘missing’ Tejashwi Prasad Yadav,politics,2019-06-14, 06:59:00,https://timesofindia.indiatimes.com/politics/news/speculation-rife-over-missing-tejashwi/articleshow/69781048.cms
Times of India,BJP ally JD(U) 'will oppose' triple talaq bill in Rajya Sabha,politics,2019-06-14, 08:12:00,https://timesofindia.indiatimes.com/politics/news/bjp-ally-jdu-will-oppose-triple-talaq-bill-in-rajya-sabha/articleshow/69780357.cms
Times of India,Amit Shah set to be at BJP helm at least till year end,politics,2019-06-14, 15:58:00,https://timesofindia.indiatimes.com/politics/news/amit-shah-set-to-be-at-bjp-helm-at-least-till-year-end/articleshow/69780229.cms
