Source,Heading,Category,Date,Time,URL
The Wire,Viral Acharya had Warned of Economic Fires if Central Banks' Independence Was Compromised,economy-politics,2019-06-24,17:20,https://thewire.in/banking/viral-acharya-rbi-deputy-governor-resignation
The Wire,How the Centre Can Fulfil Its Economic Promises in the Next Five Years,economy-politics,2019-06-24,17:20,https://thewire.in/political-economy/planning-economy-five-years-niti-aayog
The Wire,RBI Deputy Governor Viral Acharya Resigns 6 Months Before His Term Ends: Report,economy-politics,2019-06-24,17:20,https://thewire.in/banking/rbi-deputy-governor-viral-acharya-resigns-6-months-before-his-term-ends-report
The Wire,"Farmers’ Body Cautions Govt About Risk of Drought, Seeks Proactive Measures",economy-politics,2019-06-23,17:20,https://thewire.in/agriculture/farmer-body-drought-risk-government
The Wire,What Does the Periodic Labour Force Survey Tell Us?,economy-politics,2019-06-23,17:20,https://thewire.in/labour/periodic-labour-force-survey-data-employment
The Wire,"Between 2015 and 2018, More Than 12,000 Farmers Killed Themselves in Maharashtra",economy-politics,2019-06-22,17:20,https://thewire.in/agriculture/farmers-suicide-maharashtra-loan-waiver
The Wire,"Economic Prosperity Not Necessarily Leading to ‘Good’ Jobs, Analysis of Official Data Shows",economy-politics,2019-06-21,17:20,https://thewire.in/economy/economic-prosperity-good-jobs-government-data-justjobs-index
The Wire,India Likely to Let Budget Deficit Rise as Tax Receipts Fall Short,economy-politics,2019-06-21,17:20,https://thewire.in/economy/india-likely-to-let-budget-deficit-rise-as-tax-receipts-fall-short
The Wire,India Inc’s Scandals Can Only be Staunched by Urgent Institutional Investor Engagement,economy-politics,2019-06-21,17:20,https://thewire.in/business/india-incs-scandals-esg-responsible-investment
The Wire,DRI Accuses Adani Group Firm of Impeding Over-Invoicing Probe in Bombay HC Affidavit: Report,economy-politics,2019-06-21,17:20,https://thewire.in/business/directorate-revenue-intelligence-adani-coal-imports-probe
The Wire,Small Study Examines How Cotton Farming Produced 'Toxic Landscape' in Telangana,economy-politics,2019-06-21,17:20,https://thewire.in/environment/small-study-examines-how-cotton-farming-produced-toxic-landscape-in-telangana
The Wire,Exclusive: Nearly 50% of All NPAs Due to Loans Taken by Top 100 Borrowers,economy-politics,2019-06-20,17:20,https://thewire.in/banking/npa-top-100-borrowers-rbi
The Wire,"In a First, Possession of Banned Cotton Seed Lands Farmer in Police Custody",economy-politics,2019-06-20,17:20,https://thewire.in/agriculture/banned-cotton-seed-htbt-maharashtra-farmer-arrested
The Wire,Kovind: India Will Implement Reforms to Boost Economic Growth,economy-politics,2019-06-20,17:20,https://thewire.in/economy/kovind-india-will-implement-reforms-to-boost-economic-growth
The Wire,"Facebook's Cryptocurrency Plans, if Realised, Could Make it a Virtual Nation",economy-politics,2019-06-20,17:20,https://thewire.in/tech/facebooks-cryptocurrency-plans-if-realised-could-make-it-a-virtual-nation
The Wire,Industrial Corridors Swallow Hundreds of Fish Species in Gujarat,economy-politics,2019-05-22,17:20,https://thewire.in/environment/industrial-corridors-swallow-hundreds-of-fish-species-in-gujarat
The Wire,Saudi Arabia's $44 Billion Refinery Plan in India Faces Farmer Opposition,economy-politics,2019-05-17,17:20,https://thewire.in/political-economy/saudi-arabias-44-billion-refinery-plan-in-india-faces-farmer-opposition
The Wire,Income Tax Dept Publicly Names 24 Defaulters Owing Rs 490 crore,economy-politics,2019-03-29,17:20,https://thewire.in/economy/income-tax-dept-publicly-names-24-defaulters-owing-rs-490-crore
The Wire,"GST Collection Falls to Rs 85,174 Crore in Feb as Only 69% File Returns",economy-politics,2019-03-27,17:20,https://thewire.in/economy/gst-collection-falls-to-rs-85174-crore-in-feb-as-only-69-file-returns
The Wire,"Between 2015 and 2018, More Than 12,000 Farmers Killed Themselves in Maharashtra",economy-politics,2019-06-22,17:20,https://thewire.in/agriculture/farmers-suicide-maharashtra-loan-waiver
The Wire,Small Study Examines How Cotton Farming Produced 'Toxic Landscape' in Telangana,economy-politics,2019-06-21,17:20,https://thewire.in/environment/small-study-examines-how-cotton-farming-produced-toxic-landscape-in-telangana
The Wire,"In a First, Possession of Banned Cotton Seed Lands Farmer in Police Custody",economy-politics,2019-06-20,17:20,https://thewire.in/agriculture/banned-cotton-seed-htbt-maharashtra-farmer-arrested
The Wire,Sugarcane Farmers Caught in a Complex Web of Negligence in Eastern UP,economy-politics,2019-06-20,17:20,https://thewire.in/agriculture/uttar-pradesh-farmers-sugarcane-negligence
The Wire,"Exclusive: Centre’s Crop Insurance Scheme Fails the Drought Test, 40% Claims Unpaid",economy-politics,2019-06-12,17:20,https://thewire.in/agriculture/pmfby-crop-insurance-claims-unpaid
The Wire,The Life of Labour: BSNL Lays off Contractual Workers; Kanpur Leather Industry Under Threat,economy-politics,2019-06-12,17:20,https://thewire.in/labour/the-life-of-labour-bsnl-lays-off-contractual-workers-kanpur-leather-industry-under-threat
The Wire,"Defying Ban, Farmers in Maharashtra Protest by Sowing Bt Cotton",economy-politics,2019-06-10,17:20,https://thewire.in/agriculture/defying-ban-farmers-maharashtra-protest-bt-cotton
The Wire,Fighting Soil Salinity: Land Shaping Techniques Benefit Sundarban Farmers,economy-politics,2019-06-10,17:20,https://thewire.in/agriculture/fighting-soil-salinity-land-shaping-interventions-benefit-sundarban-farmers
The Wire,"Maharashtra Farmers to Protest Ban on GM Crops, Plant Bt Cotton and Brinjal",economy-politics,2019-06-09,17:20,https://thewire.in/agriculture/maharashtra-farmers-to-protest-ban-on-gm-crops-plant-bt-cotton-and-brinjal
The Wire,Monsoon Arrives in Kerala After a Week's Delay,economy-politics,2019-06-09,17:20,https://thewire.in/environment/monsoon-arrives-in-kerala-after-a-weeks-delay
The Wire,How Seasonal Distress Migration Compromises Children's Education,economy-politics,2019-06-07,17:20,https://thewire.in/education/how-seasonal-distress-migration-compromises-childrens-education
The Wire,"The Life of Labour: Job Cut at Reliance Jio, Bonanza for ASHA Workers in Andhra",economy-politics,2019-06-05,17:20,https://thewire.in/labour/the-life-of-labour-major-job-cut-at-reliance-jio-bonanza-for-asha-workers-in-andhra
The Wire,Maharashtra Fodder Camp Owners Threaten to Shut Shop,economy-politics,2019-06-03,17:20,https://thewire.in/government/maharashtra-fodder-camp-owners-threaten-to-shut-shop-over-strict-govt-rules
The Wire,Short-Duration Crops Take a Hit as Water Crisis Strikes Tamil Nadu,economy-politics,2019-06-03,17:20,https://thewire.in/agriculture/short-duration-crops-take-a-hit-as-water-crisis-strikes-tamil-nadu
The Wire,India Needs Structural Changes to Maintain ‘Fastest Growing Economy’ Tag in the Long-Term,economy-politics,2019-06-02,17:20,https://thewire.in/economy/india-needs-structural-changes-to-maintain-fastest-growing-economy-tag-in-the-long-term
The Wire,"India Cuts Monsanto's GM Cottonseed Royalty by 24%, May Trigger Another Row",economy-politics,2019-03-13,17:20,https://thewire.in/agriculture/india-cuts-monsantos-gm-cottonseed-royalty-by-24-may-trigger-another-row
The Wire,Explained: Adani Gets Green Light to Start Digging Coal Mine in Queensland,economy-politics,2019-06-16,17:20,https://thewire.in/environment/adani-clearance-coal-mining-queensland
The Wire,Latest BP Energy Report Confirms World Is on an Unsustainable Path,economy-politics,2019-06-14,17:20,https://thewire.in/environment/british-petroleum-environment-energy-consumption-unsustainable
The Wire,Are Underground Electricity Cables Worth the Hype?,economy-politics,2019-06-08,17:20,https://thewire.in/energy/underground-electricity-cables-odisha-cyclone-fani
The Wire,India’s Growing Solar Power Programme Could Leave Behind a Trail of Waste,economy-politics,2019-05-14,17:20,https://thewire.in/environment/india-growing-solar-power-programme-waste
The Wire,The US Must Not Be Allowed to Strong-Arm India-Iran Ties,economy-politics,2019-05-01,17:20,https://thewire.in/world/india-us-iran-oil-import
The Wire,Saudi Arabia's Energy Minister Says No Need For Immediate Action After Iran Oil Waivers End,economy-politics,2019-04-24,17:20,https://thewire.in/world/saudi-arabias-iran-oil-output-waivers
The Wire,"Iran Oil Imports: With US Ending All Waivers, India Will Have to Brace for Headwinds",economy-politics,2019-04-22,17:20,https://thewire.in/trade/iran-oil-imports-us-waivers-india
The Wire,"Reliance 'Complying With US Sanctions on Venezuela', Cutting Down on Oil Trade",economy-politics,2019-03-23,17:20,https://thewire.in/trade/reliance-us-sanctions-venezuela-oil-trade
The Wire,US and India Agree to Build Six New Nuclear Power Plants in India,economy-politics,2019-03-14,17:20,https://thewire.in/energy/us-and-india-agree-to-build-six-new-nuclear-power-plants-in-india
The Wire,"Amid Rising Trade Tensions With US, India Wants to Extend Iran Oil Sanctions Waiver",economy-politics,2019-03-08,17:20,https://thewire.in/trade/amid-rising-trade-tensions-with-us-india-wants-to-extend-iran-oil-sanctions-waiver
The Wire,US Supreme Court Revives Gujrat Power Plant Lawsuit,economy-politics,2019-02-28,17:20,https://thewire.in/energy/us-supreme-court-revives-gujrat-power-plant-lawsuit
The Wire,Trump Selling Nuclear Technology to Saudi Arabia Is a New Moral Low,economy-politics,2019-02-26,17:20,https://thewire.in/world/trump-selling-nuclear-technology-to-saudi-arabia-is-a-new-moral-low
The Wire,Centre Allows Sale of 25% Coal From Captive Mines in Open Market,economy-politics,2019-02-20,17:20,https://thewire.in/energy/centre-allows-sale-of-25-coal-from-captive-mines-in-open-market
The Wire,Environmental Damage Could Have Offshore Wind Farms Clearance Cancelled,economy-politics,2019-02-20,17:20,https://thewire.in/environment/environmental-damage-could-have-offshore-wind-farms-clearance-cancelled
The Wire,Indian Oil Signs First Annual Deal for US Oil,economy-politics,2019-02-18,17:20,https://thewire.in/energy/indian-oil-signs-first-annual-deal-for-us-oil
The Wire,DRI Accuses Adani Group Firm of Impeding Over-Invoicing Probe in Bombay HC Affidavit: Report,economy-politics,2019-06-21,17:20,https://thewire.in/business/directorate-revenue-intelligence-adani-coal-imports-probe
The Wire,What Work Choices Are Indian Women Making and Why?,economy-politics,2019-06-07,17:20,https://thewire.in/women/indian-women-work-care-informal-sector
The Wire,Vox Media Websites Go Dark After Employees Stage Walkout Over Union Contract,economy-politics,2019-06-07,17:20,https://thewire.in/media/vox-media-union-employee-walkout
The Wire,Interview | Pronab Sen on Why 2017-18 Jobs Data Are Comparable With Previous Years,economy-politics,2019-06-06,17:20,https://thewire.in/labour/pronab-sen-nsso-unemployment-data
The Wire,US Authorities: H1B Visa Approvals Drop by 10% in 2018,economy-politics,2019-06-05,17:20,https://thewire.in/external-affairs/us-authorities-h1b-visa-approvals-drop-by-10-in-2018
The Wire,"The Life of Labour: Job Cut at Reliance Jio, Bonanza for ASHA Workers in Andhra",economy-politics,2019-06-05,17:20,https://thewire.in/labour/the-life-of-labour-major-job-cut-at-reliance-jio-bonanza-for-asha-workers-in-andhra
The Wire,"Troubling Unemployment Data, Leaked in January, Now Released Post-Elections",economy-politics,2019-05-31,17:20,https://thewire.in/economy/official-data-unemployment-2017-2018
The Wire,The Life of Labour: Agrarian Policies for NDA 2.0; Drought-Affected Farmers in Maharashtra,economy-politics,2019-05-29,17:20,https://thewire.in/labour/life-of-labour-nda-agrarian-policies-maharashtra
The Wire,Is 'Right to Work' More Important Than 'Minimum Income Guarantee'?,economy-politics,2019-05-27,17:20,https://thewire.in/labour/is-right-to-work-more-important-than-minimum-income-guarantee
The Wire,"Eight Years Since Conception, Gujarat's GIFT City Struggles to Create Employment",economy-politics,2019-05-24,17:20,https://thewire.in/labour/eight-years-since-conception-gujarats-gift-city-struggles-to-create-employment
The Wire,"The Life of Labour: Plight of Betel Farmers; Nexus Between Sugar Industry, Govt",economy-politics,2019-05-22,17:20,https://thewire.in/labour/life-of-labour-betel-farmers-sugarcane-industry
The Wire,In Photos | Why Varanasi's Weavers Are Worried About Their Business,economy-politics,2019-05-18,17:20,https://thewire.in/labour/varanasi-weavers-photos
The Wire,A Simmering Unemployment Crisis in India,economy-politics,2019-05-18,17:20,https://thewire.in/labour/unemployment-crisis-bjp-jobs
The Wire,Unravelling the Build Up to Bombay's Textile Mill Strike of 1982,economy-politics,2019-05-16,17:20,https://thewire.in/books/mumbai-textile-mill-workers-strike
The Wire,The Life of Labour: Maharashtra's Agrarian Crisis; Domestic Labourer Rescued,economy-politics,2019-05-15,17:20,https://thewire.in/labour/life-of-labour-maharashtra-agrarian-crisi-domestic-labour
The Wire,Thane: Three Labourers Die While Cleaning Sewage Treatment Plant,economy-politics,2019-05-10,17:20,https://thewire.in/labour/thane-three-labourers-die-while-cleaning-sewage-treatment-plant
The Wire,What Does the Periodic Labour Force Survey Tell Us?,economy-politics,2019-06-23,17:20,https://thewire.in/labour/periodic-labour-force-survey-data-employment
The Wire,The Life of Labour: Garment Factories Endanger Women's Health; Sex Workers Protest,economy-politics,2019-06-19,17:20,https://thewire.in/labour/the-life-of-labour-garment-factories-endanger-womens-health-sex-workers-protest
