Source,Heading,Category,Date,Time,URL
The Wire,BJD MLA Saroj Meher Arrested for Forcing PWD Engineer to Do Sit-Ups,politics,2019-06-24,17:21,https://thewire.in/rights/bjd-mla-balangir-engineer-patnagarh
The Wire,Viral Acharya had Warned of Economic Fires if Central Banks' Independence Was Compromised,politics,2019-06-24,17:21,https://thewire.in/banking/viral-acharya-rbi-deputy-governor-resignation
The Wire,"Mayawati Ends Alliance With SP, Says BSP to Contest Future Polls on its Own",politics,2019-06-24,17:21,https://thewire.in/politics/sp-bsp-alliance-mayawati-akhilesh-yadav
The Wire,The Centre's Exclusionist View of Conservation Is Increasingly Counterproductive,politics,2019-06-24,17:21,https://thewire.in/environment/centre-conservation-forest-rights-tribals
The Wire,"SC Seeks Responses of Centre, Bihar, UP Govts on Encephalitis Deaths",politics,2019-06-24,17:21,https://thewire.in/law/supreme-court-aes-deaths-government-response
The Wire,"Listen | Beyond the Headlines with Siddharth Varadarajan, Episode 1",politics,2019-06-24,17:21,https://thewire.in/women/listen-beyond-the-headlines-with-siddharth-varadarajan-episode-1
The Wire,DNA Profiling Bill Likely to Come up Before Cabinet Today,politics,2019-06-24,17:21,https://thewire.in/government/dna-profiling-bill-likely-to-come-up-before-cabinet-today
The Wire,"Posts for Mayawati's Brother, Nephew Year After BSP Chief Condemned 'Dynasty Politics'",politics,2019-06-24,17:21,https://thewire.in/politics/mayawati-akash-anand-kumar-bsp
The Wire,Watch | Here's Why the Triple Talaq Bill Does Nothing for the Rights of Women,politics,2019-06-24,17:21,https://thewire.in/video/triple-talaq-bill-muslim-womens-right
The Wire,"Two More AES deaths in Muzaffarpur, Toll Rises to 152",politics,2019-06-24,17:21,https://thewire.in/health/two-more-aes-deaths-in-muzaffarpur-toll-rises-to-152
The Wire,"Jharkhand: Man Dies Days After Being Attacked by Mob, Forced to Chant 'Jai Shri Ram'",politics,2019-06-24,17:21,https://thewire.in/rights/jharkhand-man-dies-days-after-being-attacked-by-mob-forced-to-chant-jai-shri-ram
The Wire,How the Centre Can Fulfil Its Economic Promises in the Next Five Years,politics,2019-06-24,17:21,https://thewire.in/political-economy/planning-economy-five-years-niti-aayog
The Wire,Modi Needs to Realise What’s Good for the US Is Not Good for India,politics,2019-06-24,17:21,https://thewire.in/diplomacy/narendra-modi-s-jaishankar-us-india
The Wire,Watch | Understanding Kashmir: Civil Initiatives for Dialogue and Peace,politics,2019-06-23,17:21,https://thewire.in/video/watch-understanding-kashmir-civil-initiatives-for-dialogue-and-peace
