Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Wire, Monsoon Arrives in Kerala After a Weeks Delay,economy-politics,2019-06-09,17:20,https://thewire.in/environment/monsoon-arrives-in-kerala-after-a-weeks-delay,0,0.18
The Wire, Troubling Unemployment Data Leaked in January Now Released Post Elections,economy-politics,2019-05-31,17:20,https://thewire.in/economy/official-data-unemployment-2017-2018,0,0.16
The Wire, Vox Media Websites Go Dark After Employees Stage Walkout Over Union Contract,economy-politics,2019-06-07,17:20,https://thewire.in/media/vox-media-union-employee-walkout,0,0.15
The Wire, Centre Allows Sale of 25 Coal From Captive Mines in Open Market,economy-politics,2019-02-20,17:20,https://thewire.in/energy/centre-allows-sale-of-25-coal-from-captive-mines-in-open-market,0,0.16
The Wire, The US Must Not Be Allowed to Strong Arm India Iran Ties,economy-politics,2019-05-01,17:20,https://thewire.in/world/india-us-iran-oil-import,0,0.16
The Wire, Are Underground Electricity Cables Worth the Hype,economy-politics,2019-06-08,17:20,https://thewire.in/energy/underground-electricity-cables-odisha-cyclone-fani,0,0.15
The Wire, The Life of Labour Job Cut at Reliance Jio Bonanza for ASHA Workers in Andhra,economy-politics,2019-06-05,17:20,https://thewire.in/labour/the-life-of-labour-major-job-cut-at-reliance-jio-bonanza-for-asha-workers-in-andhra,1,0.48
The Wire, The Life of Labour Maharashtras Agrarian Crisis Domestic Labourer Rescued,economy-politics,2019-05-15,17:20,https://thewire.in/labour/life-of-labour-maharashtra-agrarian-crisi-domestic-labour,1,0.3
The Wire, Reliance Complying With US Sanctions on Venezuela Cutting Down on Oil Trade,economy-politics,2019-03-23,17:20,https://thewire.in/trade/reliance-us-sanctions-venezuela-oil-trade,1,0.22
The Wire, The Life of Labour Garment Factories Endanger Womens Health Sex Workers Protest,economy-politics,2019-06-19,17:20,https://thewire.in/labour/the-life-of-labour-garment-factories-endanger-womens-health-sex-workers-protest,1,0.31
The Wire, Defying Ban Farmers in Maharashtra Protest by Sowing Bt Cotton,economy-politics,2019-06-10,17:20,https://thewire.in/agriculture/defying-ban-farmers-maharashtra-protest-bt-cotton,2,0.44
The Wire, Fighting Soil Salinity Land Shaping Techniques Benefit Sundarban Farmers,economy-politics,2019-06-10,17:20,https://thewire.in/agriculture/fighting-soil-salinity-land-shaping-interventions-benefit-sundarban-farmers,2,0.3
The Wire, Maharashtra Farmers to Protest Ban on GM Crops Plant Bt Cotton and Brinjal,economy-politics,2019-06-09,17:20,https://thewire.in/agriculture/maharashtra-farmers-to-protest-ban-on-gm-crops-plant-bt-cotton-and-brinjal,2,0.36
The Wire, In a First Possession of Banned Cotton Seed Lands Farmer in Police Custody,economy-politics,2019-06-20,17:20,https://thewire.in/agriculture/banned-cotton-seed-htbt-maharashtra-farmer-arrested,2,0.22
The Wire, Facebooks Cryptocurrency Plans if Realised Could Make it a Virtual Nation,economy-politics,2019-06-20,17:20,https://thewire.in/tech/facebooks-cryptocurrency-plans-if-realised-could-make-it-a-virtual-nation,3,0.25
The Wire, Is Right to Work More Important Than Minimum Income Guarantee,economy-politics,2019-05-27,17:20,https://thewire.in/labour/is-right-to-work-more-important-than-minimum-income-guarantee,3,0.27
The Wire, In Photos Why Varanasis Weavers Are Worried About Their Business,economy-politics,2019-05-18,17:20,https://thewire.in/labour/varanasi-weavers-photos,3,0.29
