Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Newsnation, YSR Congress to accept Lok Sabha Deputy Speakers post only if,politics,2019-06-24,17:20,https://www.newsnation.in/india-news/ysr-congress-to-accept-lok-sabha-deputy-speakers-post-only-if-article-228392.html,0,0.13
Times of India, Om Birla — From grassroots politician to Lok Sabha Speaker,politics,2019-06-19, 12:59:00,https://timesofindia.indiatimes.com/politics/news/om-birla-from-grassroots-politician-to-lok-sabha-speaker/articleshow/69853321.cms,0,0.1
Times of India, BJP offers Lok Sabha deputy speaker post to Jagan he asks for time,politics,2019-06-12, 11:36:00,https://timesofindia.indiatimes.com/politics/news/bjp-offers-lok-sabha-deputy-speaker-post-to-jagan-he-asks-for-time/articleshow/69748269.cms,0,0.08
Times of India, Amit Shah set to be at BJP helm at least till year end,politics,2019-06-14, 15:58:00,https://timesofindia.indiatimes.com/politics/news/amit-shah-set-to-be-at-bjp-helm-at-least-till-year-end/articleshow/69780229.cms,0,0.1
Times of India, Rajnath to be deputy leader of BJP in Lok Sabha,politics,2019-06-13, 06:38:00,https://timesofindia.indiatimes.com/politics/news/rajnath-to-be-deputy-leader-of-bjp-in-lok-sabha/articleshow/69764552.cms,0,0.08
Times of India, Rajasthan Congress leader alleges internal conspiracy for defeat in Lok Sabha polls,politics,2019-06-11, 17:42:00,https://timesofindia.indiatimes.com/politics/news/rajasthan-congress-leader-alleges-internal-conspiracy-for-defeat-in-lok-sabha-polls/articleshow/69742133.cms,0,0.07
Times of India, 10 parties extend support to Om Birlas candidature for Lok Sabha speaker Prahlad Joshi,politics,2019-06-18, 13:51:00,https://timesofindia.indiatimes.com/politics/news/10-parties-extend-support-to-om-birlas-candidature-for-lok-sabha-speaker/articleshow/69839010.cms,0,0.09
Newsnation, DNA Technology Regulation Bill likely to come up before Cabinet today,politics,2019-06-24,17:20,https://www.newsnation.in/india-news/dna-technology-regulation-bill-likely-to-come-up-before-cabinet-on-today-article-228423.html,0,0.09
Times of India, Lok Sabha election Narendra Modi Uddhav Thackeray to address rallies in Maharashtra ’ s Latur and Osmanabad today,politics,2019-06-24,17:20,https://www.firstpost.com/politics/lok-sabha-election-narendra-modi-uddhav-thackeray-to-address-rallies-in-maharashtra-latur-and-osmanabad-today-6412621.html,0,0.07
Newsnation, Amit Shah to table Jammu and Kashmir Reservation Amendment Bill in Lok Sabha today,politics,2019-06-24,17:20,https://www.newsnation.in/india-news/amit-shah-to-table-jammu-and-kashmir-reservation-amendment-bill-in-lok-sabha-today-his-first-after-taking-charge-of-home-ministry-article-228426.html,0,0.07
The Wire, DNA Profiling Bill Likely to Come up Before Cabinet Today,politics,2019-06-24,17:21,https://thewire.in/government/dna-profiling-bill-likely-to-come-up-before-cabinet-today,0,0.09
Times of India, Sunny Deol ’ s Lok Sabha poll expenditure crosses Rs 70 lakh limit Gurdaspur MP issued EC notice,politics,2019-06-24,17:20,https://www.firstpost.com/politics/sunny-deols-lok-sabha-poll-expenditure-crosses-rs-70-lakh-limit-gurdaspur-mp-issued-ec-notice-6848651.html,0,0.1
Times of India, Misa Bharti junks Rs 15 crore development schemes after Lok Sabha defeat,politics,2019-06-14, 07:02:00,https://timesofindia.indiatimes.com/politics/news/misa-junks-rs15-crore-development-schemes-after-ls-defeat/articleshow/69781044.cms,0,0.09
Times of India, BJP ally JD U will oppose triple talaq bill in Rajya Sabha,politics,2019-06-14, 08:12:00,https://timesofindia.indiatimes.com/politics/news/bjp-ally-jdu-will-oppose-triple-talaq-bill-in-rajya-sabha/articleshow/69780357.cms,0,0.08
Times of India, Lok Sabha Election 2019 Why investors want Narendra Modi back for another term rather than a fractured Congress led coalition,politics,2019-06-24,17:20,https://www.firstpost.com/business/lok-sabha-election-2019-why-investors-want-narendra-modi-back-for-another-term-rather-than-a-fractured-congress-led-coalition-6651461.html,0,0.1
The Wire, DNA Profiling Bill Likely to Come up Before Cabinet Today,politics,2019-06-24,17:21,https://thewire.in/government/dna-profiling-bill-likely-to-come-up-before-cabinet-today,0,0.09
The Wire, Sunjuwan Attack Triggers Communal Tension in Jammu,politics,2019-02-23,17:21,https://thewire.in/communalism/sunjuwan-attack-triggers-communal-tensions-in-jammu,0,0.1
The Wire, Centre Blocking Elevation of Justice Kureshi Who Once Sent Amit Shah to Custody,politics,2019-06-21,17:21,https://thewire.in/law/centres-refusal-to-elevate-justice-kureshi-raises-troubling-questions,0,0.06
Times of India, Lok Sabha poll fallout Congress considers naming interim president,politics,2019-06-11, 12:38:00,https://timesofindia.indiatimes.com/politics/news/congress-mulls-naming-interim-president/articleshow/69734301.cms,0,0.09
The Wire, Watch With Amit Shah as Home Minister Will Citizenship Be Used to Polarise India,politics,2019-06-04,17:21,https://thewire.in/communalism/watch-with-amit-shah-as-home-minister-will-citizenship-be-used-to-polarise-india,0,0.06
