Source,Heading,Category,Date,Time,URL
Times of India,Adhir Ranjan Chowdhury’s appointment as leader of Congress in Lok Sabha is sign of things to come,politics,2019-06-24,17:20,https://www.firstpost.com/politics/adhir-ranjan-chowdhurys-appointment-as-leader-of-congress-in-lok-sabha-is-sign-of-things-to-come-6867931.html
Times of India,"Non-Gandhi can be Congress chief, but family must remain active in party, says Mani Shankar Aiyar",politics,2019-06-24,17:20,https://www.firstpost.com/politics/non-gandhi-can-be-congress-chief-but-family-must-remain-active-in-party-says-mani-shankar-aiyar-6868151.html
Times of India,"HD Deve Gowda's empty threat of midterm polls scares Karnataka parties, but that's what the state needs now",politics,2019-06-24,17:20,https://www.firstpost.com/politics/hd-deve-gowdas-empty-threat-of-midterm-polls-scares-karnataka-parties-but-thats-what-the-state-needs-now-6867581.html
Times of India,"Monsoon Session of Parliament: Bill to ensure quotas for people living along International Border in J&K introduced in LS
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/monsoon-session-of-parliament-bill-to-ensure-quotas-for-people-living-along-international-border-in-jk-introduced-in-ls-6871281.html
Times of India,"Mayawati ends alliance with Akhilesh Yadav's Samajwadi Party; SP leader Ramashankar Vidyarthi says BSP chief 'weakening fight'
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/mayawati-ends-alliance-with-akhilesh-yadavs-samajwadi-party-sp-leader-ramashankar-vidyarthi-says-bsp-chief-weakening-fight-6869711.html
Times of India,"Kolkata mayor accuses BJP of acting like ‘terrorist organisation’; saffron party claims TMC trying to turn West Bengal into Pakistan
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/kolkata-mayor-accuses-bjp-of-acting-like-terrorist-organisation-saffron-party-claims-tmc-trying-to-turn-west-bengal-into-pakistan-6869211.html
Times of India,"44th anniversary of Emergency: How letters of love between Madhu and Pramila Dandavate in jail defied odds of authoritarian rule
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/44th-anniversary-of-emergency-how-letters-of-love-between-madhu-and-pramila-dandavate-in-jail-defied-odds-of-authoritarian-rule-6868681.html
Times of India,"Congress’ Randeep Surjewala slams Yogi Adityanath govt over killing of Dalit girl in UP's Unnao; deplores 'jungle rule' in state
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/india/congress-randeep-surjewala-slams-yogi-adityanath-govt-over-killing-of-dalit-girl-in-ups-unnao-deplores-jungle-rule-in-state-6867381.html
Times of India,"Mayawati appoints brother Anand Kumar BSP national vice-president; nephew Akash Anand is party coordinator
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/mayawati-appoints-brother-nephew-to-key-bsp-posts-decision-taken-at-meet-attended-by-top-party-members-6867431.html
Times of India,"BS Yeddyurappa asks Congress-JD(S) coalition to quit if it can't govern Karnataka, says people won't accept mid-term polls
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/bs-yeddyurappa-asks-congress-jds-coalition-to-quit-if-it-cant-govern-karnataka-says-people-wont-accept-mid-term-polls-6867211.html
Times of India,"Smriti Irani to build her own house in Amethi's Gauriganj, says it will make her more accessible to local residents
                                        ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/smriti-irani-to-build-her-own-house-in-amethis-gauriganj-says-it-will-make-her-more-accessible-to-local-residents-6866901.html
Times of India,"MK Stalin accuses Centre of 'discreetly' helping Karnataka to construct dam across Cauvery river at Mekedatu
                                                    ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/mk-stalin-accuses-centre-of-discreetly-helping-karnataka-to-construct-dam-across-cauvery-river-at-mekedatu-6871491.html
Times of India,MK Stalin accuses Centre of 'discreetly' helping Karnataka to construct dam across Cauvery river at Mekedatu,politics,2019-06-24,17:20,https://www.firstpost.com/politics/mk-stalin-accuses-centre-of-discreetly-helping-karnataka-to-construct-dam-across-cauvery-river-at-mekedatu-6871491.html
Times of India,"HD Deve Gowda's empty threat of midterm polls scares Karnataka parties, but that's what the state needs now",politics,2019-06-24,17:20,https://www.firstpost.com/politics/hd-deve-gowdas-empty-threat-of-midterm-polls-scares-karnataka-parties-but-thats-what-the-state-needs-now-6867581.html
Times of India,"Firstpost Editor's Picks: US-Iran tensions, Deve Gowda's threat to Karnataka parties, Miyah poetry; today's must-read stories",politics,2019-06-24,17:20,https://www.firstpost.com/india/firstpost-editors-picks-us-iran-tension-deve-gowdas-threat-to-karnataka-parties-miyah-poetry-todays-must-read-stories-6867881.html
Times of India,"BS Yeddyurappa asks Congress-JD(S) coalition to quit if it can't govern Karnataka, says people won't accept mid-term polls",politics,2019-06-24,17:20,https://www.firstpost.com/politics/bs-yeddyurappa-asks-congress-jds-coalition-to-quit-if-it-cant-govern-karnataka-says-people-wont-accept-mid-term-polls-6867211.html
Times of India,"Veerappa Moily hits out at HD Kumaraswamy, says lack of ministers' interest in working on ground led to election defeat in Karnataka",politics,2019-06-24,17:20,https://www.firstpost.com/politics/veerappa-moily-hits-out-at-hd-kumaraswamy-says-lack-of-ministers-interest-in-working-on-ground-led-to-election-defeat-in-karnataka-6865621.html
Times of India,"Parliament LIVE updates: JP Nadda asks Opposition to shed 'arrogance'; Ghulam Nabi Azad says ready to sit out but won't take to 'BJP's ways'
                                                    ",politics,2019-06-24,17:20,https://www.firstpost.com/politics/parliament-live-updates-jp-nadda-asks-opposition-to-shed-arrogance-ghulam-nabi-azad-says-ready-to-sit-out-but-wont-take-to-bjps-ways-6868961.html
Times of India,Parliament LIVE updates: JP Nadda asks Opposition to shed 'arrogance'; Ghulam Nabi Azad says ready to sit out but won't take to 'BJP's ways',politics,2019-06-24,17:20,https://www.firstpost.com/politics/parliament-live-updates-jp-nadda-asks-opposition-to-shed-arrogance-ghulam-nabi-azad-says-ready-to-sit-out-but-wont-take-to-bjps-ways-6868961.html
Times of India,CJI Ranjan Gogoi writes to PM for removal for Allhabad HC judge: Case reveals rot in judiciary; mere touch-up won't cure epidemic,politics,2019-06-24,17:20,https://www.firstpost.com/india/cji-ranjan-gogoi-writes-to-pm-for-removal-for-allhabad-hc-judge-case-reveals-rot-in-judiciary-mere-touch-up-wont-cure-epidemic-6871581.html
