Newspaper,Heading,Date,Time,URL
India Today, No regrets about 2007 World T20 final scoop shot: Misbah-ul-Haq,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-no-regrets-about-2007-world-t20-final-scoop-shot-misbah-1540957-2019-06-02
India Today," Salaam Cricket 2019: India's bowling attack better than Pakistan, says Younis Khan",2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-inida-1540960-2019-06-02
India Today," Salaam Cricket 2019: Harbhajan, Misbah talk about Indo-Pak battle in World Cup 2019",2019-06-02,20:40,https://www.indiatoday.in/sports/photo/salaam-cricket-2019-harbhajan-misbah-talk-about-indo-pak-battle-in-world-cup-2019-1540959-2019-06-02
India Today, Virat Kohli’s hunger to perform great positive for India at World Cup 2019: Misbah-ul-Haq,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/virat-kohli-hunger-to-perform-great-positive-for-india-at-world-cup-2019-misbah-ul-haq-1540928-2019-06-02
India Today, Salaam Cricket 2019: R Ashwin predicts India vs England World Cup 2019 final,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-r-ashwin-predicts-india-vs-england-final-1540944-2019-06-02
India Today, It is a real honour to be here: Ranveer Singh at Salaam Cricket 2019,2019-06-02,20:40,https://www.indiatoday.in/sports/video/salaam-cricket-2019-ranveer-singh-harbhajan-singh-kapil-dev-1540937-2019-06-02
India Today, Salaam Cricket 2019: Michael Clarke and Nasser Hussain reminiscing old memories,2019-06-02,20:40,https://www.indiatoday.in/sports/photo/salaam-cricket-2019-michael-clarke-and-nasser-hussain-reminiscing-old-memories-1540923-2019-06-02
India Today, Salaam Cricket 2019: When Shoaib Akhtar asked Harbhajan for World Cup 2011 final tickets,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-shoaib-akhtar-asked-harbhajan-world-cup-final-tickets-1540890-2019-06-02
India Today," Salaam Cricket 2019 Live: Sachin Tendulkar, Wasim Akram relive their golden days",2019-06-02,20:40,https://www.indiatoday.in/sports/story/salaam-cricket-2019-live-updates-india-today-sachin-warne-akram-gavaskar-lords-cricket-ground-1540678-2019-06-02
India Today," Sourav Ganguly changed India into a ruthless ODI team, says Nasser Hussain",2019-06-02,20:40,https://www.indiatoday.in/sports/story/salaam-cricket-2019-nasser-hussain-michael-clarke-sourav-ganguly-virat-kohli-india-1540909-2019-06-02
India Today, Salaam Cricket 2019: Warne refuses to pick himself in his dream World Cup XI,2019-06-02,20:40,https://www.indiatoday.in/sports/video/salaam-cricket-2019-warne-refuses-to-pick-himself-in-his-dream-world-cup-xi-1540904-2019-06-02
India Today," Salaam Cricket 2019: Gavaskar clarifies 1983 US tour plan, Warne picks his favourites, and more",2019-06-02,20:40,https://www.indiatoday.in/sports/video/salaam-cricket-2019-gavaskar-clarifies-1983-us-tour-plan-warne-picks-his-favourites-and-more-1540869-2019-06-02
India Today," India will be under pressure, Pakistan have nothing to lose in World Cup: Harbhajan Singh",2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/india-will-be-under-pressure-pakistan-have-nothing-to-lose-in-world-cup-harbhajan-1540854-2019-06-02
India Today," Salaam Cricket 2019: Shane Warne, Sunil Gavaskar discuss World Cup 2019",2019-06-02,20:40,https://www.indiatoday.in/sports/photo/salaam-cricket-2019-shane-warne-sunil-gavaskar-discuss-world-cup-2019-1540851-2019-06-02
India Today," Salaam Cricket 2019: Pakistan do not have the talent to beat India in World Cup 2019, says Harbhajan ",2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-pakistan-do-not-have-the-talent-to-beat-india-world-cup-2019-1540842-2019-06-02
India Today, Salaam Cricket 2019: Shane Warne picks his dream World Cup XI,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/shane-warne-cricket-world-cup-2019-all-time-xi-salaam-cricket-2019-1540824-2019-06-02
India Today," Salaam Cricket 2019: Kapil Dev greatest Indian cricketer ever, says Sunil Gavaskar",2019-06-02,20:40,https://www.indiatoday.in/sports/story/salaam-cricket-2019-kapil-dev-greatest-indian-cricketer-ever-says-sunil-gavaskar-1540820-2019-06-02
India Today,"      Salaam Cricket 2019: Full guest list, session names and timing ",2019-06-02,20:40,https://www.indiatoday.in/sports/story/salaam-cricket-2019-full-guest-list-session-names-and-timing-sachin-wasim-warne-viv-richards-1540254-2019-06-01
India Today,      Rohit Sharma and Shikhar Dhawan reveal the funniest sledges by Indian players ,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket/story/cricket-india-rohit-sharma-shikhar-dhawan-breakfast-with-champions-ajinkya-rahane-dhawal-kulkarni-1540125-2019-06-01
India Today,"      NZ vs SL Highlights, ICC World Cup 2019: NZ beat SL by 10 wickets ",2019-06-02,20:40,https://www.indiatoday.in/sports/story/new-zealand-vs-sri-lanka-live-cricket-score-icc-world-cup-2019-nz-sl-1540115-2019-06-01
India Today,      Former first-class players request BCCI to revise their pension ,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket/story/bcci-asked-to-raise-pension-for-sanjay-jagdale-ashu-dani-vinay-limba-first-class-cricket-1539422-2019-05-31
