Newspaper,Heading,Date,Time,URL
Time of India,"cricketSA v BAN Live: Markram, Faf rebuild SA chase",2019-06-02, 20:26:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-cricket-world-cup-south-africa-vs-bangladesh-live-cricket-score-updates-2019-cricket-world-cup-live-score-online/articleshow/69618997.cms
Time of India,cricketNo one in team takes my bowling seriously but I do: Kohli,2019-06-02, 20:24:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/no-one-in-team-takes-my-bowling-seriously-but-i-do-jokes-virat-kohli/articleshow/69622840.cms
Time of India,tennisRoger Federer eases into 12th French Open quarter-final,2019-06-02, 19:39:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/roger-federer-eases-into-12th-french-open-quarter-final/articleshow/69622178.cms
Time of India,Virat Kohli & Co hit the gym ahead of South Africa clash,2019-06-02, 19:32:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-2019-virat-kohli-co-hit-the-gym-ahead-of-south-africa-clash/articleshow/69622176.cms
Time of India,World Cup 2019: Hashim Amla could be fit for India clash,2019-06-02, 16:36:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/world-cup-2019-hashim-amla-could-be-fit-for-india-clash/articleshow/69620476.cms
Time of India,World Cup Live Blog: South Africa vs Bangladesh,2019-06-02, 19:59:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/live-blog/live-cricket-score-south-africa-vs-bangladesh-icc-world-cup-2019/liveblog/69619224.cms
Time of India,"Jadhav does full-fledged nets, no word on playing SA game yet",2019-06-02, 20:04:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/2019-cricket-world-cup-kedar-jadhav-does-full-fledged-nets-no-word-on-playing-sa-game-yet/articleshow/69622681.cms
Time of India,Vondrousova humiliates Sevastova to reach French Open last eight,2019-06-02, 17:32:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/vondrousova-humiliates-sevastova-to-reach-french-open-last-eight/articleshow/69620327.cms
Time of India,World Cup format gives us lots of chances to enter semis: Jeevan Mendis,2019-06-02, 19:43:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/world-cup-format-gives-us-lots-of-chances-to-get-five-wins-to-enter-semis-jeevan-mendis/articleshow/69622388.cms
Time of India,Rohan Bopanna bows out of French Open men's doubles,2019-06-02, 18:08:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/rohan-bopanna-bows-out-of-french-open-mens-doubles/articleshow/69621460.cms
Time of India,Italian Danilo Petrucci takes first MotoGP win at Mugello,2019-06-02, 19:17:00,https://timesofindia.indiatimes.com/sports/racing/top-stories/italian-danilo-petrucci-takes-first-motogp-win-at-mugello/articleshow/69621932.cms
