Newspaper,Heading,Category,Date,Time,URL
India Today," Don't know what is happening with Dhoni gloves controversy, says Rohit SharmaWorld Cup 2019: India vice captain Rohit Sharma said he is unaware of the
controversy around MS Dhoni's gloves and people would see it on Sunday if the
Indian wicket-keeper wears the same gloves against Australia.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-ms-dhoni-gloves-controversy-rohit-sharma-australia-game-june-9-1545085-2019-06-08
India Today," England set new ODI record after posting their highest World Cup totalEngland posted 386/6 against Bangladesh in Taunton in their 3rd match of the
World Cup 2019 thus crossing the 300-run mark for a 7th time in succession",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-england-vs-bangladesh-odi-record-300-total-1545084-2019-06-08
India Today," No player will think of what MS Dhoni is sporting on his gloves on Sunday: Harbhajan SinghWorld Cup 2019: Off-spinner Harbhajan Singh said the Indian team will not be
affected by the controversy around MS Dhoni's gloves when they take on
Australia in their next game on Sunday.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-harbhajan-singh-ms-dhoni-gloves-1545081-2019-06-08
India Today," World Cup 2019: Can’t pick favourites for India-Australia clash, says Sunil GavaskarIndia, who were knocked out of the 2015 World Cup by Australia, take on the
defending champions in one of the most-anticipated World Cup 2019 clashes at
The Oval on Sunday.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/india-vs-australia-cricket-world-cup-2019-icc-predictions-sunil-gavaskar-harbhajan-singh-exclusives-1545052-2019-06-08
India Today," World Cup 2019: Net bowler hospitalised after getting hit on head by Warner shotAhead of their clash with India, Australia's practice session was halted
after a net bowler of Indian origin was injured off a David Warner shot.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-australia-practice-seeion-1545021-2019-06-08
India Today," World Cup 2019: Jason Roy hits 9th hundred and knocks down umpire Joel WilsonJason Roy smashed a hundred off 92 balls to lay a solid platform for England
in their third match of the World Cup 2019 against Bangladesh in Cardiff on
Saturday.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-england-vs-bangladesh-jason-roy-century-1544978-2019-06-08
India Today," World Cup 2019: Virat Kohli's school sending soil to London as blessing As India captain Virat Kohli looks to win his first World Cup as a captain,
his alma mater found a unique way to express their support by sending soil
from the Indian batsman’s school's ground.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/world-cup-2019-virat-kohli-kapil-dev-m-s-dhoni-vishal-bharti-public-school-1544967-2019-06-08
India Today," Afghanistan vs New Zealand, World Cup 2019 Match 13: Prediction and Probable Playing 11Afghanistan vs New Zealand playing 11: Taunton Cricket Ground will be
returning to international cricket as it hosts its first ODI since 1999 with
Afghanistan taking on New Zealand on June 8. Here's all that you need to know
about the pitch and weather conditions in Taunton and the team news.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-afghanistan-vs-new-zealand-prediction-probable-xi-1544955-2019-06-08
India Today," Afghanistan vs New Zealand Live Score, World Cup 2019: Neesham's 5 wickets leave AFG reeling",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/story/afghanistan-vs-new-zealand-live-cricket-score-icc-world-cup-2019-afg-vs-nz-updates-1544941-2019-06-08
India Today," World Cup 2019: Nathan Coulter-Nile not sure of playing against India despite 92 vs WIAfter scoring 92 in just 60 balls which decided Australia's win against West
Indies, all-rounder Nathan Coulter-Nile says that it is good to have
competition among spots. However, he isn't very sure of himself for the
upcoming match between Australia and India.",news,2019-06-08,21:37:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-world-cup-2019-nathan-coulter-nile-west-indies-vs-australia-1544852-2019-06-08
