Newspaper,Heading,Category,Date,Time,URL
Hindiustan Times,Sachin Tendulkar has a special message for Yuvraj Singh,cricket,2019-06-10,18:42:00,https://www.hindustantimes.com/cricket/sachin-tendulkar-has-a-special-message-for-yuvraj-singh/story-KYlq1twdM2XNBHV8wzT3OO.html
Hindiustan Times,Yuvraj Singh announces retirement from all forms of International cricket,cricket,2019-06-10,17:23:00,https://www.hindustantimes.com/cricket/yuvraj-singh-announces-retirement-from-all-forms-of-international-cricket/story-7EbysHMlIgWPt06q8sNCfP.html
Hindiustan Times,ICC World Cup 2019: Afghanistan Cricket Board ‘conspired’ against me - Mohammad Shahzad,cricket,2019-06-10,18:27:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-afghanistan-cricket-board-conspired-against-me-mohammad-shahzad/story-fhe1KweaoQ5vpYt6vFr7BK.html
Hindiustan Times,ICC World Cup 2019: Faf Du Plessis hopes AB De Villiers row sparks South Africa,cricket,2019-06-10,23:40:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-faf-du-plessis-hopes-ab-de-villiers-row-sparks-south-africa/story-O2fEr9fyhMW1F7aqqcvUxJ.html
Hindiustan Times,ICC World Cup 2019: A gesture to talk about amid the boos,cricket,2019-06-10,23:07:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-a-gesture-to-talk-about-amid-the-boos/story-Ej0Ac2EQurQUgjefUpGEQK.html
Hindiustan Times,Australia still ICC World Cup contenders after India loss insists Steve Waugh,cricket,2019-06-10,22:38:00,https://www.hindustantimes.com/cricket/australia-still-icc-world-cup-contenders-after-india-loss-insists-steve-waugh/story-WEM45cl3IU8hcNDdUu2XgN.html
Hindiustan Times,ICC World Cup 2019: Shikhar Dhawan to undergo scans on his swollen thumb,cricket,2019-06-10,22:15:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-shikhar-dhawan-to-undergo-scans-on-his-swollen-thumb/story-QbbxDXAxnAtLmu0ITXQHQI.html
Hindiustan Times,ICC World Cup 2019: Washout could leave South Africa World Cup hopes down the drain,cricket,2019-06-10,23:26:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-washout-could-leave-south-africa-world-cup-hopes-down-the-drain/story-KAz3NbRXmq5PxbMWpmbsPK.html
Hindiustan Times,ICC World Cup 2019: The town where ‘Bodyline’ bowler Harold Larwood learnt to bowl,cricket,2019-06-10,22:32:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-the-town-where-bodyline-bowler-harold-larwood-learnt-to-bowl/story-ycX5EwAlw2LXAjvmR1GRkL.html
Hindiustan Times,ICC World Cup 2019: Stubborn bails leave bowlers stumped at World Cup,cricket,2019-06-10,21:21:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-stubborn-bails-leave-bowlers-stumped-at-world-cup/story-SEtaySuK2r0lIlm8CKhPMM.html
Hindiustan Times,Prince of Indian cricket Yuvraj Singh bids farewell,cricket,2019-06-10,21:05:00,https://www.hindustantimes.com/cricket/prince-of-indian-cricket-yuvraj-singh-bids-farewell/story-YdssaUH2dUAIJhXe89jALO.html
Hindiustan Times,ICC World Cup 2019: England sweat on Jos Buttler’s fitness ahead of West Indies clash,cricket,2019-06-10,20:21:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-england-sweat-on-jos-buttler-s-fitness-ahead-of-west-indies-clash/story-lSXmIPXImYqhtvZJc7XhkN.html
Hindiustan Times,Stuart Broad bids adieu to Yuvraj Singh with special throwback picture,cricket,2019-06-10,19:38:00,https://www.hindustantimes.com/cricket/stuart-broad-bids-adieu-to-yuvraj-singh-with-special-throwback-picture/story-3HlkPQhJ2aVDXdLzqBBmsL.html
Hindiustan Times,ICC World Cup 2019: Former opening batsman picks this player as key figure for India,cricket,2019-06-10,18:55:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-former-opening-batsman-picks-this-player-as-key-figure-for-india/story-vUGgPjPwZDz1ox4SQTHMeL.html
Hindiustan Times,Sachin Tendulkar has a special message for Yuvraj Singh,cricket,2019-06-10,18:42:00,https://www.hindustantimes.com/cricket/sachin-tendulkar-has-a-special-message-for-yuvraj-singh/story-KYlq1twdM2XNBHV8wzT3OO.html
Hindiustan Times,ICC World Cup 2019: Afghanistan Cricket Board ‘conspired’ against me - Mohammad Shahzad,cricket,2019-06-10,18:27:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-afghanistan-cricket-board-conspired-against-me-mohammad-shahzad/story-fhe1KweaoQ5vpYt6vFr7BK.html
Hindiustan Times,"Bangladesh vs Sri Lanka World Cup 2019: When, where and how to watch live streaming of Cricket World Cup on TV and online",cricket,2019-06-10,18:13:00,https://www.hindustantimes.com/cricket/bangladesh-vs-sri-lanka-world-cup-2019-when-where-and-how-to-watch-live-streaming-of-cricket-world-cup-on-tv-and-online/story-WwCQFSkOelT8cyMCYKLLfL.html
Hindiustan Times,Yuvraj Singh retires: A look at his legendary career in numbers,cricket,2019-06-10,18:25:00,https://www.hindustantimes.com/cricket/yuvraj-singh-retires-a-look-at-legendary-career-in-numbers/story-xnj4y12MeN6GgQw1Jc6v6N.html
Hindiustan Times,"ICC World Cup 2019: Bangladesh vs Sri Lanka: Top five player battles - Lasith Malinga, Shakib Al Hasan in action",cricket,2019-06-10,18:40:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-bangladesh-vs-sri-lanka-top-five-player-battles-lasith-malinga-shakib-al-hasan-in-action/story-maX4kgyzSkOe4HGUDx1kgN.html
Hindiustan Times,Yuvraj Singh likely to get BCCI’s approval for participation in overseas T20 leagues,cricket,2019-06-10,17:44:00,https://www.hindustantimes.com/cricket/yuvraj-singh-likely-to-get-bcci-s-approval-for-participation-in-overseas-t20-leagues/story-TVNikU88t7P03vaAAvAE5K.html
Hindiustan Times,"ICC World Cup 2019, Bangladesh vs Sri Lanka: Bangladesh Predicted XI against Sri Lanka – Tough call for Mashrafe Mortaza",cricket,2019-06-10,18:32:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-bangladesh-vs-sri-lanka-bangladesh-predicted-xi-against-sri-lanka-tough-call-for-mashrafe-mortaza/story-zt7T8hQ4ubjvlxVkCpknwO.html
Hindiustan Times,"Bangladesh vs Sri Lanka, ICC World Cup 2019: Sri Lanka predicted XI against Bangladesh - Injured Nuwan Pradeep to sit out",cricket,2019-06-10,17:22:00,https://www.hindustantimes.com/cricket/bangladesh-vs-sri-lanka-icc-world-cup-2019-sri-lanka-predicted-xi-against-bangladesh-injured-nuwan-pradeep-to-sit-out/story-1xJxkQMThT2GMrzrYYSSZP.html
Hindiustan Times,Was promised a farewell game if I failed ‘Yo-Yo’ Test but I passed: Yuvraj Singh,cricket,2019-06-10,17:21:00,https://www.hindustantimes.com/cricket/was-promised-a-farewell-game-if-i-failed-yo-yo-test-but-i-passed-yuvraj-singh/story-96vrYPpN4d7dXnaiGj8F8K.html
Hindiustan Times,"‘Best white ball cricketer India had’: Virat Kohli, Gautam Gambhir lead wishes as cricket fraternity pays tribute to Yuvraj Singh",cricket,2019-06-10,17:21:00,https://www.hindustantimes.com/cricket/best-white-ball-cricketer-india-had-virat-kohli-gautam-gambhir-lead-wishes-as-cricket-fraternity-pays-tribute-to-yuvraj-singh/story-hBUwClFxqE9RPwUdL9ziHP.html
Hindiustan Times,Yuvraj Singh reveals future plans: ‘Can manage some fun cricket at this age’,cricket,2019-06-10,17:21:00,https://www.hindustantimes.com/cricket/yuvraj-singh-reveals-future-plans-can-manage-some-fun-cricket-at-this-age/story-Hks88TeMdPJkAZvnJcRw6M.html
Hindiustan Times,Yuvraj Singh retires: A look at top five moments of historic career,cricket,2019-06-10,17:22:00,https://www.hindustantimes.com/cricket/yuvraj-singh-retires-a-look-at-top-five-moments-of-historic-career/story-H86rpUHZRv5DGXyvgeKPSO.html
Hindiustan Times,Yuvraj Singh retires: Twitter salutes champion as he decides to move on,cricket,2019-06-10,17:22:00,https://www.hindustantimes.com/cricket/yuvraj-singh-retires-twitter-salutes-champion-as-he-decides-to-move-on/story-9dnOqVWnvZjr1QRd0kcVMO.html
Hindiustan Times,Yuvraj Singh announces retirement from all forms of International cricket,cricket,2019-06-10,17:23:00,https://www.hindustantimes.com/cricket/yuvraj-singh-announces-retirement-from-all-forms-of-international-cricket/story-7EbysHMlIgWPt06q8sNCfP.html
Hindiustan Times,"ICC World Cup 2019: David Warner was under pressure due to India’s quality bowling, says Aaron Finch",cricket,2019-06-10,14:44:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-david-warner-was-under-pressure-due-to-india-s-quality-bowling-says-aaron-finch/story-7MraLKWfWcS0gavBjPJOvK.html
Hindiustan Times,ICC World Cup 2019: West Indies ‘just another game’ for England’s Jofra Archer,cricket,2019-06-10,14:44:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-west-indies-just-another-game-for-england-s-jofra-archer/story-fCpaks5cnsAMlBUXZqwzcK.html
Hindiustan Times,"South Africa vs West Indies Highlights, ICC World Cup 2019: Match abandoned due to rain",cricket,2019-06-10,21:00:00,https://www.hindustantimes.com/cricket/south-africa-vs-west-indies-icc-cricket-world-cup-2019-live-score-at-southampton/story-pNCDjkkZ1EaAlHCyreWfYM.html
Hindiustan Times,"ICC World Cup 2019: India game ‘massive’ but NZ can afford some luxuries after three wins, says Daniel Vettori",cricket,2019-06-10,12:43:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-game-massive-but-nz-can-afford-some-luxuries-after-three-wins-says-daniel-vettori/story-nCfwxEJGTQBUYImsEja8BN.html
Hindiustan Times,ICC World Cup 2019: Bangladesh seek resurgence against inconsistent Sri Lanka,cricket,2019-06-10,12:39:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-bangladesh-seek-resurgence-against-inconsistent-sri-lanka/story-9RbTOrJPrLUXxgY4j7iJFJ.html
Hindiustan Times,"ICC World Cup 2019: Bhuvneshwar Kumar  explains how India planned for David Warner, Steve Smith",cricket,2019-06-10,12:33:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-bhuvneshwar-kumar-explains-how-india-planned-for-david-warner-steve-smith/story-JhOSCFx0aN3aWvudgJQYmN.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Sachin Tendulkar identifies moment which hurt Australia ‘big time’",cricket,2019-06-10,12:26:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-sachin-tendulkar-identifies-moment-which-hurt-australia-big-time/story-NXwKKczHVjwP0ms4bHNEUM.html
Hindiustan Times,ICC World Cup 2019: Virat Kohli left stunned by MS Dhoni’s six off Mitchell Starc - watch video,cricket,2019-06-10,13:31:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-virat-kohli-left-stunned-by-ms-dhoni-s-six-off-mitchell-starc-watch-video/story-9hHFKTCXSw8KTate0TqOtI.html
Hindiustan Times,"ICC World Cup 2019, South Africa vs West Indies: Top five player battles - Kagiso Rabada threat looms on Windies",cricket,2019-06-10,12:26:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-south-africa-vs-west-indies-top-five-player-battles-kagiso-rabada-threat-looms-on-windies/story-DCIu4aAIUCj6UTVOd8gPPJ.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Aaron Finch dismisses ball-tampering claims on Adam Zampa, says leggie used hand-warmer",cricket,2019-06-10,18:51:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-aaron-finch-dismisses-ball-tampering-claims-on-adam-zampa-says-leggie-used-hand-warmer/story-17Aq6J5fdOUMzIVTC3cGqL.html
Hindiustan Times,ICC World Cup 2019: India end Australia’s World Cup streak - and other stats,cricket,2019-06-10,10:26:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-end-australia-s-world-cup-streak-and-other-stats/story-zCo2Hl8q0ZBIPg40W19MdN.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Clinical India beat Australia by 36 runs - Watch highlights of the match",cricket,2019-06-10,10:08:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-clinical-india-beat-australia-by-36-runs-watch-highlights-of-the-match/story-51iRYJmRMz28Jj7LSCiYNP.html
Hindiustan Times,"ICC World Cup 2019 updated points table, leading run-scorers, wicket-takers",cricket,2019-06-10,10:08:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-updated-points-table-leading-run-scorers-wicket-takers/story-tJr7qnyahwMOsffUgNe0tO.html
Hindiustan Times,"ICC Cricket World Cup 2019, India vs Australia: Virat Kohli unhappy with ‘zing’ bails after David Warner reprieve",cricket,2019-06-10,09:46:00,https://www.hindustantimes.com/cricket/icc-cricket-world-cup-2019-india-vs-australia-virat-kohli-unhappy-with-zing-bails-after-david-warner-reprieve/story-hDrd3rlTvkHMBm2mcD30oL.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Good bowling, not game plan, is slowing Warner down - Aaron Finch",cricket,2019-06-10,09:46:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-good-bowling-not-game-plan-is-slowing-warner-down-aaron-finch/story-dtP0Zy4b9bgbnruI9YPoUP.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Virat Kohli reacts after India’s clinical win, says team had a point to prove",cricket,2019-06-10,08:59:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-virat-kohli-reacts-after-india-s-clinical-win-says-team-had-a-point-to-prove/story-3GxqftqTK0Wet4w6tGLv3M.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Virat Kohli asks crowd not to boo Steve Smith, apologises for behaviour - Watch",cricket,2019-06-10,12:37:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-virat-kohli-asks-crowd-not-to-boo-steve-smith-apologises-for-behaviour-watch/story-xnvEb8gSjfnJHAUocxhFEI.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Virat Kohli praises ‘professional’ performance after 36-run win over Australia",cricket,2019-06-10,08:25:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-virat-kohli-praises-professional-performance-after-36-run-win-over-australia/story-BEEWA9elQvxk23mNp6jW6J.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: India flex batting muscle, breeze past Australia in high-scoring encounter",cricket,2019-06-10,09:47:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-shikhar-dhawan-bhuvneshwar-kumar-star-as-india-defeat-australia-by-36-runs/story-pjuC3wVWKSmUDxI4zkXIOM.html
Hindiustan Times,Yuvraj Singh may bring down curtains on his career,cricket,2019-06-09,23:58:00,https://www.hindustantimes.com/cricket/yuvraj-singh-may-bring-down-curtains-on-his-career/story-tty8YuflE7RPZlD7HahTlM.html
Hindiustan Times,ICC World Cup 2019: Sri Lanka fast bowler Nuwan Pradeep to miss Bangladesh game,cricket,2019-06-09,21:24:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-sri-lanka-fast-bowler-nuwan-pradeep-to-miss-bangladesh-game/story-rskHD1FajNowRBrGuBZ4MO.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: MS Dhoni removes dagger logo from keeping gloves",cricket,2019-06-10,08:26:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-ms-dhoni-removes-dagger-logo-from-keeping-gloves/story-FnLlQmNmkPKqTw0EHs960K.html
Hindiustan Times,"ICC World Cup 2019: David Warner inside-edges ball onto stumps, but doesn’t get out",cricket,2019-06-10,08:28:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-david-warner-inside-edges-ball-onto-stumps-but-doesn-t-get-out/story-3dkGqZRsIP0rK4y6OuusQO.html
Hindiustan Times,"ICC World Cup 2019, India vs Australia: Shikhar Dhawan ton claims new world record for India",cricket,2019-06-10,08:28:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-india-vs-australia-shikhar-dhawan-ton-claims-new-world-record-for-india/story-9ft7QVIoc27Tlu1ssZfIzJ.html
Hindiustan Times,ICC World Cup 2019: ICC rejected Chris Gayle’s request to use ‘Universe Boss’ logo before censoring MS Dhoni,cricket,2019-06-09,18:01:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-icc-rejected-chris-gayle-s-request-to-use-universe-boss-logo-before-censoring-ms-dhoni/story-pVhFeYaaNVODVw8b68llaL.html
Hindiustan Times,Portugal defeat Netherlands to win first Nations League,football,2019-06-10,09:29:00,https://www.hindustantimes.com/football/portugal-defeat-netherlands-to-win-first-nations-league/story-PwoylbDYZMws2LqhMwecJJ.html
Hindiustan Times,England beat Switzerland on penalties to finish third in UEFA Nations League,football,2019-06-09,22:39:00,https://www.hindustantimes.com/football/england-beat-switzerland-on-penalties-to-finish-third-in-uefa-nations-league/story-ju3j1JVBBtOYET7sRu75KO.html
Hindiustan Times,Akash header earns India U-19 football team 1-1 draw against Bulgaria,football,2019-06-09,20:46:00,https://www.hindustantimes.com/football/akash-header-earns-india-u-19-football-team-1-1-draw-against-bulgaria/story-5Ps8B2aFNxjiZ5M4GHWB7M.html
Hindiustan Times,Indian football team to take on Tajikistan in Intercontinental Cup opener,football,2019-06-10,17:57:00,https://www.hindustantimes.com/football/indian-football-team-to-take-on-tajikistan-in-intercontinental-cup-opener/story-NinfqqbId5MMouaFEPb87M.html
Hindiustan Times,"UEFA Nations League: After title win, Cristinao Ronaldo still hungry for more glory with Portugal",football,2019-06-10,12:57:00,https://www.hindustantimes.com/football/uefa-nations-league-after-title-win-cristinao-ronaldo-still-hungry-for-more-glory-with-portugal/story-70pz1uK9A2YIz4iw2LGfxK.html
Hindiustan Times,Portugal defeat Netherlands to win first Nations League,football,2019-06-10,09:29:00,https://www.hindustantimes.com/football/portugal-defeat-netherlands-to-win-first-nations-league/story-PwoylbDYZMws2LqhMwecJJ.html
Hindiustan Times,England beat Switzerland on penalties to finish third in UEFA Nations League,football,2019-06-09,22:39:00,https://www.hindustantimes.com/football/england-beat-switzerland-on-penalties-to-finish-third-in-uefa-nations-league/story-ju3j1JVBBtOYET7sRu75KO.html
Hindiustan Times,Akash header earns India U-19 football team 1-1 draw against Bulgaria,football,2019-06-09,20:46:00,https://www.hindustantimes.com/football/akash-header-earns-india-u-19-football-team-1-1-draw-against-bulgaria/story-5Ps8B2aFNxjiZ5M4GHWB7M.html
Hindiustan Times,Injured Neymar likely to return after four weeks,football,2019-06-09,23:28:00,https://www.hindustantimes.com/football/injured-neymar-likely-to-return-after-four-weeks/story-RAxjodVZCwf7xjR7PPJDaK.html
Hindiustan Times,"Indian football team beat Thailand 1-0, finish third in King’s Cup",football,2019-06-09,14:07:00,https://www.hindustantimes.com/football/indian-football-team-beat-thailand-1-0-finish-third-in-king-s-cup/story-LvezH36GxRHYHveH8hFwxK.html
Hindiustan Times,Portugal rely on Cristiano Ronaldo to get better of Virgil Van Dijk,football,2019-06-08,18:19:00,https://www.hindustantimes.com/football/portugal-rely-on-cristiano-ronaldo-to-get-better-of-virgil-van-dijk/story-ZA2DyeuEjFqamiNRdNhtIN.html
Hindiustan Times,Messi scores twice as Argentina routs Nicaragua 5-1,football,2019-06-08,12:23:00,https://www.hindustantimes.com/football/messi-scores-twice-as-argentina-routs-nicaragua-5-1/story-nVPm7EjJ74VKTTEM32hpuK.html
Hindiustan Times,Brazil’s Neymar in trouble over intimate pics of woman accusing him of rape,football,2019-06-07,17:15:00,https://www.hindustantimes.com/football/brazil-s-neymar-in-trouble-over-intimate-pics-of-woman-accusing-him-of-rape/story-FSkj0RRR4i6OjvAl58fc0L.html
Hindiustan Times,Real Madrid agree deal to sign Chelsea’s Eden Hazard: Reports,football,2019-06-06,23:41:00,https://www.hindustantimes.com/football/real-madrid-agree-deal-to-sign-chelsea-s-eden-hazard-reports/story-3Rqc4Yl7lfQz7r6VEkDaOO.html
Hindiustan Times,Bhaichung Bhutia congratulates Sunil Chhetri for becoming India’s most capped player,football,2019-06-06,17:39:00,https://www.hindustantimes.com/football/bhaichung-bhutia-congratulates-sunil-chhetri-for-becoming-india-s-most-capped-player/story-9A6LdiutD6UKiSBMqgtw2H.html
Hindiustan Times,‘Genius’ Ronaldo hat-trick sends Portugal into Nations League final,football,2019-06-06,13:51:00,https://www.hindustantimes.com/football/genius-ronaldo-hat-trick-sends-portugal-into-nations-league-final/story-p2scDFZJxxktWm4BXZNaiL.html
Hindiustan Times,Ronaldo rape lawsuit in US ‘not dropped’: Lawyer,football,2019-06-06,12:17:00,https://www.hindustantimes.com/football/ronaldo-rape-lawsuit-in-us-not-dropped-lawyer/story-58VVfweJW2oMlFMpyaxgsM.html
Hindiustan Times,Brazil’s Neymar ruled out of Copa America with ankle injury,football,2019-06-06,12:24:00,https://www.hindustantimes.com/football/brazil-s-neymar-ruled-out-of-copa-america-with-ankle-injury/story-DPSkTZeoXkcgDeol5BuSvN.html
Hindiustan Times,Cristiano Ronaldo rape lawsuit in US ‘not dropped’: lawyer,football,2019-06-06,01:06:00,https://www.hindustantimes.com/football/cristiano-ronaldo-rape-lawsuit-in-us-not-dropped-lawyer/story-fCe1vpRl3o3aGz0EqNnogM.html
Hindiustan Times,World Cup winner Gianluigi Buffon to leave PSG: club,football,2019-06-05,21:32:00,https://www.hindustantimes.com/football/world-cup-winner-gianluigi-buffon-to-leave-psg-club/story-vkd44jtUWzaVIGE40pZM5L.html
Hindiustan Times,Cristiano Ronaldo rape lawsuit dropped: Report,football,2019-06-05,17:56:00,https://www.hindustantimes.com/football/cristiano-ronaldo-rape-lawsuit-dropped-report/story-vHCU7UfZ03KdkhUyCZSPDL.html
Hindiustan Times,"Ex-UEFA chief Johansson, father of Champions League, dies aged 89",football,2019-06-05,17:56:00,https://www.hindustantimes.com/football/ex-uefa-chief-johansson-father-of-champions-league-dies-aged-89/story-54s6RWFx80ZDFK5c32rceI.html
Hindiustan Times,"Lure of Italy strong, says Chelsea’s homesick Sarri",football,2019-06-05,17:56:00,https://www.hindustantimes.com/football/lure-of-italy-strong-says-chelsea-s-homesick-sarri/story-lsVzdvl2a4SFjOvrsHIjVN.html
Hindiustan Times,Sunil Chhetri scores in milestone match but India lose 1-3 to Curacao in Stimac’s first match in charge,football,2019-06-05,17:56:00,https://www.hindustantimes.com/football/chhetri-scores-in-milestone-match-but-india-lose-1-3-to-curacao-in-stimac-s-first-match-in-charge/story-fxX25osjgc4V5oD8CqNQGP.html
Hindiustan Times,"Central defence, load off Chettri Stimac’s likely priorities",football,2019-06-05,10:37:00,https://www.hindustantimes.com/football/central-defence-load-off-chettri-stimac-s-likely-priorities/story-P7MGY1WsLk6BRrFfgOUc2N.html
