Newspaper,Heading,Category,Date,Time,URL
Indian Express,LiveAustralia vs Pakistan Live Cricket Score Online,nil,2019-06-12,7:19:57 pm,https://indianexpress.com/article/sports/cricket-world-cup/australia-vs-pakistan-live-cricket-score-online-aus-vs-pak-5776879/
Indian Express,"Shikhar Dhawan turns poet, hints World Cup ain't over yet",nil,2019-06-12,5:32:17 pm,https://indianexpress.com/article/sports/shikhar-dhawan-injury-shayari-wc19-5776980/
Indian Express,"India will definitely beat Pakistan again, believes Kapil Dev",nil,2019-06-12,6:58:53 pm,https://indianexpress.com/article/sports/cricket-world-cup/india-vs-pakistan-kapil-dev-5777216/
Indian Express,Battle between Michael Holding and ICC over censoring commentators,nil,2019-06-12,7:15:48 pm,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-michael-holding-and-icc-fight-over-commentators-censorship-5776470/
Indian Express,"LiveAustralia vs Pakistan Live Cricket Score Online, World Cup 2019 Live Score: Cummins sends back Zaman early after Australia set 308",nil,2019-06-12,19:19:57:00,https://indianexpress.com/article/sports/cricket-world-cup/australia-vs-pakistan-live-cricket-score-online-aus-vs-pak-5776879/
Indian Express,How the battle between Michael Holding and ICC over censoring commentators played out,nil,2019-06-12,19:15:48:00,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-michael-holding-and-icc-fight-over-commentators-censorship-5776470/
Indian Express,LivePakistan vs Australia: Mohd Amir’s fiver against Aussies sets internet on fire,nil,2019-06-12,19:05:40:00,https://indianexpress.com/article/sports/pakistan-vs-australia-mohd-amirs-fiver-against-aussies-sets-internet-on-fire/
Indian Express,"World Cup 2019: India will definitely beat Pakistan again, believes Kapil Dev",nil,2019-06-12,18:58:53:00,https://indianexpress.com/article/sports/cricket-world-cup/india-vs-pakistan-kapil-dev-5777216/
Indian Express,We’ll take 10-12 days to take a call on Dhawan’s condition: Batting coach Sanjay Bangar,nil,2019-06-12,18:58:25:00,https://indianexpress.com/article/sports/shikhar-dhawan-injury-thumb-world-cup-sanjay-bangar-5777358/
Indian Express,Mohammad Amir confessed to spot-fixing after Shahid Afridi slapped him: Abdul Razzaq,nil,2019-06-12,18:58:01:00,https://indianexpress.com/article/sports/cricket-world-cup/mohammad-amir-confessed-to-spot-fixing-after-shahid-afridi-slapped-him-abdul-razzaq/
Indian Express,"Shikhar Dhawan turns poet, hints his World Cup isn’t over yet",nil,2019-06-12,17:32:17:00,https://indianexpress.com/article/sports/shikhar-dhawan-injury-shayari-wc19-5776980/
Indian Express,India vs Pakistan: Sania Mirza slams ‘cringeworthy’ ads before World Cup 2019 clash,nil,2019-06-12,17:23:43:00,https://indianexpress.com/article/sports/cricket-world-cup/sania-mirza-slams-cringeworthy-ads-in-india-pakistan-ahead-of-their-clash-5777315/
Indian Express,World Cup 2019: Five-star hero Alex Morgan comforts Thai player Miranda Nild,nil,2019-06-12,16:34:38:00,https://indianexpress.com/article/sports/football/alex-morgan-comforts-miranda-nild-5776800/
Indian Express,"World Cup 2019 Points Table: ICC Cricket World Cup 2019 Points Table, Team Standings, Ranking, Net Run Rate",nil,2019-06-12,16:27:23:00,https://indianexpress.com/article/sports/cricket-world-cup/points-table-team-standings-net-run-rate-5776802/
Indian Express,"Odisha wants to host more international sports events, including Olympics",nil,2019-06-12,16:20:06:00,https://indianexpress.com/article/sports/odisha-more-international-events-olympics-5777052/
Indian Express,Rafael Nadal considered ending season after Indian Wells injury,nil,2019-06-12,16:11:47:00,https://indianexpress.com/article/sports/tennis/rafael-nadal-considered-ending-season-after-indian-wells-injury/
