Newspaper,Heading,Category,Date,Time,URL
Time of India,"Hardik Pandya more of batting all-rounder for now, also needs to perform with ball: Kapil Dev",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/hardik-pandya-more-of-batting-all-rounder-for-now-also-needs-to-perform-with-ball-kapil-dev/articleshow/69756148.cms
Time of India,Shikhar Dhawan hints his World Cup is not over yet,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/shikhar-dhawan-hints-his-world-cup-aint-over-yet/articleshow/69754191.cms
Time of India,Mohammad Amir aims for another Taunton triumph as Australia await,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/pakistan/news/pakistan-vs-australia-preview-icc-world-cup-2019-mohammad-amir-aims-for-another-taunton-triumph-as-australia-await/articleshow/69740280.cms
Time of India,ICC World Cup 2019: West Indies prepared for familiar foe Jofra Archer,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/west-indies/news/icc-world-cup-2019-west-indies-prepared-for-familiar-foe-jofra-archer/articleshow/69752456.cms
Time of India,World Cup: Can confident India clip Kiwi wings?,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/world-cup-can-confident-india-clip-kiwi-wings/videoshow/69757387.cms
Time of India,"'We put men on the moon, why can't we have a reserve day'",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/we-put-men-on-the-moon-why-cant-we-have-a-reserve-day-bangladesh-coach-rhodes/videoshow/69745804.cms
Time of India,Sri Lanka don't want free points: Dimuth Karunaratne,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/sri-lanka-dont-want-free-points-dimuth-karunaratne/videoshow/69746171.cms
Time of India,Washout could leave South Africa hopes down the drain,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/world-cup-washout-could-leave-south-africa-hopes-down-the-drain/videoshow/69735584.cms
Time of India,Faf du Plessis on AB de Villiers' hopes of getting back in the team,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/faf-du-plessis-on-ab-de-villiers-hopes-of-getting-back-in-the-team/videoshow/69734191.cms
Time of India,"Lanka's Pradeep out of Bangladesh game, says Jon Lewis",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/nuwan-pradeep-out-of-bangladesh-game-says-jon-lewis/videoshow/69730786.cms
Time of India,"Smith didn't do anything to be booed, says Kohli",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/smith-didnt-do-anything-to-be-booed-says-kohli/videoshow/69721197.cms
Time of India,Shikhar Dhawan ton helps India down Australia,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/icc-world-cup-dhawan-ton-helps-india-down-australia/videoshow/69719961.cms
Time of India,Williamson leads New Zealand's easy win over Afghanistan,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/world-cup-kane-williamson-leads-new-zealands-easy-win-over-afghanistan/videoshow/69710769.cms
Time of India,England regain winning momentum with win over Bangladesh,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/world-cup-england-regain-winning-momentum-with-win-over-bangladesh/videoshow/69710624.cms
Time of India,"India vs New Zealand Preview, World Cup 2019: Shikhar Dhawan injury, weather pose challenge for India",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/new-zealand/news/india-vs-new-zealand-preview-world-cup-2019-shikhar-dhawan-injury-weather-pose-challenge-for-india/articleshow/69752187.cms
Time of India,"ICC World Cup 2019: We should have reserve days, says Bangladesh coach",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/sri-lanka/news/icc-world-cup-2019-we-should-have-reserve-days-says-bangladesh-coach/articleshow/69751907.cms
Time of India,Bangladesh confident injured Shakib Al Hasan will play Windies,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/bangladesh/news/bangladesh-confident-injured-shakib-al-hasan-will-play-windies/articleshow/69751134.cms
Time of India,ICC World Cup 2019: Lockie Ferguson plans dot balls to create pressure on India,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/icc-world-cup-2019-lockie-ferguson-plans-dot-balls-to-create-pressure-on-india/articleshow/69751160.cms
Time of India,"Pakistan vs Australia Preview, ICC World Cup 2019: Defending champs Australia ready for unpredictable Pakistan",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/australia/news/pakistan-vs-australia-preview-icc-world-cup-2019-defending-champs-australia-ready-for-unpredictable-pakistan/articleshow/69750801.cms
Time of India,Aussie reject Josh Hazlewood finds World Cup too painful to watch,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/australia/news/aussie-reject-josh-hazlewood-finds-world-cup-too-painful-to-watch/articleshow/69750569.cms
Time of India,ICC World Cup 2019: Rishabh Pant to fly out as standby for Shikhar Dhawan,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/icc-world-cup-2019-rishabh-pant-to-fly-out-as-standby-for-shikhar-dhawan/articleshow/69750564.cms
Time of India,"ICC World Cup 2019: Shikhar Dhawan to remain under observation, Rishabh Pant on stand by",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/icc-world-cup-2019-shikhar-dhawan-to-remain-under-observation-rishabh-pant-on-stand-by/articleshow/69744612.cms
Time of India,ICC World Cup 2019: Shikhar Dhawan ruled out for next two games due to thumb fracture,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/icc-world-cup-2019-shikhar-dhawan-ruled-out-for-next-two-games-due-to-thumb-fracture/articleshow/69750000.cms
Time of India,World Cup 2019: England's Mark Wood ready for pace battle against the Windies,icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/england/news/world-cup-2019-englands-mark-wood-ready-for-pace-battle-against-the-windies/articleshow/69749717.cms
Time of India,"India will dominate this World Cup like Aussies did in 2003, 2007: Ashwin",icc wc 2019,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/india-will-dominate-this-world-cup-like-aussies-did-in-2003-2007-ashwin/articleshow/69746164.cms
Time of India,Final call on 'precious' Shikhar only after 10-12 days: Bangar,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/final-call-on-precious-shikhar-only-after-10-12-days-bangar/articleshow/69757881.cms
Time of India,World Cup: Warner scores first ton after a year-long ban,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-david-warner-scores-first-ton-after-a-year-long-ban/articleshow/69758097.cms
Time of India,Amir confessed to spot-fixing after Afridi slapped him: Razzaq,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/news/amir-confessed-to-spot-fixing-after-afridi-slapped-him-razzaq/articleshow/69756041.cms
Time of India,ICC World Cup 2019: England's Buttler fit for West Indies game,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-2019-englands-buttler-fit-for-west-indies-game/articleshow/69758620.cms
Time of India,World Cup: Can confident India clip Kiwi wings?,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/videos/sports/cricket/world-cup-can-confident-india-clip-kiwi-wings/videoshow/69757448.cms
Time of India,"Rishabh Pant called to England before India-Pak match, to be put on standby",cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/videos/sports/cricket/rishabh-pant-called-to-england-before-india-pak-match-to-be-put-on-standby/videoshow/69756006.cms
Time of India,Shikhar Dhawan posts motivational poem after World Cup injury,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/videos/sports/cricket/shikhar-dhawan-posts-motivational-poem-after-world-cup-injury/videoshow/69755862.cms
Time of India,Shikhar Dhawan out of World Cup with thumb injury,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/videos/sports/cricket/shikhar-dhawan-out-of-world-cup-with-thumb-injury/videoshow/69738322.cms
Time of India,"Nuwan Pradeep out of Bangladesh game, says Jon Lewis",cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/videos/sports/cricket/nuwan-pradeep-out-of-bangladesh-game-says-jon-lewis/videoshow/69730793.cms
Time of India,Cricketer Yuvraj Singh announces retirement from international cricket,cricket,2019-06-12,19:21,https://timesofindia.indiatimes.com/videos/sports/cricket/cricketer-yuvraj-singh-announces-retirement-from-international-cricket/videoshow/69723634.cms
