Source,Heading,Category,Date,Time,URL
India Today," Shoaib Akhtar cracks rain joke ahead of India-Pakistan matchICC Cricket World Cup 2019: With rain expected to interrupt Sunday's
big-ticket clash between India and Pakistan in Manchester, former Pakistan
pacer Shoaib Akhtar took to social media to crack a rain joke.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/world-cup-2019-india-vs-pakistan-manchester-rain-threat-shoaib-akhtar-kohli-sarfaraz-swimming-photo-1549146-2019-06-14
India Today," Mohammad Yousuf slams PCB for allowing families to stay with players ahead of India clashPakistani players have been joined by their wives and children them ahead of
the most anticipated clash against India on June 16.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/mohammad-yousuf-slams-pcb-for-allowing-families-to-stay-with-players-ahead-of-india-clash-1549017-2019-06-14
India Today," India vs Pakistan weather forecast news update: World Cup 2019 Manchester Old TraffordIndia vs Pakistan World Cup 2019 weather forecast news update: Rain threat
looms over the big-ticket match between India and Pakistan at Old Trafford in
Manchester on Sunday.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/india-vs-pakistan-weather-forecast-news-update-world-cup-2019-manchester-old-trafford-sunday-1548964-2019-06-14
India Today," Karachi-born fan grateful to Dhoni for IND-PAK ticketsICC Cricket World Cup 2019: Karachi-born Pakistan fan, Mohammad Bashir aka
Chacha Chicago has been getting match tickets for India-Pakistan clashes
from MS Dhoni since 2011. Bashir revealed that he doesn't call Dhoni anymore
but keeps in touch with him via text messages. ",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/ms-dhoni-chacha-chicago-karachi-born-fan-india-vs-pakistan-world-cup-2019-match-tickets-1548915-2019-06-14
India Today," World Cup 2019: India vs Pakistan match tickets being resold for upto Rs 60,000The tickets for India vs Pakistan World Cup 2019 match in Old Trafford was
sold out withing hours of ticket window opening but a few who had bought
tickets are earning more by reselling them.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-india-vs-pakistan-june-16-tickets-resold-1548901-2019-06-14
India Today," David Warner will be the top run-scorer of World Cup 2019, says Ricky PontingAustralia had a stunning win against Pakistan in which David Warner scored a
knock of 107 off 109 balls. Warner managed to play better after he took his
hand-brake off and lead Australia to an applaud-worthy win.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-world-cup-2019-warner-lead-scorer-runs-says-ricky-ponting-1548722-2019-06-14
India Today," World Cup 2019: We can't copy teams like India, says Dimuth KarunaratneSri Lanka skipper Dimuth Karunaratne said that Sri Lanka can't compare
themselves with their northern neighbours in the race to the semi-finals of
the World Cup 2019",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-world-cup-2019-dimuth-karunaratne-sri-lanka-team-india-1548832-2019-06-14
India Today," De Villiers should've planned his World Cup 2019 comeback better: Dussen Rassie van der Dussen, who replaced AB de Villiers in the South Africa World
Cup squad, believes the retired batsman should have handled his World Cup
2019 comeback plan in a better way.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-world-cup-2019-rassie-van-der-dussen-ab-de-villiers-comeback-from-retirement-1548756-2019-06-14
India Today," World Cup 2019: India vs Pakistan all about absorbing pressure, says Sachin TendulkarWorld Cup 2019: Battig great Sachin Tendulkar, speaking to India Today, said
India batsmen must be willing enough to play out good spells from Pakistan
pacers and respect such situations during the much-anticipated India-Pakistan
clash on Sunday in Manchester.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/india-vs-pakistan-sachin-tendulkar-frenzy-world-cup-2019-interview-2003-centurion-recollection-1548838-2019-06-14
India Today," World Cup 2019: Why India are outright favourites against PakistanIndia vs Pakistan World Cup 2019: Never mind what Pakistan say. They will
find it very, very difficult when they take on India on Sunday. For all facts
and purposes, Virat Kohli's team is much stronger and India are overwhelming
favourites against Pakistan.",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-india-vs-pakistan-favourites-old-trafford-manchester-1548826-2019-06-14
India Today," World Cup 2019: No way Pakistan can beat India, says Virender SehwagAs India and Pakistan gear up for their World Cup 2019 face-off in Manchester
on June 16, former Indian opener Virender Sehwag has thrown his weight behind
Virat Kohli and Co. saying that he has no doubt that India will beat their
arch-rivals",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/icc-cricket-world-cup-2019-india-vs-pakistan-virender-sehwag-shoaib-akhtar-1548774-2019-06-14
India Today," ENG vs WI Live Score, World Cup 2019 Updates: Woakes falls but England close in on win",news,2019-06-14,22:00:00,https://www.indiatoday.in/sports/story/england-vs-west-indies-live-score-icc-world-cup-2019-eng-vs-wi-1548754-2019-06-14
