Source,Heading,Category,Date,Time,URL
The Hindu,2019 Cricket World Cup: England pacers sink West Indies despite Pooran’s maiden fifty,cricket,2019-06-14,18:38:00,https://www.thehindu.com/sport/cricket/2019-cricket-world-cup-england-vs-west-indies-in-southampton/article27937710.ece
The Hindu,2019 Cricket World Cup: Sri Lanka faces Warner storm in clash against Australia,cricket,2019-06-14,17:12:00,https://www.thehindu.com/sport/cricket/2019-cricket-world-cup-sri-lanka-faces-warner-storm-in-clash-against-australia/article27928005.ece
The Hindu,"ICC World Cup: Forks in hand, Harbhajan and Yousuf were ready to attack each other in 2003",cricket,2019-06-14,19:53:00,https://www.thehindu.com/sport/cricket/icc-world-cup-forks-in-hand-harbhajan-and-yousuf-were-ready-to-attack-each-other-in-2003/article27934091.ece
The Hindu,India supported Pakistan’s Asia Cup bid but venue to be decided later: PCB chief Ehsan Mani,cricket,2019-06-14,17:22:00,https://www.thehindu.com/sport/cricket/india-supported-pakistans-asia-cup-bid-but-venue-to-be-decided-later-pcb-chief-ehsan-mani/article27929390.ece
The Hindu,2019 Cricket World Cup: England pacers sink West Indies despite Pooran’s maiden fifty,cricket,2019-06-14,18:38:00,https://www.thehindu.com/sport/cricket/2019-cricket-world-cup-england-vs-west-indies-in-southampton/article27937710.ece
The Hindu,2019 Cricket World Cup: Sri Lanka faces Warner storm in clash against Australia,cricket,2019-06-14,17:12:00,https://www.thehindu.com/sport/cricket/2019-cricket-world-cup-sri-lanka-faces-warner-storm-in-clash-against-australia/article27928005.ece
The Hindu,"ICC World Cup: Forks in hand, Harbhajan and Yousuf were ready to attack each other in 2003",cricket,2019-06-14,19:53:00,https://www.thehindu.com/sport/cricket/icc-world-cup-forks-in-hand-harbhajan-and-yousuf-were-ready-to-attack-each-other-in-2003/article27934091.ece
The Hindu,India supported Pakistan’s Asia Cup bid but venue to be decided later: PCB chief Ehsan Mani,cricket,2019-06-14,17:22:00,https://www.thehindu.com/sport/cricket/india-supported-pakistans-asia-cup-bid-but-venue-to-be-decided-later-pcb-chief-ehsan-mani/article27929390.ece
The Hindu,"

2019 Cricket World Cup: South Africa, Afghanistan look to post maiden win",cricket,2019-06-14,15:41:00,https://www.thehindu.com/sport/cricket/2019-cricket-world-cup-south-africa-afghanistan-look-to-post-maiden-win/article27922125.ece
The Hindu,"

2019 Cricket World Cup: The Pak-born fan who gets match tickets from Dhoni, since 2011",cricket,2019-06-14,17:02:00,https://www.thehindu.com/sport/cricket/2019-cricket-world-cup-the-pak-born-fan-who-gets-match-tickets-from-dhoni-since-2011/article27927762.ece
