Source,Heading,Category,Date,Time,URL
Indian Express,LiveWest Indies vs Bangladesh: Live Updates,nil,2019-06-17,2:52:45 pm,https://indianexpress.com/article/sports/cricket-world-cup/west-indies-vs-bangladesh-live-cricket-score-updates-5784554/
Indian Express,Rohit Sharma’s century sets up India’s comprehensive win against Pakistan,nil,2019-06-17,11:07:30 am,https://indianexpress.com/article/sports/cricket-world-cup/hit-manchester-rohit-sharmas-century-sets-up-indias-comprehensive-win-against-pakistan-5783690/
Indian Express,Watch: Who was Virat Kohli trying to mimic during India vs Pakistan?,nil,2019-06-17,1:23:49 pm,https://indianexpress.com/article/sports/cricket-world-cup/watch-who-is-virat-kohli-trying-to-mimic-5784046/
Indian Express,How IND reached 336 against PAK despite hitting just one six in the last 23 overs,nil,2019-06-17,11:08:24 am,https://indianexpress.com/article/sports/cricket-world-cup/how-india-reached-336-against-pakistan-despite-hitting-just-one-six-in-the-last-23-overs-5783659/
Indian Express,"LiveWest Indies vs Bangladesh Live Cricket Score Online, World Cup 2019 LIVE: Bangladesh opt to field against West Indies",nil,2019-06-17,14:52:45:00,https://indianexpress.com/article/sports/cricket-world-cup/west-indies-vs-bangladesh-live-cricket-score-updates-5784554/
Indian Express,"World Cup 2019: Sarfaraz was confused, Pakistan lacked imagination, says Sachin Tendulkar",nil,2019-06-17,14:51:33:00,https://indianexpress.com/article/sports/cricket-world-cup/sarfaraz-was-confused-pakistan-lacked-imagination-sachin-tendulkar-5784530/
Indian Express,"World Cup 2019, West Indies vs Bangladesh Predicted Playing 11 Match Updates: BAN won the toss and chose to field first",nil,2019-06-17,14:40:22:00,https://indianexpress.com/article/sports/cricket-world-cup/west-indies-vs-bangladesh-build-up-5784019/
Indian Express,"World Cup 2019, IND vs PAK Highlights: India beat Pakistan by 89 runs (D/L)",nil,2019-06-17,14:38:55:00,https://indianexpress.com/article/sports/cricket-world-cup/india-vs-pakistan-live-cricket-score-online-ind-vs-pak-manchester-rain-5783091/
Indian Express,"World Cup 2019: This Indian side starting to seem like West Indies of 70s, says K Srikkanth",nil,2019-06-17,14:33:49:00,https://indianexpress.com/article/sports/cricket-world-cup/this-indian-side-starting-to-seem-like-west-indies-of-70s-k-srikkanth-5784599/
Indian Express,"India vs Pakistan: Kuldeep Yadav’s magic, Sachin redux and Sarfaraz Ahmed’s yawn",nil,2019-06-17,14:23:59:00,https://indianexpress.com/article/sports/cricket-world-cup/2019-archives-kuldeeps-magic-sachin-redux-and-sarfrazs-yawn-5783697/
Indian Express,"World Cup Preview: England look to get closer to semis, Afghanistan aim revival",nil,2019-06-17,14:21:43:00,https://indianexpress.com/article/sports/cricket-world-cup/england-afghanistan-preview-5784574/
Indian Express,"Bangladesh vs West Indies Live Cricket Streaming Online, ICC World Cup 2019: When and where is the match between West Indies and Bangladesh?",nil,2019-06-17,13:57:28:00,https://indianexpress.com/article/sports/cricket-world-cup/bangladesh-vs-west-indies-live-streaming-match-timings-ist-tv-channels-5784159/
Indian Express,"IND vs PAK: I never lost my rhythm, says Kuldeep Yadav",nil,2019-06-17,13:46:52:00,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-i-never-lost-my-rhythm-says-kuldeep-yadav-5784305/
Indian Express,PSG consider Neymar sale as chairman Nasser Al-Khelaifi sends warning to players: Reports,nil,2019-06-17,13:40:00:00,https://indianexpress.com/article/sports/football/psg-consider-neymar-sale-as-al-khelaifi-sends-warning-to-players-5784345/
Indian Express,IND vs PAK: Rohit Sharma’s cheeky response to what advice he had for Pakistan’s batsmen,nil,2019-06-17,13:39:25:00,https://indianexpress.com/article/sports/cricket-world-cup/rohit-sharma-pakistan-coach-5784384/
Indian Express,"IND vs PAK: Adaptability helped me survive, says Vijay Shankar",nil,2019-06-17,13:25:40:00,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-adaptability-helped-me-survive-says-vijay-shankar-5784266/
