Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Russia accused of athletics doping cover up Report,athletics,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/athletics/russia-accused-of-athletics-doping-cover-up-report/articleshow/69627487.cms,0,1.0
India Today, Ace sprinter Dutee Chand reveals she is in same sex relationship with soulmateDutee Chand revealed in an interview that she is in a same sex relationship with a girl from her hometown,athletics,2019-06-17,14:59:00,https://www.indiatoday.in/sports/athletics/story/dutee-chand-same-sex-relationship-soulmate-1528532-2019-05-19,1,0.49
India Today, Dutee Chand faces familys wrath after revealing same sex relationshipDutee Chand said that her eldest sister threatened to not only expel her from the family but also send her to jail,athletics,2019-06-17,14:59:00,https://www.indiatoday.in/sports/athletics/story/dutee-chand-same-sex-relationship-expulsion-from-family-india-s-fastest-woman-1528795-2019-05-19,1,0.5
India Today, Sisters blackmail torture forced me to reveal my same sex relationship Dutee ChandIndias fastest woman Dutee Chand has said that she revealed about her same sex relationship after being tortured by her eldest sister,athletics,2019-06-17,14:59:00,https://www.indiatoday.in/sports/athletics/story/dutee-chand-same-sex-relationship-blackmail-1531211-2019-05-21,1,0.54
Time of India, Was javelin thrower Neeraj Chopras injury mismanaged,athletics,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/athletics/was-javelin-thrower-neeraj-chopras-injury-mismanaged/articleshow/69368645.cms,2,0.37
India Today, Neeraj Chopra recovering without complications AFI presidentNeeraj Chopra may miss the Doha World Championships as his recovery is likely to take at least three months after he had arthroscopic surgery on his throwing right hand to remove bone fragments from his elbow joint,athletics,2019-06-17,14:59:00,https://www.indiatoday.in/sports/athletics/story/neeraj-chopra-afi-surgery-recovery-doha-world-championships-1526833-2019-05-16,2,0.44
Time of India, World champ Justin Gatlin edges Yoshihide Kiryu to win 100m in Osaka,athletics,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/athletics/world-champ-justin-gatlin-edges-yoshihide-kiryu-to-win-100m-in-osaka/articleshow/69401003.cms,3,0.52
Time of India, Asian Championships winner Gomathi Marimuthu fails dope test,athletics,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/athletics/asian-championships-winner-gomathi-marimuthu-fails-dope-test/articleshow/69431663.cms,4,0.74
India Today, South African government to appeal against Caster Semenya rulingMiddle distance runner Caster Semenya had lost a crucial case after the Court of Arbitration for Sport ruled that female track athletes with naturally high levels of testosterone have to regulate their hormone levels to participate in major events including the Olympics,athletics,2019-06-17,14:59:00,https://www.indiatoday.in/sports/athletics/story/caster-semenya-case-south-africa-to-appeal-1523911-2019-05-13,5,0.56
Time of India, Ethiopias Belihu wins World 10K Bengaluru 2019 Kenyas Tirop defends womens title,athletics,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/athletics/ethiopias-belihu-wins-world-10k-bengaluru-2019-kenyas-tirop-defends-womens-title/articleshow/69398212.cms,6,0.36
