Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, India Open Mary Kom Amit Panghal ready for new challenge in the ring,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-mary-kom-amit-panghal-ready-for-new-challenge-in-the-ring/articleshow/69407235.cms,0,0.46
Time of India, India Open Mary Sarita Shiva and Amit bag gold,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-mary-sarita-shiva-and-amit-bag-gold/articleshow/69492586.cms,0,0.45
Time of India, India Open Mary Kom wins first bout assured of medal,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-mary-kom-wins-first-bout-assured-of-medal/articleshow/69434567.cms,0,0.44
Time of India, India Open Sachin Siwach leads way as all Indian boxers advance,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-sachin-siwach-leads-way-as-all-indian-boxers-advance/articleshow/69416112.cms,1,0.45
Time of India, India Open Uzbeks no show makes lop sided field for Indian boxers,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-uzbeks-no-show-makes-lop-sided-field-for-indian-boxers/articleshow/69448330.cms,1,0.45
Time of India, India Open Ten Indian boxers assured of a medal,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-ten-indian-boxers-assured-of-a-medal/articleshow/69410780.cms,1,0.47
Time of India, Tokyo 2020 organisers welcome IOC boxing decision,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/tokyo-2020-organisers-welcome-ioc-boxing-decision/articleshow/69467174.cms,2,1.0
Time of India, Four SSCB boxers enter semifinals of Youth Boxing National championship,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/four-sscb-boxers-enter-semifinals-of-youth-boxing-national-championship/articleshow/69744516.cms,3,1.0
Time of India, India Open Im more aggressive now says Shiva Thapa,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-im-more-aggressive-now-says-shiva-thapa/articleshow/69398984.cms,4,0.63
Time of India, I want to retire after Tokyo Olympics says Mary Kom,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/i-want-to-retire-after-tokyo-olympics-says-mary-kom/articleshow/69677668.cms,5,0.55
Time of India, Narwal outsmarts Youth Olympic champion Brian in India Open,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/pawan-narwal-outsmarts-youth-olympic-champion-brian-arregui-agustin-in-india-open/articleshow/69431987.cms,6,1.0
Time of India, Fit again Manoj Kumar rejoins national boxing camp,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/fit-again-manoj-kumar-rejoins-national-boxing-camp/articleshow/69710322.cms,7,1.0
Time of India, Ruiz rematch will be make or break for beaten Briton Joshua,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/ruiz-rematch-will-be-make-or-break-for-beaten-briton-joshua/articleshow/69638568.cms,8,1.0
Time of India, Unprepared Tokyo 2020 boxing boss vows to put athletes first,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/unprepared-tokyo-2020-boxing-boss-vows-to-put-athletes-first/articleshow/69464141.cms,9,1.0
Time of India, IOC decision to strip AIBA right to conduct boxing in Olympics shocks Thapa,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/ioc-decision-to-strip-aiba-right-to-conduct-boxing-in-olympics-shocks-shiva-thapa-amit-panghal-sees-advantage/articleshow/69466318.cms,10,1.0
Time of India, Vijender Singh is scared of me says British boxer Amir Khan,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/vijender-singh-is-scared-of-me-says-british-boxer-amir-khan/articleshow/69600762.cms,11,1.0
Time of India, India Open Hosts rule the boxing ring on Day 1,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/india-open-hosts-rule-the-boxing-ring-on-day-1/articleshow/69422604.cms,12,1.0
Time of India, Manny Pacquiao heading back to ring to fight unbeaten Keuth Thurman,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/manny-pacquiao-heading-back-to-ring-to-fight-unbeaten-keuth-thurman/articleshow/69421279.cms,13,1.0
Time of India, Boxing chief optimistic over ending Tokyo threat,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/boxing-chief-optimistic-over-ending-tokyo-threat/articleshow/69418100.cms,14,1.0
Time of India, Indian Open Air of uncertainty in camp,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/indian-open-air-of-uncertainty-in-camp/articleshow/69476354.cms,15,1.0
Time of India, Andy Ruiz stuns Anthony Joshua for world heavyweight title,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/andy-ruiz-stuns-anthony-joshua-for-world-heavyweight-title/articleshow/69616953.cms,16,1.0
Time of India, Indian Open Mary Kom blasts Nikhat Zareen after beating her,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/indian-open-mary-kom-blasts-nikhat-zareen-after-beating-her/articleshow/69475009.cms,17,1.0
Time of India, Mary Kom and Co aim to pack a punch in India Open,boxing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/boxing/mary-kom-and-co-aim-to-pack-a-punch-in-india-open/articleshow/69398595.cms,18,1.0
