Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Dubai Open Chess Raunak Sadhwani holds four time Venezuela national champ,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/dubai-open-chess-raunak-sadhwani-holds-four-time-venezuela-national-champ/articleshow/68749929.cms,0,0.57
Time of India, Shamkir chess Anand draws with Grischuk Carlsen extends lead,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/shamkir-chess-anand-draws-with-grischuk-carlsen-extends-lead/articleshow/68780587.cms,1,1.0
Time of India, Norway Chess Viswanathan Anand out of contention after losing to Fabiano Caruana,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/norway-chess-viswanathan-anand-out-of-contention-after-losing-to-fabiano-caruana/articleshow/69782544.cms,2,0.67
Time of India, Adhiban Surya strike gold at World team chess championships,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/adhiban-surya-strike-gold-at-world-team-chess-championships/articleshow/68432937.cms,3,0.62
Time of India, Chess set for comeback at 2022 Asian Games in Hangzhou,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/chess-set-for-comeback-at-2022-asian-games-in-hangzhou/articleshow/68381790.cms,4,0.63
Time of India, Long lost Lewis Chessman found in UK familys drawer,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/long-lost-lewis-chessman-found-in-uk-familys-drawer/articleshow/69637203.cms,5,1.0
Time of India, Norway Chess Anand meets Caruana in round 7,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/norway-chess-anand-meets-caruana-in-round-7/articleshow/69757723.cms,6,1.0
Time of India, Gashimov Memorial Anand goes down to Carlsen in Round 2,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/gashimov-memorial-viswanathan-anand-goes-down-to-magnus-carlsen-in-round-2/articleshow/68677234.cms,7,1.0
Time of India, Priyanshu Patil pockets Nagpur District Rapid Chess crown,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/priyanshu-patil-pockets-nagpur-district-rapid-chess-tournament-crown/articleshow/68675519.cms,8,1.0
Time of India, Black making a move was a symbolic gesture Anish Giri,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/black-making-a-move-was-a-symbolic-gesture-anish-giri/articleshow/68536613.cms,9,1.0
Time of India, Chess Harikrishna unveils video course on French defense,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/chess-harikrishna-unveils-video-course-on-french-defense/articleshow/69312058.cms,10,1.0
Time of India, Magnus Carlsen plays black first in fight against racism,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/magnus-carlsen-plays-black-first-in-fight-against-racism/articleshow/68529151.cms,11,1.0
Time of India, Nihal Sarin back to title contention Harikrishna maintains joint lead,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/nihal-sarin-back-to-title-contention-harikrishna-maintains-joint-lead/articleshow/69232620.cms,12,1.0
Time of India, Banned Indian chess players will have to wait for rating restoration,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/banned-indian-chess-players-will-have-to-wait-for-rating-restoration/articleshow/69534991.cms,13,1.0
Time of India, D Gukesh finishes tied second at Vietnam chess meet,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/d-gukesh-finishes-tied-second-at-vietnam-chess-meet/articleshow/68396456.cms,14,1.0
Time of India, Anand finishes joint eighth in blitz to face Carlsen in Norway opener,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/viswanathan-anand-finishes-joint-eighth-in-blitz-to-face-magnus-carlsen-in-norway-opener/articleshow/69653288.cms,15,0.58
Time of India, Viswanathan Anand loses to Karjakin in Shamkir chess,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/viswanathan-anand-loses-to-karjakin-in-shamkir-chess/articleshow/68759919.cms,16,0.74
Time of India, World Team Cship Adhiban shines as Indian men back to joint second spot,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/world-team-chess-adhiban-saves-sensationally-as-indian-men-back-to-joint-second-spot/articleshow/68398179.cms,17,1.0
Time of India, Shamkuwar best among oldies in Barat Memorial Veterans Chess,chess,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/chess/shamkuwar-best-among-oldies-in-barat-memorial-veterans-chess-tournament/articleshow/68768297.cms,18,1.0
