Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Yuvraj Singh deserves a proper farewell Kapil DevKapil Dev said that a player of Yuvrajs stature deserves farewell from the ground Yuvraj announced his retirement from international cricket on Monday,cricket,2019-06-17,14:59:00,https://www.indiatoday.in/sports/cricket/story/yuvraj-singh-deserves-a-proper-farewell-kapil-dev-1547265-2019-06-12,0,0.24
India Today, Amir opened up on spot fixing after Afridi slapped him RazzaqICC had banned all three players—Salman Butt for ten years of which five were suspended Muhammad Asif for seven years of which two were suspended and Muhammad Amir for five years after spot fixing charges were proved during investigation,cricket,2019-06-17,14:59:00,https://www.indiatoday.in/sports/cricket/story/pakistan-spot-fixing-muhammed-amir-confession-shahid-afridi-slap-abdul-razzaq-1547351-2019-06-12,0,0.18
India Today, Sachin Tendulkar sues Australian cricket bat maker for using his nameIndia legendary batsman Sachin Tendulkar has sued an Australia bat manufacturer for using his name and image to promote their products,cricket,2019-06-17,14:59:00,https://www.indiatoday.in/sports/cricket/story/sachin-tendulkar-former-india-opener-sues-australian-cricket-bat-maker-usd-2-million-1548709-2019-06-14,0,0.17
India Today, Jemimah Rodrigues to play Englands Kia Super LeagueIndias young womens cricket star Jemimah Rodrigues will become the third player from the country after Smriti Mandhana and Harmanpreet Kaur to feature in the T20 competition in England,cricket,2019-06-17,14:59:00,https://www.indiatoday.in/sports/cricket/story/jemimah-rodrigues-women-s-t20-kia-super-league-england-yorkshire-diamonds-1546985-2019-06-11,0,0.2
Hindiustan Times, ICC World Cup 2019 England look to get closer to semis Afghanistan aim revival,cricket,2019-06-17,12:24:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-england-look-to-get-closer-to-semis-afghanistan-aim-revival/story-I9xLsXDxOEyUv9DzEz9DnK.html,0,0.16
India Today, Ashes 2019 Booing Warner Smith can backfire for England says AndersonDavid Warner and Steve Smith have returned to International Cricket after serving one year post the Spot fixing scandal in South Africa They were booed by English fans during Australias warm up match against England,cricket,2019-06-17,14:59:00,https://www.indiatoday.in/sports/cricket/story/ashes-2019-booing-warner-smith-can-backfire-for-england-says-anderson-1550048-2019-06-16,0,0.21
Hindiustan Times, India vs Pakistan World Cup 2019 Highlights Rohit bowlers make it 7 0 for India against Pakistan,cricket,2019-06-17,10:52:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-live-cricket-score-at-old-trafford-manchester/story-vsWsw9pMuunpANlDfCXkvM.html,1,0.32
Hindiustan Times, India vs Pakistan World Cup 2019 Rohit Sharma KL Rahul break multiple records with first ever century opening stand,cricket,2019-06-17,08:31:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-world-cup-2019-rohit-sharma-kl-rahul-break-multiple-records-with-first-ever-century-opening-stand/story-zYzmTvglIi1E5Gd6PoZ8VL.html,1,0.28
Hindiustan Times, India vs Pakistan World Cup 2019 Mohammad Amir receives two official warnings inside 1st 5 overs for running in the danger area,cricket,2019-06-16,16:12:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-world-cup-2019-mohammad-amir-receives-two-official-warnings-inside-1st-5-overs-for-running-in-the-danger-area/story-JPLLHE8iwB7rrdatOFltPN.html,1,0.29
Time of India, India vs Pakistan World Cup 2019 India beat Pakistan by 89 runs,cricket,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/cricket/cricket-world-cup-2019-india-beat-pakistan-by-89-runs/videoshow/69818806.cms,1,0.44
