Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Carapaz on verge of Giro victory after chaotic stage in Dolomites,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/carapaz-on-verge-of-giro-victory-after-chaotic-stage-in-dolomites/articleshow/69614122.cms,0,1.0
Time of India, Giro dItalia Carapaz grabs pink jersey with stage 14 win,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/giro-ditalia-carapaz-grabs-pink-jersey-with-stage-14-win/articleshow/69498938.cms,1,0.47
Time of India, Giro dItalia Carapaz still in pink as Chaves wins 19th stage,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/giro-ditalia-carapaz-still-in-pink-as-chaves-wins-19th-stage/articleshow/69602671.cms,1,0.45
Time of India, Carapaz holds pink jersey as Cima sprints to Giro 18th stage win,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/carapaz-holds-pink-jersey-as-cima-sprints-to-giro-18th-stage-win/articleshow/69586840.cms,1,0.44
Time of India, Benedetti wins Giro dItalia 12th stage Polanc takes pink jersey,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/benedetti-wins-giro-ditalia-12th-stage-polanc-takes-pink-jersey/articleshow/69470224.cms,1,0.43
Time of India, Dumoulin retires from Dauphine with Tour in mind,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/dumoulin-retires-from-dauphine-with-tour-in-mind/articleshow/69803225.cms,2,1.0
Time of India, Fuglsang wins Criterium du Dauphine in Tour de France boost,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/fuglsang-wins-criterium-du-dauphine-in-tour-de-france-boost/articleshow/69816502.cms,3,0.45
Time of India, Chris Froome out of Criterium du Dauphine after training fall,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/chris-froome-out-of-criterium-du-dauphine-after-training-fall/articleshow/69758627.cms,3,0.45
Time of India, Criterium du Dauphine Teuns claims Dauphine lead with stage two win,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/criterium-du-dauphine-bahrain-meridas-dylan-teuns-claims-dauphine-lead-with-stage-two-win/articleshow/69728914.cms,3,0.36
Time of India, Froome out of Tour de France after crash in Criterium du Dauphine,cycling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/cycling/froome-out-of-tour-de-france-after-crash-in-criterium-du-dauphine/articleshow/69759433.cms,3,0.54
