Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Former Arsenal player Reyes laid to rest in Spain after car crash,football,2019-06-03,17:32:00,https://www.hindustantimes.com/football/former-arsenal-player-reyes-laid-to-rest-in-spain-after-car-crash/story-jK7mBbSNX6do0E2byGGdWP.html,0,0.13
Hindiustan Times, Real Madrid sign Serbian striker Luka Jovic from Eintracht Frankfurt,football,2019-06-04,18:03:00,https://www.hindustantimes.com/football/real-madrid-sign-serbian-striker-luka-jovic-from-eintracht-frankfurt/story-1ChZh1ukySGdjXvZ6B0R1I.html,0,0.1
Hindiustan Times, Former Spain coach Lopetegui takes over at Seville for next three seasons,football,2019-06-04,16:04:00,https://www.hindustantimes.com/football/former-spain-coach-lopetegui-takes-over-at-seville-for-next-three-seasons/story-zzKB9Hth6CvW5Jh637dFyO.html,0,0.12
Hindiustan Times, James Rodriguez to leave Bayern Munich Report,football,2019-06-03,16:34:00,https://www.hindustantimes.com/football/james-rodriguez-to-leave-bayern-munich-report/story-r8UH1ZeXfKjaF7kJzLoutO.html,0,0.11
Hindiustan Times, Roma appoint Paulo Fonseca as new head coach on two year deal,football,2019-06-11,18:14:00,https://www.hindustantimes.com/football/roma-appoint-paulo-fonseca-as-new-head-coach-on-two-year-deal/story-vmrE8IN1ngJuTVxiKJebnJ.html,0,0.11
Hindiustan Times, Sunil Chhetri scores in milestone match but India lose 1 3 to Curacao in Stimac ’ s first match in charge,football,2019-06-05,17:56:00,https://www.hindustantimes.com/football/chhetri-scores-in-milestone-match-but-india-lose-1-3-to-curacao-in-stimac-s-first-match-in-charge/story-fxX25osjgc4V5oD8CqNQGP.html,0,0.12
Time of India, David Beckham turns 44 today,football,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/football/david-beckham-turns-44-today/videoshow/69129650.cms,0,0.09
Hindiustan Times, Copa America 2019 Lionel Messi ‘ bitter ’ as Colombia stun Argentina,football,2019-06-16,11:03:00,https://www.hindustantimes.com/football/copa-america-2019-lionel-messi-bitter-as-colombia-stun-argentina/story-7J52PSXeztYDYFZRisETEN.html,1,0.17
Hindiustan Times, Real Madrid confirm signing of ‘ Japanese Messi ’ Takefusa Kubo,football,2019-06-14,17:22:00,https://www.hindustantimes.com/football/real-madrid-confirm-signing-of-japanese-messi-takefusa-kubo/story-UpFzdaBwCIBuHt4wWk4bYK.html,1,0.13
Hindiustan Times, Aguero ’ s return lifts Messi ’ s hopes of Copa glory with Argentina,football,2019-06-11,12:25:00,https://www.hindustantimes.com/football/aguero-s-return-lifts-messi-s-hopes-of-copa-glory-with-argentina/story-oF6DslEorf5Hu6apiLzMTM.html,1,0.16
India Today, It will take a while to accept it says Lionel Messi on Argentinas loss to BoliviaArgentina lost to Columbia by a 2 0 margin in Copa America 2019 and Lionel Messi feels that the team needs to buckle up and play better for the next match so that they can qualify into the quarter finals,football,2019-06-17,14:59:00,https://www.indiatoday.in/sports/football/story/lionel-messi-regrets-defeat-of-argentina-gainst-columbia-copa-america-1549926-2019-06-16,1,0.16
Hindiustan Times, Colombia basking in immediate Queiroz effect,football,2019-06-17,13:23:00,https://www.hindustantimes.com/football/colombia-basking-in-immediate-queiroz-effect/story-r9kSBmqQqnl4g9sSMXMSaM.html,1,0.19
Hindiustan Times, Portugal rely on Cristiano Ronaldo to get better of Virgil Van Dijk,football,2019-06-08,18:19:00,https://www.hindustantimes.com/football/portugal-rely-on-cristiano-ronaldo-to-get-better-of-virgil-van-dijk/story-ZA2DyeuEjFqamiNRdNhtIN.html,2,0.17
Time of India, Cristiano Ronaldo rape allegation moving on two legal tracks in Nevada,football,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/football/cristiano-ronaldo-rape-allegation-moving-on-two-legal-tracks-in-nevada/videoshow/66260247.cms,2,0.23
Hindiustan Times, Intercontinental Cup Igor Stimac calls out defender Anas from international retirement for training camp,football,2019-06-11,18:14:00,https://www.hindustantimes.com/football/intercontinental-cup-igor-stimac-calls-out-defender-anas-from-international-retirement-for-training-camp/story-Ja4NEyxiimmcygVLaRcZGK.html,2,0.23
Time of India, Football greats Cristiano Ronaldo Tevez and Neymar celebrate their birthdays today,football,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/football/football-greats-cristiano-ronaldo-tevez-and-neymar-celebrate-their-birthdays-today/videoshow/67848695.cms,2,0.27
Time of India, Portugal PM Antonio Costa defends Cristiano Ronaldo in rape case,football,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/football/portugal-pm-antonio-costa-defends-cristiano-ronaldo-in-rape-case/videoshow/66104815.cms,2,0.21
Hindiustan Times, Portugal defeat Netherlands to win first Nations League,football,2019-06-10,09:29:00,https://www.hindustantimes.com/football/portugal-defeat-netherlands-to-win-first-nations-league/story-PwoylbDYZMws2LqhMwecJJ.html,3,0.19
Hindiustan Times, Ex UEFA chief Johansson father of Champions League dies aged 89,football,2019-06-05,17:56:00,https://www.hindustantimes.com/football/ex-uefa-chief-johansson-father-of-champions-league-dies-aged-89/story-54s6RWFx80ZDFK5c32rceI.html,3,0.17
Hindiustan Times, ‘ Genius ’ Ronaldo hat trick sends Portugal into Nations League final,football,2019-06-06,13:51:00,https://www.hindustantimes.com/football/genius-ronaldo-hat-trick-sends-portugal-into-nations-league-final/story-p2scDFZJxxktWm4BXZNaiL.html,3,0.15
Hindiustan Times, England beat Switzerland on penalties to finish third in UEFA Nations League,football,2019-06-09,22:39:00,https://www.hindustantimes.com/football/england-beat-switzerland-on-penalties-to-finish-third-in-uefa-nations-league/story-ju3j1JVBBtOYET7sRu75KO.html,3,0.18
Hindiustan Times, From dark alleys to midnight league,football,2019-06-04,20:20:00,https://www.hindustantimes.com/football/from-dark-alleys-to-midnight-league/story-TKzgV5e6foAQ8cPmo8SG8I.html,3,0.16
