Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Lahiri exits Woodland takes lead from Rose Koepka lurks close by,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/anirban-lahiri-exits-gary-woodland-takes-lead-from-justin-rose-brooks-koepka-lurks-close-by/articleshow/69800337.cms,0,1.0
Time of India, Aditi Ashok wins inaugural Qatar Ladies Open,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/Aditi-Ashok-wins-inaugural-Qatar-Ladies-Open/videoshow/55645682.cms,1,1.0
Time of India, Tiger Woods primed for return to site of greatest performance,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/tiger-woods-primed-for-return-to-site-of-greatest-performance/articleshow/69730522.cms,2,0.62
Time of India, Anirban Lahiri qualifies for his third US Open,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/anirban-lahiri-qualifies-for-his-third-us-open/articleshow/69646730.cms,3,0.56
Time of India, Aditi Ashok finds form lies Tied 9th provisionally on LPGA,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/aditi-ashok-finds-form-lies-tied-9th-provisionally-on-lpga/articleshow/69800803.cms,4,0.63
Time of India, Golf legend Arnold Palmer dead at age 87,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/Golf-legend-Arnold-Palmer-dead-at-age-87/videoshow/54523225.cms,5,1.0
Time of India, Golfer Jyoti Randhawa arrested for poaching,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/golfer-jyoti-randhawa-arrested-for-poaching/videoshow/67253871.cms,6,1.0
Time of India, Consistent Shiv Kapur clinches Panasonic Open India title,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/consistent-shiv-kapur-clinches-panasonic-open-india-title/videoshow/61529126.cms,7,0.6
Time of India, Gary Woodland denies Brook Koepka with three stroke US Open triumph,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/gary-woodland-denies-brook-koepka-with-three-stroke-us-open-triumph/articleshow/69819875.cms,8,0.62
Time of India, Aditi Ashok shoots 65 in second round but slips in third round on LPGA,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/aditi-ashok-shoots-65-in-second-round-but-slips-in-third-round-on-lpga/articleshow/69813061.cms,9,1.0
Time of India, Six Indian golfers surge ahead in world rankings,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/six-indian-golfers-surge-ahead-in-world-rankings/videoshow/62168356.cms,10,1.0
Time of India, Anisha Padukone faces pressure of famous surname,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/anisha-padukone-faces-pressure-of-famous-surname/videoshow/62934352.cms,11,1.0
Time of India, 14 year old Indian boy wins US Kids Junior Golf World Championship 2018,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/14-year-old-indian-boy-wins-us-kids-junior-golf-world-championship-2018/videoshow/67221037.cms,12,1.0
Time of India, American Patrick Cantlay claims Memorial win by two strokes,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/american-patrick-cantlay-claims-memorial-win-by-two-strokes/articleshow/69626790.cms,13,1.0
Time of India, Aditi Ashok scripts history wins Womens Indian Open,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/golf/Aditi-Ashok-scripts-history-wins-Womens-Indian-Open/videoshow/55404486.cms,14,0.7
Time of India, Tiger Woods joined by Justin Rose Jordan Spieth on first two days at US Open,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/tiger-woods-joined-by-justin-rose-jordan-spieth-on-first-two-days-at-us-open/articleshow/69686407.cms,15,1.0
Time of India, Lahiri struggles to 74 Rose blooms with 65 in US Open,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/lahiri-struggles-to-74-rose-blooms-with-65-in-us-open/articleshow/69791141.cms,16,1.0
Time of India, Sharmila Nicollet starts with even par 72 in first round of Fortsyth Classic,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/top-stories/sharmila-nicollet-starts-with-even-par-72-in-first-round-of-fortsyth-classic/articleshow/69801223.cms,17,1.0
Time of India, Lahiri signs off 52nd Shubhankar ends 62nd at Memorial,golf,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/golf/golf-anirban-lahiri-signs-off-52nd-shubhankar-sharma-ends-62nd-at-memorial/articleshow/69632037.cms,18,1.0
