Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, FIH Series Finals India to face Asian Games winners Japan in semis,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/fih-series-finals-india-to-face-asian-games-winners-japan-in-semis/articleshow/69761149.cms,0,0.37
Time of India, FIH Hockey Series Finals India quell Polish challenge,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/fih-hockey-series-finals-india-quell-polish-challenge/articleshow/69700038.cms,0,0.33
Time of India, FIH Series Finals India South Africa set for a different final,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/fih-series-finals-india-south-africa-set-for-a-different-final/articleshow/69798951.cms,0,0.31
Time of India, FIH Series Finals India rout the Uzbeks to storm into semis,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/fih-series-finals-india-rout-the-uzbeks-to-storm-into-semis-but-questions-remain/articleshow/69729208.cms,0,0.35
Time of India, Indian womens hockey team beats Uruguay 4 1 in FIH Series Finals opener,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/indian-womens-hockey-team-beats-uruguay-4-1-in-fih-series-finals-opener/articleshow/69802963.cms,1,0.53
India Today, Indian womens hockey team end series with 0 4 loss to South Korea After two back to back wins Indian womens hockey team lost 0 4 to South Korea in the third and final game of the series,hockey,2019-06-17,14:59:00,https://www.indiatoday.in/sports/hockey/story/hockey-series-india-lose-south-africa-0-4-1533752-2019-05-24,1,0.56
Time of India, Japan mens hockey team visits Dhauli Shanti Stupa,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/japan-mens-hockey-team-visits-dhauli-shanti-stupa/articleshow/69776940.cms,2,1.0
Time of India, FIH Series Finals Russia scrape past Poland 3 2 to finish second in Pool A,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/fih-series-finals-russia-scrape-past-poland-3-2-to-finish-second-in-pool-a/articleshow/69714556.cms,3,0.59
Time of India, Indian mens junior hockey team loses 1 2 to Great Britain,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/indian-mens-junior-hockey-team-loses-1-2-to-great-britain/articleshow/69816386.cms,4,0.75
Time of India, FIH Series Finals India coach Graham Reid guarantees no let up,hockey,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/hockey/top-stories/fih-series-finals-india-coach-graham-reid-guarantees-no-let-up/articleshow/69741180.cms,5,0.41
