Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, India thrash Pakistan to make it 7 0 at World Cup,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/india-thrash-pakistan-to-maintain-perfect-world-cup-record/videoshow/69821903.cms,0,1.0
Time of India, World Cup 2019 Getting Babar Azam out was dream delivery says Kuldeep Yadav,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/world-cup-2019-getting-babar-azam-out-was-dream-delivery-says-kuldeep-yadav/articleshow/69819053.cms,1,1.0
Time of India, Holder calls for consistency ahead of Bangladesh game,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/world-cup-jason-holder-calls-for-consistency-ahead-of-bangladesh-game/videoshow/69815996.cms,2,1.0
Time of India, India vs Pakistan Rohit Kuldeep ensure India maintain clean slate against Pakistan in World Cup,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/india-vs-pakistan-rohit-kuldeep-ensure-india-maintain-clean-slate-against-pakistan-in-world-cup/articleshow/69817462.cms,3,0.33
Time of India, Ill tell you when Im their coach Rohit Sharma on advice to Pakistan,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/ill-tell-you-when-im-their-coach-rohit-sharma-on-advice-to-pakistan/videoshow/69820431.cms,3,0.29
Time of India, World Cup heroics are childs play for Rohit Sharma,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/world-cup-heroics-are-childs-play-for-india-star-rohit-sharma/articleshow/69819316.cms,3,0.28
Time of India, Watch Rohit Sharma ’ s cheeky response to Pakistan ‘ crisis ’ situation,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/watch-rohit-sharmas-cheeky-response-to-pakistan-crisis-situation/articleshow/69822618.cms,3,0.3
Time of India, India vs Pakistan ICC World Cup 2019 Rohit Sharma in illustrious band of batsmen at Old Trafford,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/india-vs-pakistan-icc-world-cup-2019-rohit-sharma-in-illustrious-band-of-batsmen-at-old-trafford/articleshow/69819442.cms,4,0.69
Time of India, Finch Starc shine as Australia beat Sri Lanka in World Cup,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/finch-starc-shine-as-australia-beat-sri-lanka-in-world-cup/videoshow/69808506.cms,5,0.59
Time of India, It is hurting Sarfaraz Ahmed on defeat by India at World Cup,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-videos/it-is-hurting-sarfaraz-ahmed-on-defeat-by-india-at-world-cup/videoshow/69820247.cms,6,0.61
Time of India, England vs Afghanistan Preview World Cup 2019 England look to get closer to semis Afghanistan aim revival,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/afghanistan/news/world-cup-2019-england-look-to-get-closer-to-semis-afghanistan-aim-revival/articleshow/69822550.cms,7,1.0
Time of India, India vs Pakistan World Cup 2019 I never lost my rhythm says Kuldeep Yadav,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/world-cup-2019-i-never-lost-my-rhythm-says-kuldeep-yadav/articleshow/69821061.cms,8,0.53
Time of India, India vs Pakistan World Cup 2019 Sarfaraz Ahmed was confused Pakistan lacked imagination says Sachin Tendulkar,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/india/news/world-cup-2019-sarfaraz-ahmed-was-confused-pakistan-lacked-imagination-says-sachin-tendulkar/articleshow/69820820.cms,8,0.53
Time of India, India vs Pakistan World Cup 2019 Adaptability helped me thrive against Pakistan says Vijay Shankar,icc wc 2019,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/teams/pakistan/news/world-cup-2019-adaptability-helped-me-thrive-against-pakistan-says-vijay-shankar/articleshow/69821439.cms,8,0.54
