Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Sports minister joins athletes at JLN stadium for jog breakfast,others,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/others/sports-minister-joins-athletes-at-jawaharlal-nehru-stadium-for-jog-breakfast/articleshow/69788488.cms,0,0.08
India Today, Dipa Karmakar will return to gymnastics only when fully fit CoachWith Dipa Karmakars participation uncertain at the 2020 Tokyo Olympics coach Bisweswar Nandi said the gymnast was doing everything possible to return as soon as possible after a knee injury,others,2019-06-17,14:59:00,https://www.indiatoday.in/sports/other-sports/story/dipa-karmakar-knee-injury-2020-tokyo-olympics-participation-1532858-2019-05-23,0,0.07
Hindiustan Times, Babita Phogat I ’ ll come to Delhi for my wedding shopping,others,2019-06-11,12:08:00,https://www.hindustantimes.com/other-sports/babita-phogat-i-ll-come-to-delhi-for-my-wedding-shopping/story-fBXwAU4wk5IDtxE724DR1I.html,0,0.07
Time of India, Indian archers bag four berths for Tokyo Paralympics,others,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/others/indian-archers-bag-four-berths-for-tokyo-paralympics/articleshow/69694392.cms,0,0.06
Indian Express, PSG consider Neymar sale as chairman Nasser Al Khelaifi sends warning to players Reports,others,2019-06-17,13:40:00:00,https://indianexpress.com/article/sports/football/psg-consider-neymar-sale-as-al-khelaifi-sends-warning-to-players-5784345/,0,0.06
Hindiustan Times, Vettel shows spirit in Canada,others,2019-06-12,09:47:00,https://www.hindustantimes.com/other-sports/vettel-shows-spirit-in-canada/story-Tym5VRT1upqJl3fEOeCFBK.html,0,0.07
Hindiustan Times, Canadian GP Sebastian Vettel takes pole ahead of Lewis Hamilton,others,2019-06-09,01:22:00,https://www.hindustantimes.com/other-sports/canadian-gp-sebastian-vettel-takes-pole-ahead-of-lewis-hamilton/story-Bu07kiz54ohIXyCXQmIIUL.html,0,0.07
Hindiustan Times, Consistency is key need to be wary of all opponents,others,2019-05-30,16:25:00,https://www.hindustantimes.com/other-sports/consistency-is-key-need-to-be-wary-of-all-opponents/story-zBBAQr8rHTX2vJmtDoUtbN.html,0,0.07
Hindiustan Times, Aditi makes cut at the US Women ’ s Open,others,2019-06-01,14:18:00,https://www.hindustantimes.com/other-sports/aditi-makes-cut-at-the-us-women-s-open/story-dWrNuSyKdAzPuvboBVOnFN.html,0,0.07
India Today, Munich World Cup Manu Bhaker secures Olympic quota in shootingIndian shooters are competing for 12 of the 17 Tokyo Olympic quotas available in Munich having already secured seven quota places in rifle and pistol competitions,others,2019-06-17,14:59:00,https://www.indiatoday.in/sports/other-sports/story/munich-world-cup-manu-bhaker-secures-olympic-quota-in-shooting-1537774-2019-05-29,0,0.05
