Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Fans queue up to say last goodbye to racing legend Niki Lauda in Vienna,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/fans-queue-to-say-last-goodbye-to-racing-legend-niki-lauda-in-vienna/articleshow/69556692.cms,0,1.0
Time of India, Ferrari plan appeal after Sebastian Vettel second place furore,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/ferrari-plan-appeal-after-sebastian-vettel-second-place-furore/articleshow/69728085.cms,1,0.67
Time of India, Abu Dhabi Tour Elia Viviani sprints his way to Stage 2,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/abu-dhabi-tour-elia-viviani-sprints-his-way-to-stage-2/videoshow/63031984.cms,2,1.0
Time of India, Marc Marquez snatches pole for Italian MotoGP,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/marc-marquez-snatches-pole-for-italian-motogp/articleshow/69612504.cms,3,0.63
Time of India, Practice abandoned in smoggy Shanghai,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/practice-abandoned-in-smoggy-shanghai/videoshow/58065922.cms,4,1.0
Time of India, Abu Dhabi Tour 2018 Stage 5 highlights,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/abu-dhabi-tour-2018-stage-5-highlights/videoshow/63071302.cms,5,0.96
Time of India, Abu Dhabi Tour Stage 3 highlights,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/abu-dhabi-tour-stage-3-highlights/videoshow/63049058.cms,5,0.91
Time of India, F1 Lewis Hamilton fastest in first practice in Canada,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/f1-lewis-hamilton-fastest-in-first-practice-in-canada/articleshow/69695482.cms,6,0.41
Time of India, Lewis Hamilton wants F1 to be more of a mans sport,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/lewis-hamilton-wants-f1-to-be-more-of-a-mans-sport/articleshow/69686253.cms,6,0.39
Time of India, Alex Marquez wins Moto2 in Mugello,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/alex-marquez-wins-moto2-in-mugello/articleshow/69620968.cms,7,0.54
Time of India, Vettel takes pole ahead of Hamilton in Canada,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/vettel-takes-pole-ahead-of-hamilton-in-canada/articleshow/69708428.cms,8,0.37
Time of India, Canadian Grand Prix Hamilton takes controversial win after Vettel penalised,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/canadian-grand-prix-lewis-hamilton-takes-controversial-win-after-sebastian-vettel-penalised/articleshow/69719249.cms,8,0.34
Time of India, This is the wrong world Vettel fumes at costly penalty in Canadiam GP,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/this-is-the-wrong-world-sebastian-vettel-fumes-at-costly-penalty-in-canadiam-grand-prix/articleshow/69720026.cms,8,0.31
Time of India, Formula One Hamilton recognises his performance is affected by title,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/formula-one-hamilton-recognises-his-performance-is-affected-by-title/videoshow/61818567.cms,9,0.54
Time of India, Off roaders Abhilasha and Arjun share their experience,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/off-roaders-abhilasha-and-arjun-share-their-experience/videoshow/61541520.cms,10,1.0
Time of India, Exclusive Daniel Ricciardo interview,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/exclusive-daniel-ricciardo-interview/videoshow/57614659.cms,11,1.0
Time of India, Fernando Alonso takes second Le Mans 24 Hours win with Toyota,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/racing/top-stories/fernando-alonso-takes-second-le-mans-24-hours-win-with-toyota/articleshow/69814118.cms,12,1.0
Time of India, Coimbatore witnesses adrenaline rush at National Racing Championship,racing,2019-06-17,14:58,https://timesofindia.indiatimes.com/videos/sports/racing/coimbatore-witnesses-adrenaline-rush-at-national-racing-championship/videoshow/60364969.cms,13,1.0
