Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Rahi Sarnobat Saurabh Chaudhary shoot World Cup golds,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/rahi-sarnobat-saurabh-chaudhary-shoot-world-cup-golds/articleshow/69530480.cms,0,0.59
Time of India, Indian shooters vie for top honours in ISSF World Cup,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/indian-shooters-vie-for-top-honours-in-issf-world-cup/articleshow/69495637.cms,1,1.0
Time of India, Apurvi Chandela attains top position in 10m air rifle rankings,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/apurvi-chandela-attains-top-position-in-10m-air-rifle-rankings/articleshow/69126579.cms,2,0.65
Time of India, I have never shot the scores Saurabh has been shooting Jitu Rai,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/i-have-never-shot-the-scores-saurabh-has-been-shooting-jitu-rai/articleshow/69408611.cms,3,1.0
Time of India, Shagun best placed Indian in womens trap at Changwon Shotgun World Cup,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/shagun-best-placed-indian-in-womens-trap-at-changwon-shotgun-world-cup/articleshow/69324781.cms,4,0.6
Time of India, Divyansh Singh Panwar Another teenage Indian top gun who could be destined for great things,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/divyansh-singh-panwar-another-teenage-indian-top-gun-who-could-be-destined-for-great-things/articleshow/69114139.cms,5,1.0
Time of India, Mairaj Ahmad Khan misses mens skeet final at Shotgun World Cup,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/mairaj-ahmad-khan-misses-mens-skeet-final-at-shotgun-world-cup/articleshow/69283597.cms,6,1.0
Time of India, Shooter Panwar included in TOPS core group,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/shooter-panwar-included-in-tops-core-group/articleshow/69564858.cms,7,1.0
Time of India, Manu Bhaker secures Indias 7th Olympic quota in shooting,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/manu-bhaker-secures-indias-7th-olympic-quota-in-shooting/articleshow/69564458.cms,8,0.63
Time of India, Winning medals because of my effort to keep getting better Apurvi Chandela,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/winning-medals-because-of-my-effort-to-keep-getting-better-apurvi-chandela/articleshow/69514650.cms,9,1.0
Time of India, Shooting is a lonely sport Heena Sidhu,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/shooting-is-a-lonely-sport-heena-sidhu/articleshow/69533089.cms,10,1.0
Time of India, From hobby shooter at 25 to a champion at 29 Abhishek Verma walks the talk,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/from-hobby-shooter-at-25-to-a-champion-at-29-abhishek-verma-walks-the-talk/articleshow/69370121.cms,11,1.0
Time of India, Carrying no regrets helps me the most says ace shooter Anjum Moudgil,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/carrying-no-regrets-helps-me-the-most-says-ace-shooter-anjum-moudgil/articleshow/69323492.cms,12,1.0
Time of India, Shotgun World Cup Kynan Prithviraj lead mens trap qualification,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/shotgun-world-cup-kynan-prithviraj-lead-mens-trap-qualification/articleshow/69342185.cms,13,0.65
Time of India, Leukaemia survivor Aronyatesh targets bullseye at World Childrens Winners Games,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/leukaemia-survivor-aronyatesh-targets-bullseye-at-world-childrens-winners-games/articleshow/69759562.cms,14,1.0
Time of India, Shotgun WC Sheeraz Sheikh records perfect opening day in mens skeet,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/sheeraz-sheikh-records-perfect-opening-day-in-mens-skeet-in-korea/articleshow/69267144.cms,15,1.0
Time of India, Apurvi Chandela On top of the world but prefers to stay grounded,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/apurvi-chandela-on-top-of-the-world-but-prefers-to-stay-grounded/articleshow/69304835.cms,16,1.0
Time of India, Shotgun shooters accuse national coach of partiality conflict of interest,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/shotgun-shooters-accuse-national-coach-of-partiality-conflict-of-interest/articleshow/69696065.cms,17,1.0
Time of India, India sweep mixed team titles to conclude best ever Shooting World Cup performance,shooting,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/shooting/india-sweep-mixed-team-titles-to-conclude-best-ever-shooting-world-cup-performance/articleshow/69586004.cms,18,0.65
