Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Gilchrist masterclass denies Kothari a double,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/gilchrist-masterclass-denies-kothari-a-double/articleshow/69791391.cms,0,1.0
Time of India, India leg of Asian Snooker Tour postponed indefinitely over Pakistan players visa issues,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/india-leg-of-asian-snooker-tour-postponed-indefinitely-over-pakistan-players-visa-issues/articleshow/68136324.cms,1,0.62
Time of India, Pankaj Advani knocked out of Asian Championship,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/pankaj-advani-knocked-out-of-asian-championship/articleshow/69151821.cms,2,0.66
Time of India, Digvijay first cueist from Haryana to win national sub junior snooker title,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/digvijay-first-cueist-from-haryana-to-win-national-sub-junior-snooker-title/articleshow/67643468.cms,3,0.59
Time of India, Sourav Kothari storms into final of international billiards meet,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/sourav-kothari-storms-into-final-of-international-billiards-meet/articleshow/69777169.cms,4,0.62
Time of India, CCI Snooker Pankaj Advani zooms past Manav Panchal,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/cci-snooker-pankaj-advani-zooms-past-manav-panchal/articleshow/68430753.cms,5,0.65
Time of India, In strife torn Syria snooker is a lifeline for teen cueist Yazan,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/in-strife-torn-syria-snooker-is-a-lifeline-for-teen-cueist-yazan/articleshow/69156409.cms,6,1.0
Time of India, Cueist Amee Kamani to participate in World Team Trophy,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/cueist-amee-kamani-to-participate-in-world-team-trophy/articleshow/67702116.cms,7,1.0
Time of India, Pankaj Advani wins inaugural Asian Snooker Tour title,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/pankaj-advani-wins-inaugural-asian-snooker-tour-title/articleshow/69046802.cms,8,0.94
Time of India, Cant take anything for granted says World Champion Pankaj Advani,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/cant-take-anything-for-granted-says-world-champion-pankaj-advani/articleshow/69076290.cms,9,1.0
Time of India, Pankaj Advani remains on course at Asian Billiards,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/pankaj-advani-remains-on-course-at-asian-billiards/articleshow/69132915.cms,10,0.66
Time of India, Pankaj Advani closes in on grand double World Billiards titles,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/pankaj-advani-closes-in-on-grand-double-world-billiards-titles/articleshow/66672514.cms,11,0.66
Time of India, Pankaj Advani to contest BSFI polls,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/pankaj-advani-to-contest-bsfi-polls/articleshow/68420427.cms,12,1.0
Time of India, Pankaj Advani enters finals of Senior Snooker National,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/pankaj-advani-enters-finals-of-senior-snooker-national/articleshow/67918619.cms,13,1.0
Time of India, Indian Open Bingham gets his lines right,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/indian-open-bingham-gets-his-lines-right/articleshow/68195086.cms,14,1.0
Time of India, Sourav Kothari confident about cue sports inclusion in 2024 Olympics,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/sourav-kothari-confident-about-cue-sports-inclusion-in-2024-olympics/articleshow/67097335.cms,15,1.0
Time of India, Sourav Kothari makes last 32 in World 6 Red Snooker Championship,snooker-billiards,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/snooker/billiards/sourav-kothari-makes-last-32-in-world-6-red-snooker-championship/articleshow/67180852.cms,16,1.0
