Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Roland Garros runner up Thiem pulls out of Halle event,tennis,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/tennis/top-stories/roland-garros-runner-up-thiem-pulls-out-of-halle-event/articleshow/69790590.cms,0,0.53
Hindiustan Times, Rafael Nadal demolishes Kei Nishikori to set up French Open semi final showdown,tennis,2019-06-04,23:11:00,https://www.hindustantimes.com/tennis/rafael-nadal-demolishes-kei-nishikori-to-set-up-french-open-semi-final-showdown/story-5hxgcMzAHofjbYsmN92t6L.html,1,0.47
Hindiustan Times, Record setting Novak Djokovic into French Open last eight Kei Nishikori to face Rafael Nadal,tennis,2019-06-03,18:51:00,https://www.hindustantimes.com/tennis/record-setting-novak-djokovic-into-french-open-last-eight-kei-nishikori-to-face-rafael-nadal/story-R1rTgWVHFzBXdzSlkZLuRI.html,1,0.41
Time of India, Murray to face top seeds in Queens Club doubles return,tennis,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/tennis/top-stories/murray-to-face-top-seeds-in-queens-club-doubles-return/articleshow/69803141.cms,2,0.39
Hindiustan Times, ‘ It ’ s baby steps just now ’ Andy Murray aims for singles return this year,tennis,2019-06-12,20:16:00,https://www.hindustantimes.com/tennis/it-s-baby-steps-just-now-andy-murray-aims-for-singles-return-this-year/story-fFyCM2sSzeStfo6p4fnofK.html,2,0.7
Hindiustan Times, French Open 2019 Dominic Thiem beats Novak Djokovic to enter final,tennis,2019-06-08,19:50:00,https://www.hindustantimes.com/tennis/french-open-2019-dominic-thiem-beats-novak-djokovic-to-enter-final/story-dq29UyaQ2I9cdPuWJnP8BJ.html,3,0.19
Hindiustan Times, French Open 2019 Novak Djokovic to face Dominic Thiem for a spot in final,tennis,2019-06-06,21:04:00,https://www.hindustantimes.com/tennis/french-open-2019-novak-djokovic-to-face-dominic-thiem-for-a-spot-in-final/story-5CQRbIxYDddYo6wJaVfH3K.html,3,0.17
Hindiustan Times, Perth confirmed as host for Fed Cup final,tennis,2019-06-17,14:46:00,https://www.hindustantimes.com/tennis/perth-confirmed-as-host-for-fed-cup-final/story-w7AcqjEziIVXt5pjdeYJ5N.html,3,0.2
India Today, Rafael Nadal vs Dominic Thiem Live Streaming French Open 2019 Final BroadcastIt is a contest between Dominic Thiem who is aiming to win his maiden major crown and Rafael Nadal who is a 17 time Grand Slam champion and is bidding for a record extending French Open title It is a repeat of the 2018 final on June 9 in Paris,tennis,2019-06-17,14:59:00,https://www.indiatoday.in/sports/tennis/story/french-open-2019-rafael-nadal-vs-dominic-thiem-when-and-where-live-streaming-1545425-2019-06-09,3,0.21
India Today, French Open 2019 Djokovic Thiem resume semifinal womens final followsNovak Djokovic and Dominic Thiem have split the first two sets then Thiem went up by a break in the third before play was halted Friday due to rain Theyre scheduled to resume in Court Philippe Chatrier on Saturday,tennis,2019-06-17,14:59:00,https://www.indiatoday.in/sports/tennis/story/french-open-2019-novak-djokovic-dominic-thiem-match-suspended-women-s-final-1544915-2019-06-08,3,0.17
Time of India, Bopanna Shapovalov pair loses Mercedes Cup final,tennis,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/tennis/top-stories/rohan-bopanna-denis-shapovalov-pair-loses-mercedes-cup-final/articleshow/69815261.cms,3,0.21
