Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Bajrang Punia wins gold at Ali Aliyev wrestling tournament,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/bajrang-punia-wins-gold-at-ali-aliyev-wrestling-tournament/articleshow/69151955.cms,0,0.64
Time of India, Three Indian women enter bronze medal playoffs at Asian Wrestling,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/three-indian-women-enter-bronze-medal-playoffs-at-asian-wrestling/articleshow/69040139.cms,1,1.0
Time of India, Sushil Kumar gives Asian Wrestling Championship a miss,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/sushil-kumar-gives-asian-wrestling-championship-a-miss/articleshow/68476522.cms,2,0.32
Time of India, India finish with 16 medals at Asian Wrestling Championships,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/harpreet-bags-silver-gyanender-wins-bronze-as-india-finish-with-16-medals-at-asian-wrestling-championships/articleshow/69083998.cms,2,0.38
Time of India, World wrestling body asks all national federations to suspend dealing with India,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/world-wrestling-body-asks-all-national-federations-to-suspend-dealing-with-india/articleshow/68261136.cms,3,1.0
Time of India, Bajrang Punia Vinesh Phogat nominated for Khel Ratna by wrestling federation,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/bajrang-punia-vinesh-phogat-nominated-for-khel-ratna-by-wrestling-federation/articleshow/69095471.cms,4,1.0
Time of India, Wrestler Ritu Phogat dropped from Target Olympic Podium Scheme,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/wrestler-ritu-phogat-dropped-from-target-olympic-podium-scheme/articleshow/68483720.cms,5,1.0
Time of India, WFIs diktat Coaches will be banned if wrestlers found doping,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/wfis-diktat-coaches-will-be-banned-if-wrestlers-found-doping/articleshow/69277734.cms,6,1.0
Time of India, The Bhaarandaaz daav and Bajrang Punias gold in 60 seconds,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/the-bhaarandaaz-daav-and-bajrang-punias-gold-in-60-seconds/articleshow/69034644.cms,7,1.0
Time of India, Valiant Bajrang Punia falls short at Madison Square Garden,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/valiant-bajrang-punia-falls-short-at-madison-square-garden/articleshow/69229869.cms,8,1.0
Time of India, Rattled WFI seeks govt assurances to keep junior Asian Championships in India,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/rattled-wfi-seeks-govt-assurances-to-keep-junior-asian-championships-in-india/articleshow/68267431.cms,9,0.58
Time of India, Wrestler Bajrang Punia sets eyes on Tokyo Olympics gold,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/wrestler-bajrang-punia-sets-eyes-on-tokyo-olympics-gold/articleshow/68637554.cms,10,0.61
Time of India, Asian wrestling Silver lining for Amit Dhankar Vicky Chahar,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/asian-wrestling-silver-lining-for-amit-dhankar-vicky-chahar/articleshow/69036215.cms,11,1.0
Time of India, WFI to bolster support staff ahead of 2020 Olympics,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/wrestling-federation-of-india-to-bolster-support-staff-ahead-of-2020-olympics/articleshow/68834934.cms,12,1.0
Time of India, Asian Championship is the next challenge for Vinesh Phogat Bajrang Punia,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/asian-championship-is-the-next-challenge-for-vinesh-phogat-bajrang-punia/articleshow/68451608.cms,13,1.0
Time of India, Bajrang Punia to be first Indian wrestler at New York fight night,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/bajrang-punia-to-be-first-indian-wrestler-at-new-york-fight-night/articleshow/69067162.cms,14,1.0
Time of India, Sakshi Bajrang to lead Indias challenge at Asian Wrestling,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/sakshi-malik-bajrang-punia-to-lead-indias-challenge-at-asian-wrestling-championships/articleshow/68990838.cms,15,1.0
Time of India, Asian Cships Vinesh Phogat settles for bronze in new weight category,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/sakshi-malik-vinesh-phogat-finish-on-podium-indian-women-bag-4-bronze-medals-in-asian-championships/articleshow/69059176.cms,16,1.0
Time of India, Kakran Manju hand India twin bronze medals in Asian Cships,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/kakran-manju-hand-india-twin-bronze-medals-in-asian-wrestling-championships/articleshow/69044366.cms,17,1.0
Time of India, World bodys diktat on Wrestling Federation of India is not exceptional,wrestling,2019-06-17,14:58,https://timesofindia.indiatimes.com/sports/more-sports/wrestling/world-bodys-diktat-on-wrestling-federation-of-india-is-not-exceptional-uww-president/articleshow/68306256.cms,18,1.0
