Source,Heading,Category,Date,Time,URL
Hindiustan Times,"India vs Pakistan, ICC World Cup 2019: Rohit Sharma, Kuldeep Yadav star as India crush hapless Pakistan - Watch highlights of match",cricket,2019-06-17,09:23:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-rohit-sharma-kuldeep-yadav-star-as-india-crush-hapless-pakistan-watch-highlights-of-match/story-u2SYf99q26jKRs5oBVUdvI.html
Hindiustan Times,"ICC World Cup 2019: Bhuvneshwar Kumar ruled for next 2-3 days, says India captain Kohli",cricket,2019-06-17,08:14:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-bhuvneshwar-kumar-ruled-out-of-india-s-next-2-3-days-says-kohli/story-jWeseAyzY9rnWGhCNwjDgP.html
Hindiustan Times,"India vs Pakistan, ICC World Cup 2019: Rohit Sharma ton, Kuldeep Yadav magic delivery inspire India’s commanding win over Pakistan",cricket,2019-06-17,09:04:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-rohit-sharma-ton-kuldeep-yadav-magic-delivery-inspire-india-s-crushing-win-over-pakistan/story-kBhR3q5Psxi4zsjXwDDL0M.html
Hindiustan Times,"India vs Pakistan, ICC World Cup 2019: Shoaib Akhtar slams Sarfaraz Ahmed’s ‘brainless captaincy’ following loss",cricket,2019-06-17,14:39:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-shoaib-akhtar-slams-sarfaraz-ahmed-s-brainless-captaincy-following-loss/story-kT1hZMjqFVURBhMLQEKbFI.html
Hindiustan Times,"India vs Pakistan, ICC World Cup 2019: Was Virat Kohli imitating Sarfaraz Ahmed in the dugout?",cricket,2019-06-17,14:29:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-was-virat-kohli-imitating-sarfaraz-ahmed-in-the-dugout/story-yOtcr8HetUDo8m2rcs9mMK.html
Hindiustan Times,"Pakistani journalist asks Rohit Sharma to advise Sarfaraz & Co, his answer leaves everyone in splits - Watch",cricket,2019-06-17,14:12:00,https://www.hindustantimes.com/cricket/pakistani-journalist-asks-rohit-sharma-to-advise-sarfaraz-co-his-answer-leaves-everyone-in-splits-watch/story-ftXGvL0QMrmWoMPfe1oDzN.html
Hindiustan Times,"West Indies va Bangladesh, Live Score, ICC World Cup 2019: Bangladesh win toss, bowl first",cricket,2019-06-17,14:45:00,https://www.hindustantimes.com/cricket/west-indies-vs-bangladesh-icc-cricket-world-cup-2019-live-cricket-score-at-taunton/story-tszmDbCEMtNYGXGL4AeCnL.html
Hindiustan Times,"India vs Pakistan, ICC World Cup 2019: Elevated KL Rahul looks the part as Rohit’s partner for India",cricket,2019-06-17,13:00:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-elevated-kl-rahul-looks-the-part-as-rohit-s-partner-for-india/story-7Hx2ASqhHNm76yMZeXLYOJ.html
Hindiustan Times,ICC World Cup 2019: This Indian side starting to seem like West Indies of 70s - Kris Srikkanth,cricket,2019-06-17,12:50:00,https://www.hindustantimes.com/cricket/icc-world-cup-2019-this-indian-side-starting-to-seem-like-west-indies-of-70s-kris-srikkanth/story-t8JlZWhSbfq10vFF6MbDgI.html
Hindiustan Times,"India vs Pakistan, ICC World Cup 2019: We were a good team in 90’s, now India are better, concedes Sarfaraz Ahmed",cricket,2019-06-17,12:25:00,https://www.hindustantimes.com/cricket/india-vs-pakistan-icc-world-cup-2019-we-were-a-good-team-in-90-s-now-india-are-better-concedes-sarfaraz-ahmed/story-ANjP4BTC3DCYY5KZM3na5H.html
