Newspaper,Heading,Date,Time,URL
Time of India,"RBSE 12th result 2019 Arts declared @ rajresults.nic.in, check direct here",2019-05-22,19:48:00,https://timesofindia.indiatimes.com/home/education/news/rajasthan-board-class-12th-arts-results-announced-rajresults-nic-in-girls-outshine-boys/articleshow/69443861.cms
Time of India,"Rajasthan RBSE 12th Arts result released @ rajresults.nic.in, check details here",2019-05-22,19:44:00,https://timesofindia.indiatimes.com/home/education/news/rajasthan-rbse-12th-arts-result-declared-rajresults-nic-in/articleshow/69438688.cms
Time of India,"Kurukshetra University Proctorial Board rusticates 8 students, following death of a Pharmacy student after violence on campus",2019-05-22,19:34:00,https://timesofindia.indiatimes.com/home/education/news/kurukshetra-university-proctorial-board-rusticates-8-students-following-death-of-a-pharmacy-student-after-violence-on-campus/articleshow/69447477.cms
Time of India,ICSI admit card 2019 for CS June exam released at icsi.in; check here,2019-05-22,19:31:00,https://timesofindia.indiatimes.com/home/education/news/icsi-admit-card-2019-for-cs-june-exam-released-at-icsi-in-check-here/articleshow/69447431.cms
Time of India,Telangana ECET 2019 result declared; 90.32% pass,2019-05-22,19:02:00,https://timesofindia.indiatimes.com/home/education/news/telangana-ecet-2019-result-declared-90-32-pass/articleshow/69447074.cms
Time of India,"NIOS D.El.Ed 4th Semester Result 2019 declared @ dled.nios.ac.in, download here",2019-05-22,18:58:00,https://timesofindia.indiatimes.com/home/education/news/nios-d-el-ed-4th-semester-result-2019-declared-dled-nios-ac-in-heres-direct-link/articleshow/69444525.cms
Time of India,TS DOS notification 2019 released; online registration to begin tomorrow,2019-05-22,18:54:00,https://timesofindia.indiatimes.com/home/education/news/ts-dos-notification-2019-released-online-registration-to-begin-tomorrow/articleshow/69446951.cms
Time of India,MP's Bhawna completes Mt Everest summit,2019-05-22,18:19:00,https://timesofindia.indiatimes.com/home/education/news/mps-bhawna-completes-mt-everest-summit/articleshow/69446465.cms
Time of India,They shine in the Madhyamik board exam despite being from less privileged background,2019-05-22,18:12:00,https://timesofindia.indiatimes.com/home/education/news/they-shine-in-the-madhyamik-board-exam-despite-being-from-less-privileged-background/articleshow/69446424.cms
Time of India,"Chhattisgarh HC cancelled admission of PhD student, says merit can’t be compromised",2019-05-22,18:09:00,https://timesofindia.indiatimes.com/home/education/news/chhattisgarh-hc-cancelled-admission-of-phd-student-says-merit-cant-be-compromised/articleshow/69446365.cms
