Newspaper,Heading,Date,Time,URL
Time of India,Brand building: What we can learn from past trends to race ahead,2019-06-02,02:59:40,https://timesofindia.indiatimes.com/city/gurgaon/brand-building-what-we-can-learn-from-past-trends-to-race-ahead/articleshow/69615439.cms
Time of India,Dating app Tinder starts testing a ‘hack’ to get more matches,2019-06-01,03:25:07,https://timesofindia.indiatimes.com/gadgets-news/dating-app-tinder-starts-testing-a-hack-to-get-more-matches/articleshow/69606593.cms
Time of India,"MacBook Pro reportedly explodes, battery may be to blame",2019-06-01,03:16:41,https://timesofindia.indiatimes.com/gadgets-news/macbook-pro-reportedly-explodes-battery-may-be-to-blame/articleshow/69606504.cms
Time of India,How Google had to apologise over the Indian cricket team,2019-06-01,03:05:19,https://timesofindia.indiatimes.com/gadgets-news/how-google-had-to-apologise-over-the-indian-cricket-team/articleshow/69606385.cms
Time of India,PM’s 1st decision aids families of all martyrs,2019-06-01,05:01:04,https://timesofindia.indiatimes.com/india/pms-1st-decision-aids-families-of-all-martyrs/articleshow/69605536.cms
Time of India,Bangalore Times Fashion Week 2019 begins today,2019-05-31,18:35:00,https://timesofindia.indiatimes.com/city/bengaluru/bangalore-times-fashion-week-2019-begins-today/articleshow/69597350.cms
Time of India,TS ICET 2019 Answer Key released at icet.tsche.ac.in,2019-05-31,18:00:56,https://timesofindia.indiatimes.com/home/education/news/ts-icet-2019-answer-key-expected-to-be-out-today/articleshow/69553184.cms
Time of India,Huawei Nova 5i with triple rear camera spotted on GeekBench,2019-05-31,09:42:56,https://timesofindia.indiatimes.com/gadgets-news/huawei-nova-5i-with-triple-rear-camera-spotted-on-geekbench/articleshow/69595890.cms
Time of India,Xiaomi Redmi Note 5 receives Android 9 Pie update,2019-05-31,09:40:12,https://timesofindia.indiatimes.com/gadgets-news/xiaomi-redmi-note-5-receives-android-9-pie-update/articleshow/69595825.cms
Time of India,A fashion show at NIFT Gandhinagar,2019-05-31,09:00:49,https://timesofindia.indiatimes.com/entertainment/events/ahmedabad/a-fashion-show-at-nift-gandhinagar/articleshow/69595349.cms
Time of India,NIFT’s graduating batch exhibited their projects,2019-05-31,07:29:19,https://timesofindia.indiatimes.com/entertainment/events/ahmedabad/nifts-graduating-batch-exhibited-their-projects/articleshow/69594038.cms
Time of India,Why Huawei and Google may become friends again,2019-05-31,06:30:29,https://timesofindia.indiatimes.com/gadgets-news/why-huawei-and-google-may-become-friends-again/articleshow/69593194.cms
Time of India,Samsung Galaxy Note 10 may get this big design change,2019-05-31,08:31:22,https://timesofindia.indiatimes.com/gadgets-news/samsung-galaxy-note-10-may-get-this-big-design-change/articleshow/69593146.cms
Time of India,This is why Xiaomi’s number 1 tag does not bother Samsung,2019-05-31,07:43:19,https://timesofindia.indiatimes.com/gadgets-news/this-is-why-xiaomis-number-1-tag-does-not-bother-samsung/articleshow/69590370.cms
Time of India,More than 200 engineering faculty from across the country to learn advanced pedagogy at IITGN,2019-05-30,14:41:39,https://timesofindia.indiatimes.com/entertainment/events/ahmedabad/more-than-200-engineering-faculty-from-across-the-country-to-learn-advanced-pedagogy-at-iitgn/articleshow/69585262.cms
Time of India,GTU students selected to go to Tel Aviv Univ,2019-05-30,13:20:34,https://timesofindia.indiatimes.com/entertainment/events/ahmedabad/gtu-students-selected-to-go-to-tel-aviv-univ/articleshow/69583887.cms
Time of India,"Meizu 16Xs with triple rear camera, 4,000 mAh battery launched",2019-05-30,09:42:11,https://timesofindia.indiatimes.com/gadgets-news/meizu-16xs-with-triple-rear-camera-4000-mah-battery-launched/articleshow/69580038.cms
