Newspaper,Heading,Date,Time,URL
India Today,"    Apple WWDC 2019 begins today: India time, how to watch event live, what to expect",2019-06-03,14:44,https://timesofindia.indiatimes.comhttps://www.indiatoday.in/technology/news/story/apple-wwdc-2019-begins-today-india-time-how-to-watch-event-live-what-to-expect-1541222-2019-06-03
India Today,"    BlackBerry Messenger is now officially over, but BBMe will live on",2019-06-03,14:44,https://timesofindia.indiatimes.comhttps://www.indiatoday.in/technology/news/story/blackberry-messenger-is-now-officially-over-but-bbme-will-live-on-1540102-2019-06-01
India Today,"    iPhone 11, iPhone 11 Max mockup shows upcoming Apple phones with triple rear camera module",2019-06-03,14:44,https://timesofindia.indiatimes.comhttps://www.indiatoday.in/technology/news/story/apple-iphone-11-iphone-11-max-triple-camera-setup-launch-specs-1541197-2019-06-03
India Today," Two lakh Redmi K20 Pro units sold in China in first sale, may launch in India as Poco F2 Pro",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/2lakh-xiaomi-redmi-k20-pro-units-sold-first-sale-india-launch-poco-f2-pro-1541228-2019-06-03
India Today, Vodafone prepaid recharge plan of Rs 229 offers 2GB data daily for 28 days,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/vodafone-prepaid-recharge-plan-rs-229-data-calls-validity-1540071-2019-06-01
India Today, Realme 2 Pro Android Pie update now rolling out: Features and how to download,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/android-os/story/realme-2-pro-android-pie-update-now-rolling-out-features-and-how-to-download-1540030-2019-06-01
India Today, Samsung Galaxy A80 may launch in India next week as company holds preview events,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/samsung-galaxy-a80-launch-date-in-india-preview-event-specs-1539995-2019-06-01
India Today, WhatsApp says ads are coming to WhatsApp Stories in 2020,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/whatsapp-says-ads-are-coming-to-whatsapp-stories-in-2020-1536396-2019-05-28
India Today, Samsung Galaxy M40 full specs revealed ahead of June 11 launch in India,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/samsung-galaxy-m40-full-specification-leak-ahead-of-launch-date-in-india-1539970-2019-06-01
India Today," Oppo Reno to launch in India today: Specs, expected price and how to watch launch event live",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/oppo-reno-launch-in-india-specs-expected-price-launch-event-live-1536224-2019-05-28
India Today," OnePlus 7 is great value at Rs 32,999 but you should still spend extra for OnePlus 7 Pro",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/features/story/oneplus-7-pro-vs-oneplus-7-price-in-india-which-one-to-buy-1539960-2019-06-01
India Today, PUBG MOBILE is borrowing one exciting feature from Call of Duty Mobile in next update,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/pubg-mobile-is-borrowing-one-exciting-feature-from-call-of-duty-mobile-in-next-update-1539190-2019-05-31
India Today, Nokia 6.2 aka Nokia X71 may launch in India on June 6: What we know so far,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/features/story/nokia-6-2-aka-nokia-x71-launch-date-price-specs-in-india-1539953-2019-06-01
India Today, LG V50 ThinQ image leaked online ahead of the MWC 2019 launch,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/lg-v50-thinq-image-leaked-online-ahead-of-the-mwc-2019-launch-1457552-2019-02-16
India Today, Govt to launch single emergency number 112 to help you connect to all nearby helplines,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/govt-to-launch-single-emergency-number-112-to-help-you-connect-to-all-nearby-helplines-1455939-2019-02-14
India Today," Galaxy S10: Launch, Expected Specs, Price and Features",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/video/video/galaxy-s10-launch-expected-specs-price-and-features-1455831-2019-02-14
India Today," Man chooses PUBG over pregnant wife, leaves family because of his PUBG addiction",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/man-chooses-pubg-over-pregnant-wife-leaves-family-because-of-his-pubg-addiction-1453218-2019-02-11
India Today, You will soon be able to use Google Maps in real-time AR mode ,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/you-will-soon-be-able-to-use-google-maps-in-real-time-ar-mode-1453155-2019-02-11
India Today," Xiaomi phone with in-display selfie camera shown off in official video, may launch soon",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/xiaomi-phone-with-in-display-selfie-camera-shown-off-in-official-video-may-launch-soon-1541384-2019-06-03
India Today," Nokia 8.1 available for as low as Rs 21,000 on Amazon: Should you buy it?",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/nokia-8-1-price-in-india-amazon-specifications-features-1541369-2019-06-03
India Today," Samsung Galaxy M10, Galaxy M20 get Android Pie update with One UI",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/android-os/story/samsung-galaxy-m10-m20-get-android-pie-one-ui-update-india-1538096-2019-05-30
India Today, Samsung Galaxy M30 Android Pie update with One UI now rolling out,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/android-os/story/samsung-galaxy-m30-android-pie-update-with-one-ui-now-rolling-out-1536261-2019-05-28
India Today," Apple's WWDC 2019 invites are out, begins on June 3: Here's what to expect ",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/ios/story/apple-s-wwdc-2019-invites-are-out-event-begins-on-june-3-here-s-what-to-expect-1532577-2019-05-23
